,10n1,10p1,20p1,20n1,percentage90,percentage85,percentage80,percentage70,percentage60,min,max
133200,327066.83333333326,327144.25,327171.25,327042.33333333326,327091.83333333326,327094.0,327095.5,327101.58333333326,326951.5,"('percentage60',)","('20p1',)"
136800,327466.25,327529.0,327481.33333333326,327452.83333333326,327623.25,327624.66666666674,327626.16666666674,327467.66666666674,327298.33333333326,"('percentage60',)","('percentage80',)"
140400,328642.66666666674,328624.91666666674,328614.66666666674,328621.16666666674,328606.75,328609.41666666674,328426.25,328380.91666666674,328483.08333333326,"('percentage70',)","('10n1',)"
144000,327728.16666666674,327684.25,327696.16666666674,327742.83333333326,327671.33333333326,327676.08333333326,327750.16666666674,327605.58333333326,327633.83333333326,"('percentage70',)","('percentage80',)"
147600,327858.83333333326,327891.16666666674,327862.0,327848.75,327897.66666666674,327898.0,327920.33333333326,327819.41666666674,327844.91666666674,"('percentage70',)","('percentage80',)"
151200,328274.16666666674,328305.66666666674,328312.58333333326,328279.25,328329.33333333326,328330.58333333326,328282.16666666674,328247.0,328269.33333333326,"('percentage70',)","('percentage85',)"
154800,327983.25,328014.58333333326,328029.0,328017.83333333326,327933.58333333326,327936.83333333326,327961.41666666674,327880.91666666674,327895.58333333326,"('percentage70',)","('20p1',)"
158400,328077.58333333326,328119.66666666674,328115.41666666674,328058.66666666674,328191.58333333326,328193.5,328208.0,328077.25,328088.25,"('20n1',)","('percentage80',)"
162000,327856.41666666674,327860.66666666674,327846.25,327896.25,327768.91666666674,327771.66666666674,327770.75,327798.33333333326,327776.25,"('percentage90',)","('20n1',)"
165600,326634.41666666674,326538.25,326533.08333333326,326626.75,326436.25,326436.0,326444.58333333326,326574.0,326572.08333333326,"('percentage85',)","('10n1',)"
169200,325543.0,325540.41666666674,325540.5,325588.83333333326,325445.41666666674,325447.0,325458.25,325532.16666666674,325583.33333333326,"('percentage90',)","('20n1',)"
