,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323447.0, 0.3: 323455.0, 0.4: 323465.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",7
3600,322952,323477,"{0.1: 322980.0, 0.2: 322991.0, 0.3: 322992.0, 0.4: 323061.0, 0.5: 323184.0, 0.6: 323410.0, 0.7: 323417.0, 0.8: 323430.0, 0.9: 323471.0}",665
7200,322683,323512,"{0.1: 322909.0, 0.2: 322976.0, 0.3: 323067.0, 0.4: 323173.0, 0.5: 323311.0, 0.6: 323427.0, 0.7: 323447.0, 0.8: 323460.0, 0.9: 323506.0}",874
10800,322587,323543,"{0.1: 322651.0, 0.2: 322672.0, 0.3: 322694.0, 0.4: 322809.0, 0.5: 322937.0, 0.6: 323074.0, 0.7: 323183.0, 0.8: 323495.0, 0.9: 323522.0}",155
14400,321929,322336,"{0.1: 321956.0, 0.2: 321956.0, 0.3: 321981.0, 0.4: 322014.0, 0.5: 322064.5, 0.6: 322078.0, 0.7: 322128.0, 0.8: 322133.0, 0.9: 322236.0}",550
18000,322076,322838,"{0.1: 322101.0, 0.2: 322123.0, 0.3: 322168.0, 0.4: 322195.0, 0.5: 322273.0, 0.6: 322293.0, 0.7: 322573.0, 0.8: 322741.0, 0.9: 322801.0}",1712
21600,322841,325170,"{0.1: 323054.0, 0.2: 323083.0, 0.3: 323207.0, 0.4: 323284.0, 0.5: 323916.0, 0.6: 324607.0, 0.7: 324864.0, 0.8: 324904.0, 0.9: 324923.0}",1603
25200,324254,324855,"{0.1: 324336.0, 0.2: 324336.0, 0.3: 324354.0, 0.4: 324388.0, 0.5: 324813.5, 0.6: 324840.0, 0.7: 324842.0, 0.8: 324843.0, 0.9: 324850.0}",451
28800,322061,324239,"{0.1: 322186.0, 0.2: 322225.0, 0.3: 322476.0, 0.4: 322664.0, 0.5: 322798.0, 0.6: 323253.0, 0.7: 324080.0, 0.8: 324182.0, 0.9: 324205.0}",0
32400,321579,322874,"{0.1: 321582.0, 0.2: 321592.0, 0.3: 321596.0, 0.4: 321607.0, 0.5: 321670.5, 0.6: 322021.0, 0.7: 322158.0, 0.8: 322214.0, 0.9: 322526.0}",1303
36000,322780,323314,"{0.1: 322830.0, 0.2: 323072.0, 0.3: 323152.0, 0.4: 323174.0, 0.5: 323176.5, 0.6: 323197.0, 0.7: 323230.0, 0.8: 323240.0, 0.9: 323268.0}",1351
39600,323218,323662,"{0.1: 323255.0, 0.2: 323306.0, 0.3: 323376.0, 0.4: 323398.0, 0.5: 323398.5, 0.6: 323418.0, 0.7: 323524.0, 0.8: 323635.0, 0.9: 323650.0}",1584
43200,323654,325021,"{0.1: 323782.0, 0.2: 324035.0, 0.3: 324041.0, 0.4: 324135.0, 0.5: 324296.5, 0.6: 324500.0, 0.7: 324522.0, 0.8: 324833.0, 0.9: 324955.0}",1663
46800,323890,324435,"{0.1: 323933.0, 0.2: 323933.0, 0.3: 323934.0, 0.4: 323940.0, 0.5: 323944.0, 0.6: 323972.0, 0.7: 324174.0, 0.8: 324190.0, 0.9: 324254.0}",341
50400,323869,326651,"{0.1: 323893.0, 0.2: 323902.0, 0.3: 323904.0, 0.4: 323904.0, 0.5: 323904.0, 0.6: 324020.0, 0.7: 324341.0, 0.8: 324814.0, 0.9: 325147.0}",1267
54000,326868,327849,"{0.1: 326887.0, 0.2: 326931.0, 0.3: 327034.0, 0.4: 327068.0, 0.5: 327090.5, 0.6: 327145.0, 0.7: 327445.0, 0.8: 327505.0, 0.9: 327636.0}",1407
57600,325487,326807,"{0.1: 325520.0, 0.2: 325533.0, 0.3: 325534.0, 0.4: 325542.0, 0.5: 325570.5, 0.6: 325624.0, 0.7: 325728.0, 0.8: 325750.0, 0.9: 326058.0}",563
61200,325494,325736,"{0.1: 325548.0, 0.2: 325575.0, 0.3: 325576.0, 0.4: 325603.0, 0.5: 325608.5, 0.6: 325638.0, 0.7: 325680.0, 0.8: 325687.0, 0.9: 325707.0}",418
64800,325284,327017,"{0.1: 325346.0, 0.2: 325361.0, 0.3: 325388.0, 0.4: 325393.0, 0.5: 325451.5, 0.6: 325823.0, 0.7: 326316.0, 0.8: 326920.0, 0.9: 326990.0}",1303
68400,326844,327252,"{0.1: 326887.0, 0.2: 326922.0, 0.3: 326935.0, 0.4: 326977.0, 0.5: 327028.0, 0.6: 327088.0, 0.7: 327159.0, 0.8: 327203.0, 0.9: 327205.0}",722
72000,327105,328063,"{0.1: 327228.0, 0.2: 327303.0, 0.3: 327333.0, 0.4: 327376.0, 0.5: 327570.5, 0.6: 327879.0, 0.7: 327921.0, 0.8: 327955.0, 0.9: 327970.0}",1715
75600,327202,327794,"{0.1: 327205.0, 0.2: 327238.0, 0.3: 327275.0, 0.4: 327275.0, 0.5: 327291.0, 0.6: 327309.0, 0.7: 327339.0, 0.8: 327391.0, 0.9: 327751.0}",122
79200,326588,330393,"{0.1: 326792.0, 0.2: 326885.0, 0.3: 326895.0, 0.4: 327117.0, 0.5: 327175.0, 0.6: 327204.0, 0.7: 329408.0, 0.8: 330229.0, 0.9: 330268.0}",1602
82800,323957,330103,"{0.1: 324034.0, 0.2: 324174.0, 0.3: 324219.0, 0.4: 324220.0, 0.5: 325441.5, 0.6: 327547.0, 0.7: 329363.0, 0.8: 329742.0, 0.9: 329962.0}",0
86400,323922,324525,"{0.1: 323966.0, 0.2: 323977.0, 0.3: 323978.0, 0.4: 323978.0, 0.5: 324028.0, 0.6: 324311.0, 0.7: 324384.0, 0.8: 324400.0, 0.9: 324437.0}",896
90000,323589,324344,"{0.1: 323664.0, 0.2: 323687.0, 0.3: 323717.0, 0.4: 323725.0, 0.5: 323769.5, 0.6: 323805.0, 0.7: 323811.0, 0.8: 324115.0, 0.9: 324268.0}",497
93600,322857,323558,"{0.1: 322936.0, 0.2: 322955.0, 0.3: 323060.0, 0.4: 323100.0, 0.5: 323158.5, 0.6: 323349.0, 0.7: 323361.0, 0.8: 323368.0, 0.9: 323534.0}",754
97200,322127,323118,"{0.1: 322188.0, 0.2: 322202.0, 0.3: 322213.0, 0.4: 322223.0, 0.5: 322243.0, 0.6: 322278.0, 0.7: 322448.0, 0.8: 322941.0, 0.9: 323102.0}",392
100800,321633,322219,"{0.1: 321638.0, 0.2: 321660.0, 0.3: 321669.0, 0.4: 321673.0, 0.5: 321685.0, 0.6: 321703.0, 0.7: 321721.0, 0.8: 321928.0, 0.9: 322055.0}",797
104400,321219,322578,"{0.1: 321370.0, 0.2: 321399.0, 0.3: 321425.0, 0.4: 321462.0, 0.5: 321547.5, 0.6: 321700.0, 0.7: 321705.0, 0.8: 321944.0, 0.9: 322541.0}",856
108000,322432,323726,"{0.1: 322486.0, 0.2: 322500.0, 0.3: 322504.0, 0.4: 322519.0, 0.5: 322792.5, 0.6: 323476.0, 0.7: 323586.0, 0.8: 323589.0, 0.9: 323692.0}",1849
111600,322808,323547,"{0.1: 322874.0, 0.2: 322931.0, 0.3: 323109.0, 0.4: 323153.0, 0.5: 323261.5, 0.6: 323316.0, 0.7: 323323.0, 0.8: 323327.0, 0.9: 323371.0}",413
115200,322678,323600,"{0.1: 322838.0, 0.2: 322872.0, 0.3: 322873.0, 0.4: 322893.0, 0.5: 322966.0, 0.6: 323015.0, 0.7: 323227.0, 0.8: 323400.0, 0.9: 323561.0}",1443
118800,323557,323882,"{0.1: 323674.0, 0.2: 323676.0, 0.3: 323742.0, 0.4: 323759.0, 0.5: 323766.5, 0.6: 323774.0, 0.7: 323780.0, 0.8: 323794.0, 0.9: 323802.0}",1574
122400,323940,324089,"{0.1: 323941.0, 0.2: 323941.0, 0.3: 323954.0, 0.4: 323957.0, 0.5: 323962.0, 0.6: 323967.0, 0.7: 323983.0, 0.8: 323998.0, 0.9: 324025.0}",1044
126000,324101,325510,"{0.1: 324178.0, 0.2: 324193.0, 0.3: 324221.0, 0.4: 324263.0, 0.5: 324421.0, 0.6: 324796.0, 0.7: 325195.0, 0.8: 325205.0, 0.9: 325250.0}",1753
129600,325699,327061,"{0.1: 325755.0, 0.2: 326252.0, 0.3: 326283.0, 0.4: 326299.0, 0.5: 326333.5, 0.6: 326855.0, 0.7: 327028.0, 0.8: 327045.0, 0.9: 327052.0}",1672
133200,327045,327191,"{0.1: 327098.0, 0.2: 327112.0, 0.3: 327121.0, 0.4: 327126.0, 0.5: 327128.5, 0.6: 327130.0, 0.7: 327131.0, 0.8: 327134.0, 0.9: 327135.0}",798
136800,327110,328308,"{0.1: 327130.0, 0.2: 327134.0, 0.3: 327135.0, 0.4: 327136.0, 0.5: 327137.5, 0.6: 327305.0, 0.7: 328069.0, 0.8: 328216.0, 0.9: 328265.0}",1359
140400,328245,329045,"{0.1: 328373.0, 0.2: 328612.0, 0.3: 328623.0, 0.4: 328639.0, 0.5: 328642.0, 0.6: 328648.0, 0.7: 328663.0, 0.8: 328781.0, 0.9: 328809.0}",1378
144000,327610,327902,"{0.1: 327624.0, 0.2: 327625.0, 0.3: 327630.0, 0.4: 327632.0, 0.5: 327668.5, 0.6: 327696.0, 0.7: 327722.0, 0.8: 327756.0, 0.9: 327837.0}",510
147600,327775,328110,"{0.1: 327786.0, 0.2: 327788.0, 0.3: 327792.0, 0.4: 327795.0, 0.5: 327796.0, 0.6: 327807.0, 0.7: 327968.0, 0.8: 327997.0, 0.9: 328026.0}",1455
151200,328001,328722,"{0.1: 328003.0, 0.2: 328009.0, 0.3: 328011.0, 0.4: 328011.0, 0.5: 328013.0, 0.6: 328586.0, 0.7: 328651.0, 0.8: 328692.0, 0.9: 328702.0}",1147
154800,327652,328480,"{0.1: 327809.0, 0.2: 327862.0, 0.3: 327863.0, 0.4: 327910.0, 0.5: 328021.0, 0.6: 328059.0, 0.7: 328094.0, 0.8: 328255.0, 0.9: 328317.0}",184
158400,327842,328457,"{0.1: 327845.0, 0.2: 327849.0, 0.3: 327856.0, 0.4: 327874.0, 0.5: 327931.0, 0.6: 328287.0, 0.7: 328331.0, 0.8: 328363.0, 0.9: 328386.0}",1651
162000,327482,328430,"{0.1: 327602.0, 0.2: 327603.0, 0.3: 327631.0, 0.4: 327635.0, 0.5: 327660.0, 0.6: 327866.0, 0.7: 328217.0, 0.8: 328403.0, 0.9: 328428.0}",301
165600,325846,327616,"{0.1: 326078.0, 0.2: 326237.0, 0.3: 326328.0, 0.4: 326411.0, 0.5: 326469.5, 0.6: 326620.0, 0.7: 326795.0, 0.8: 326925.0, 0.9: 327145.0}",0
169200,324712,326010,"{0.1: 324775.0, 0.2: 325100.0, 0.3: 325163.0, 0.4: 325347.0, 0.5: 325754.0, 0.6: 325970.0, 0.7: 325979.0, 0.8: 325981.0, 0.9: 325983.0}",157
