,minimum,maximum,percentiles,delays,mean
93600,322726,323746,"{0.1: 322882.0, 0.2: 322947.0, 0.3: 322977.0, 0.4: 323069.0, 0.5: 323203.0, 0.6: 323306.0, 0.7: 323360.0, 0.8: 323498.0, 0.9: 323523.0}",0,323203.3333333333
97200,321801,322962,"{0.1: 322090.0, 0.2: 322124.0, 0.3: 322254.0, 0.4: 322270.0, 0.5: 322299.5, 0.6: 322400.0, 0.7: 322502.0, 0.8: 322725.0, 0.9: 322834.0}",0,322380.0833333333
100800,321469,322300,"{0.1: 321533.0, 0.2: 321599.0, 0.3: 321611.0, 0.4: 321673.0, 0.5: 321812.0, 0.6: 321831.0, 0.7: 321847.0, 0.8: 321858.0, 0.9: 321870.0}",0,321767.9166666667
104400,321046,322669,"{0.1: 321157.0, 0.2: 321325.0, 0.3: 321414.0, 0.4: 321522.0, 0.5: 321571.0, 0.6: 321585.0, 0.7: 322041.0, 0.8: 322493.0, 0.9: 322577.0}",256,321747.5833333333
108000,322541,323831,"{0.1: 322554.0, 0.2: 322642.0, 0.3: 322684.0, 0.4: 322946.0, 0.5: 323007.5, 0.6: 323323.0, 0.7: 323401.0, 0.8: 323544.0, 0.9: 323752.0}",0,323102.75
111600,322709,323563,"{0.1: 322759.0, 0.2: 322825.0, 0.3: 322868.0, 0.4: 323029.0, 0.5: 323163.0, 0.6: 323280.0, 0.7: 323291.0, 0.8: 323366.0, 0.9: 323432.0}",0,323120.6666666667
115200,322543,323669,"{0.1: 322612.0, 0.2: 322779.0, 0.3: 322951.0, 0.4: 323081.0, 0.5: 323124.0, 0.6: 323360.0, 0.7: 323534.0, 0.8: 323654.0, 0.9: 323661.0}",0,323174.3333333333
118800,323599,324014,"{0.1: 323727.0, 0.2: 323735.0, 0.3: 323780.0, 0.4: 323809.0, 0.5: 323824.5, 0.6: 323846.0, 0.7: 323864.0, 0.8: 323866.0, 0.9: 323971.0}",0,323821.6666666667
122400,323743,324187,"{0.1: 323827.0, 0.2: 323848.0, 0.3: 323868.0, 0.4: 323905.0, 0.5: 323952.5, 0.6: 324052.0, 0.7: 324070.0, 0.8: 324158.0, 0.9: 324164.0}",0,323977.25
126000,324228,325724,"{0.1: 324235.0, 0.2: 324243.0, 0.3: 324293.0, 0.4: 324360.0, 0.5: 324701.5, 0.6: 325075.0, 0.7: 325246.0, 0.8: 325483.0, 0.9: 325551.0}",151,324820.0833333333
