,minimum,maximum,percentiles,delays,mean
0,323298,324526,"{0.1: 323299.0, 0.2: 323378.0, 0.3: 323455.0, 0.4: 323465.0, 0.5: 323527.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",308,323809.0833333333
3600,322974,323477,"{0.1: 322977.0, 0.2: 323005.0, 0.3: 323009.0, 0.4: 323088.0, 0.5: 323218.5, 0.6: 323322.0, 0.7: 323410.0, 0.8: 323436.0, 0.9: 323471.0}",1791,323217.1666666667
7200,322728,323538,"{0.1: 322917.0, 0.2: 322922.0, 0.3: 322999.0, 0.4: 323205.0, 0.5: 323300.5, 0.6: 323340.0, 0.7: 323358.0, 0.8: 323431.0, 0.9: 323514.0}",3323,323212.75
10800,322587,323546,"{0.1: 322651.0, 0.2: 322672.0, 0.3: 322695.0, 0.4: 322818.0, 0.5: 322953.5, 0.6: 323099.0, 0.7: 323216.0, 0.8: 323377.0, 0.9: 323481.0}",680,323004.0833333333
14400,321929,322337,"{0.1: 321932.0, 0.2: 321953.0, 0.3: 321956.0, 0.4: 322026.0, 0.5: 322065.5, 0.6: 322089.0, 0.7: 322128.0, 0.8: 322139.0, 0.9: 322260.0}",1454,322073.3333333333
18000,321974,322854,"{0.1: 322068.0, 0.2: 322123.0, 0.3: 322151.0, 0.4: 322175.0, 0.5: 322284.5, 0.6: 322303.0, 0.7: 322375.0, 0.8: 322575.0, 0.9: 322830.0}",5844,322333.0833333333
21600,322843,325182,"{0.1: 323070.0, 0.2: 323087.0, 0.3: 323233.0, 0.4: 323296.0, 0.5: 323919.0, 0.6: 324345.0, 0.7: 324360.0, 0.8: 324606.0, 0.9: 324931.0}",6278,323899.25
25200,324282,325044,"{0.1: 324380.0, 0.2: 324391.0, 0.3: 324392.0, 0.4: 324441.0, 0.5: 324622.5, 0.6: 324701.0, 0.7: 324837.0, 0.8: 324896.0, 0.9: 324952.0}",2420,324630.0833333333
28800,322118,324247,"{0.1: 322194.0, 0.2: 322199.0, 0.3: 322538.0, 0.4: 322683.0, 0.5: 322808.5, 0.6: 323573.0, 0.7: 324129.0, 0.8: 324234.0, 0.9: 324239.0}",221,323147.5833333333
32400,321483,322906,"{0.1: 321534.0, 0.2: 321591.0, 0.3: 321600.0, 0.4: 321610.0, 0.5: 321691.0, 0.6: 322047.0, 0.7: 322178.0, 0.8: 322215.0, 0.9: 322532.0}",3297,321923.1666666667
36000,322803,323314,"{0.1: 322847.0, 0.2: 322966.0, 0.3: 322998.0, 0.4: 323029.0, 0.5: 323101.5, 0.6: 323177.0, 0.7: 323204.0, 0.8: 323215.0, 0.9: 323221.0}",4726,323081.4166666667
39600,323264,323706,"{0.1: 323267.0, 0.2: 323285.0, 0.3: 323313.0, 0.4: 323317.0, 0.5: 323382.0, 0.6: 323462.0, 0.7: 323536.0, 0.8: 323644.0, 0.9: 323666.0}",3449,323435.3333333333
43200,323634,325022,"{0.1: 323842.0, 0.2: 324053.0, 0.3: 324081.0, 0.4: 324149.0, 0.5: 324309.5, 0.6: 324330.0, 0.7: 324523.0, 0.8: 324819.0, 0.9: 324959.0}",3756,324335.9166666667
46800,323905,324352,"{0.1: 323909.0, 0.2: 323915.0, 0.3: 323925.0, 0.4: 323937.0, 0.5: 323958.0, 0.6: 323984.0, 0.7: 324197.0, 0.8: 324212.0, 0.9: 324319.0}",1009,324047.5833333333
50400,323904,326653,"{0.1: 323905.0, 0.2: 323905.0, 0.3: 323906.0, 0.4: 323908.0, 0.5: 323910.5, 0.6: 324035.0, 0.7: 324346.0, 0.8: 324816.0, 0.9: 325157.0}",4429,324363.0
54000,326730,327874,"{0.1: 326872.0, 0.2: 326895.0, 0.3: 326895.0, 0.4: 327009.0, 0.5: 327048.5, 0.6: 327148.0, 0.7: 327185.0, 0.8: 327541.0, 0.9: 327647.0}",3811,327157.75
57600,325324,326878,"{0.1: 325344.0, 0.2: 325456.0, 0.3: 325488.0, 0.4: 325509.0, 0.5: 325602.0, 0.6: 325682.0, 0.7: 325774.0, 0.8: 325815.0, 0.9: 326144.0}",2004,325718.1666666667
61200,325551,325716,"{0.1: 325560.0, 0.2: 325563.0, 0.3: 325570.0, 0.4: 325573.0, 0.5: 325589.0, 0.6: 325594.0, 0.7: 325606.0, 0.8: 325631.0, 0.9: 325673.0}",2005,325601.25
64800,325401,327032,"{0.1: 325412.0, 0.2: 325419.0, 0.3: 325431.0, 0.4: 325466.0, 0.5: 325490.5, 0.6: 325835.0, 0.7: 326315.0, 0.8: 326935.0, 0.9: 327005.0}",3781,325936.0
68400,326900,327268,"{0.1: 326905.0, 0.2: 326930.0, 0.3: 326935.0, 0.4: 326949.0, 0.5: 326966.5, 0.6: 326989.0, 0.7: 327053.0, 0.8: 327129.0, 0.9: 327205.0}",2460,327016.3333333333
72000,327152,328085,"{0.1: 327252.0, 0.2: 327324.0, 0.3: 327371.0, 0.4: 327381.0, 0.5: 327587.0, 0.6: 327728.0, 0.7: 327788.0, 0.8: 327937.0, 0.9: 327977.0}",4561,327597.4166666667
75600,327238,327670,"{0.1: 327270.0, 0.2: 327273.0, 0.3: 327276.0, 0.4: 327279.0, 0.5: 327325.5, 0.6: 327365.0, 0.7: 327365.0, 0.8: 327476.0, 0.9: 327640.0}",895,327375.25
79200,326592,330407,"{0.1: 326768.0, 0.2: 326890.0, 0.3: 326920.0, 0.4: 327163.0, 0.5: 327195.5, 0.6: 327228.0, 0.7: 329415.0, 0.8: 330264.0, 0.9: 330291.0}",5392,328027.4166666667
82800,323709,330047,"{0.1: 323810.0, 0.2: 324072.0, 0.3: 324215.0, 0.4: 324251.0, 0.5: 325477.5, 0.6: 327653.0, 0.7: 329458.0, 0.8: 329709.0, 0.9: 329860.0}",1096,326478.25
86400,323723,324536,"{0.1: 323733.0, 0.2: 323816.0, 0.3: 323819.0, 0.4: 323984.0, 0.5: 324089.5, 0.6: 324425.0, 0.7: 324469.0, 0.8: 324487.0, 0.9: 324495.0}",4375,324138.8333333333
90000,323610,324320,"{0.1: 323694.0, 0.2: 323699.0, 0.3: 323739.0, 0.4: 323739.0, 0.5: 323767.0, 0.6: 323834.0, 0.7: 323834.0, 0.8: 324188.0, 0.9: 324301.0}",1657,323874.3333333333
93600,322907,323610,"{0.1: 322911.0, 0.2: 322951.0, 0.3: 323071.0, 0.4: 323128.0, 0.5: 323170.0, 0.6: 323311.0, 0.7: 323376.0, 0.8: 323381.0, 0.9: 323596.0}",2509,323215.1666666667
97200,322117,323042,"{0.1: 322167.0, 0.2: 322210.0, 0.3: 322217.0, 0.4: 322232.0, 0.5: 322280.5, 0.6: 322309.0, 0.7: 322488.0, 0.8: 322991.0, 0.9: 323005.0}",1661,322444.9166666667
100800,321606,322154,"{0.1: 321629.0, 0.2: 321633.0, 0.3: 321655.0, 0.4: 321671.0, 0.5: 321695.5, 0.6: 321729.0, 0.7: 321750.0, 0.8: 322009.0, 0.9: 322137.0}",2570,321780.3333333333
104400,321298,322603,"{0.1: 321399.0, 0.2: 321432.0, 0.3: 321433.0, 0.4: 321526.0, 0.5: 321563.0, 0.6: 321604.0, 0.7: 321613.0, 0.8: 321963.0, 0.9: 322564.0}",3461,321713.4166666667
108000,322389,323754,"{0.1: 322447.0, 0.2: 322467.0, 0.3: 322516.0, 0.4: 322546.0, 0.5: 322853.0, 0.6: 322983.0, 0.7: 323250.0, 0.8: 323502.0, 0.9: 323686.0}",7323,322937.1666666667
111600,322877,323490,"{0.1: 322936.0, 0.2: 322939.0, 0.3: 323063.0, 0.4: 323096.0, 0.5: 323155.5, 0.6: 323242.0, 0.7: 323272.0, 0.8: 323346.0, 0.9: 323371.0}",2556,323161.9166666667
115200,322726,323628,"{0.1: 322789.0, 0.2: 322806.0, 0.3: 322885.0, 0.4: 322896.0, 0.5: 322953.5, 0.6: 323023.0, 0.7: 323273.0, 0.8: 323424.0, 0.9: 323607.0}",3947,323080.3333333333
118800,323586,323926,"{0.1: 323654.0, 0.2: 323658.0, 0.3: 323692.0, 0.4: 323700.0, 0.5: 323753.5, 0.6: 323800.0, 0.7: 323813.0, 0.8: 323822.0, 0.9: 323824.0}",3766,323748.5
