,minimum,maximum,percentiles,delays
0,323231,324526,"{0.1: 323304.0, 0.2: 323315.0, 0.3: 323317.0, 0.4: 323320.0, 0.5: 323462.5, 0.6: 324001.0, 0.7: 324147.0, 0.8: 324312.0, 0.9: 324512.0}",566
3600,322824,323501,"{0.1: 322825.0, 0.2: 322835.0, 0.3: 322931.0, 0.4: 323098.0, 0.5: 323271.0, 0.6: 323320.0, 0.7: 323449.0, 0.8: 323486.0, 0.9: 323489.0}",1002
7200,322498,323599,"{0.1: 322714.0, 0.2: 322900.0, 0.3: 322917.0, 0.4: 323196.0, 0.5: 323380.5, 0.6: 323454.0, 0.7: 323463.0, 0.8: 323472.0, 0.9: 323516.0}",1029
10800,322558,323555,"{0.1: 322571.0, 0.2: 322608.0, 0.3: 322655.0, 0.4: 322663.0, 0.5: 322762.0, 0.6: 323064.0, 0.7: 323245.0, 0.8: 323445.0, 0.9: 323493.0}",698
14400,321768,322506,"{0.1: 321854.0, 0.2: 321889.0, 0.3: 321919.0, 0.4: 322020.0, 0.5: 322082.0, 0.6: 322159.0, 0.7: 322182.0, 0.8: 322229.0, 0.9: 322463.0}",1023
18000,322063,322867,"{0.1: 322114.0, 0.2: 322156.0, 0.3: 322180.0, 0.4: 322204.0, 0.5: 322298.5, 0.6: 322308.0, 0.7: 322389.0, 0.8: 322577.0, 0.9: 322847.0}",1848
