,minimum,maximum,percentiles,delays
50400,323797,326620,"{0.1: 323830.0, 0.2: 323855.0, 0.3: 323908.0, 0.4: 323983.0, 0.5: 324131.5, 0.6: 324408.0, 0.7: 324419.0, 0.8: 324773.0, 0.9: 325107.0}",830
54000,326653,327848,"{0.1: 326782.0, 0.2: 326817.0, 0.3: 326852.0, 0.4: 326883.0, 0.5: 327002.5, 0.6: 327016.0, 0.7: 327082.0, 0.8: 327538.0, 0.9: 327596.0}",1830
57600,325524,326778,"{0.1: 325529.0, 0.2: 325546.0, 0.3: 325599.0, 0.4: 325608.0, 0.5: 325714.0, 0.6: 325827.0, 0.7: 325851.0, 0.8: 325960.0, 0.9: 325971.0}",53
61200,325407,325795,"{0.1: 325499.0, 0.2: 325508.0, 0.3: 325527.0, 0.4: 325561.0, 0.5: 325634.0, 0.6: 325710.0, 0.7: 325712.0, 0.8: 325717.0, 0.9: 325759.0}",0
64800,325127,326963,"{0.1: 325367.0, 0.2: 325371.0, 0.3: 325390.0, 0.4: 325395.0, 0.5: 325808.5, 0.6: 326154.0, 0.7: 326226.0, 0.8: 326860.0, 0.9: 326877.0}",811
68400,326645,327212,"{0.1: 326678.0, 0.2: 326690.0, 0.3: 326745.0, 0.4: 326771.0, 0.5: 326796.5, 0.6: 326986.0, 0.7: 327025.0, 0.8: 327074.0, 0.9: 327092.0}",1699
72000,327281,328082,"{0.1: 327309.0, 0.2: 327378.0, 0.3: 327384.0, 0.4: 327385.0, 0.5: 327592.5, 0.6: 327709.0, 0.7: 327767.0, 0.8: 327924.0, 0.9: 327968.0}",1874
75600,327168,327671,"{0.1: 327188.0, 0.2: 327269.0, 0.3: 327278.0, 0.4: 327301.0, 0.5: 327342.0, 0.6: 327446.0, 0.7: 327477.0, 0.8: 327610.0, 0.9: 327658.0}",139
79200,326582,330390,"{0.1: 326848.0, 0.2: 326890.0, 0.3: 327113.0, 0.4: 327140.0, 0.5: 327393.5, 0.6: 327713.0, 0.7: 329365.0, 0.8: 330203.0, 0.9: 330218.0}",1179
82800,323942,330009,"{0.1: 324011.0, 0.2: 324168.0, 0.3: 324191.0, 0.4: 324229.0, 0.5: 325204.5, 0.6: 327052.0, 0.7: 328971.0, 0.8: 329685.0, 0.9: 329823.0}",172
86400,323895,324721,"{0.1: 323945.0, 0.2: 323972.0, 0.3: 324135.0, 0.4: 324171.0, 0.5: 324330.0, 0.6: 324522.0, 0.7: 324565.0, 0.8: 324636.0, 0.9: 324685.0}",0
90000,323556,324252,"{0.1: 323569.0, 0.2: 323592.0, 0.3: 323721.0, 0.4: 323731.0, 0.5: 323908.5, 0.6: 323928.0, 0.7: 323933.0, 0.8: 323987.0, 0.9: 324143.0}",0
93600,322752,323773,"{0.1: 322895.0, 0.2: 322979.0, 0.3: 322987.0, 0.4: 323094.0, 0.5: 323235.0, 0.6: 323333.0, 0.7: 323381.0, 0.8: 323514.0, 0.9: 323536.0}",0
97200,321816,322985,"{0.1: 322119.0, 0.2: 322158.0, 0.3: 322263.0, 0.4: 322278.0, 0.5: 322306.5, 0.6: 322410.0, 0.7: 322512.0, 0.8: 322769.0, 0.9: 322880.0}",0
100800,321494,322307,"{0.1: 321552.0, 0.2: 321612.0, 0.3: 321615.0, 0.4: 321695.0, 0.5: 321820.0, 0.6: 321861.0, 0.7: 321863.0, 0.8: 321877.0, 0.9: 321880.0}",0
104400,321058,322401,"{0.1: 321163.0, 0.2: 321337.0, 0.3: 321416.0, 0.4: 321526.0, 0.5: 321581.5, 0.6: 321599.0, 0.7: 322046.0, 0.8: 322322.0, 0.9: 322350.0}",332
108000,322266,323704,"{0.1: 322270.0, 0.2: 322283.0, 0.3: 322290.0, 0.4: 322343.0, 0.5: 322701.5, 0.6: 322887.0, 0.7: 323231.0, 0.8: 323327.0, 0.9: 323636.0}",2172
111600,322822,323481,"{0.1: 322911.0, 0.2: 322940.0, 0.3: 322986.0, 0.4: 323003.0, 0.5: 323168.0, 0.6: 323216.0, 0.7: 323240.0, 0.8: 323261.0, 0.9: 323313.0}",959
115200,322619,323571,"{0.1: 322854.0, 0.2: 322883.0, 0.3: 322990.0, 0.4: 323138.0, 0.5: 323211.0, 0.6: 323344.0, 0.7: 323366.0, 0.8: 323387.0, 0.9: 323450.0}",572
118800,323516,323891,"{0.1: 323526.0, 0.2: 323536.0, 0.3: 323623.0, 0.4: 323625.0, 0.5: 323677.0, 0.6: 323742.0, 0.7: 323780.0, 0.8: 323802.0, 0.9: 323809.0}",1752
122400,323776,324071,"{0.1: 323782.0, 0.2: 323799.0, 0.3: 323815.0, 0.4: 323840.0, 0.5: 323886.5, 0.6: 323975.0, 0.7: 323993.0, 0.8: 324003.0, 0.9: 324061.0}",1469
126000,324112,325499,"{0.1: 324122.0, 0.2: 324200.0, 0.3: 324218.0, 0.4: 324231.0, 0.5: 324421.0, 0.6: 324811.0, 0.7: 325190.0, 0.8: 325194.0, 0.9: 325197.0}",1758
129600,325688,327060,"{0.1: 325750.0, 0.2: 326247.0, 0.3: 326281.0, 0.4: 326298.0, 0.5: 326341.0, 0.6: 326846.0, 0.7: 327024.0, 0.8: 327042.0, 0.9: 327053.0}",1672
133200,326897,327211,"{0.1: 326915.0, 0.2: 326972.0, 0.3: 326993.0, 0.4: 327030.0, 0.5: 327077.0, 0.6: 327101.0, 0.7: 327153.0, 0.8: 327179.0, 0.9: 327210.0}",1233
136800,327065,328263,"{0.1: 327082.0, 0.2: 327112.0, 0.3: 327127.0, 0.4: 327231.0, 0.5: 327294.0, 0.6: 327348.0, 0.7: 328009.0, 0.8: 328126.0, 0.9: 328196.0}",1030
140400,328272,329048,"{0.1: 328359.0, 0.2: 328364.0, 0.3: 328411.0, 0.4: 328484.0, 0.5: 328553.0, 0.6: 328590.0, 0.7: 328605.0, 0.8: 328619.0, 0.9: 328655.0}",1927
144000,327610,327977,"{0.1: 327637.0, 0.2: 327638.0, 0.3: 327668.0, 0.4: 327783.0, 0.5: 327825.0, 0.6: 327918.0, 0.7: 327959.0, 0.8: 327968.0, 0.9: 327970.0}",0
147600,327666,328283,"{0.1: 327748.0, 0.2: 327766.0, 0.3: 327819.0, 0.4: 327896.0, 0.5: 327966.5, 0.6: 328085.0, 0.7: 328093.0, 0.8: 328120.0, 0.9: 328161.0}",0
151200,327896,328666,"{0.1: 327905.0, 0.2: 327932.0, 0.3: 328095.0, 0.4: 328103.0, 0.5: 328225.5, 0.6: 328504.0, 0.7: 328523.0, 0.8: 328587.0, 0.9: 328625.0}",632
154800,327644,328327,"{0.1: 327770.0, 0.2: 327896.0, 0.3: 327904.0, 0.4: 327917.0, 0.5: 328032.0, 0.6: 328083.0, 0.7: 328118.0, 0.8: 328231.0, 0.9: 328312.0}",63
158400,327913,328436,"{0.1: 327962.0, 0.2: 328077.0, 0.3: 328099.0, 0.4: 328117.0, 0.5: 328240.5, 0.6: 328373.0, 0.7: 328389.0, 0.8: 328395.0, 0.9: 328409.0}",197
162000,327399,328454,"{0.1: 327526.0, 0.2: 327563.0, 0.3: 327575.0, 0.4: 327576.0, 0.5: 327647.5, 0.6: 327677.0, 0.7: 327996.0, 0.8: 328289.0, 0.9: 328432.0}",97
165600,325828,327410,"{0.1: 326032.0, 0.2: 326218.0, 0.3: 326314.0, 0.4: 326377.0, 0.5: 326430.5, 0.6: 326569.0, 0.7: 326761.0, 0.8: 326867.0, 0.9: 326914.0}",0
169200,324692,326209,"{0.1: 324737.0, 0.2: 325127.0, 0.3: 325169.0, 0.4: 325255.0, 0.5: 325758.0, 0.6: 325958.0, 0.7: 326006.0, 0.8: 326115.0, 0.9: 326132.0}",0
