,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323619,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323583.0}",0
7200,322617,323766,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323308.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323560.0, 0.8: 323593.0, 0.9: 323716.0}",0
10800,322514,323572,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323027.0, 0.8: 323306.0, 0.9: 323529.0}",0
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322089.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0
18000,322071,322934,"{0.1: 322236.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322524.5, 0.6: 322619.0, 0.7: 322838.0, 0.8: 322926.0, 0.9: 322926.0}",17
21600,322796,325129,"{0.1: 322914.0, 0.2: 322918.0, 0.3: 323091.0, 0.4: 323179.0, 0.5: 323856.0, 0.6: 324301.0, 0.7: 324302.0, 0.8: 324582.0, 0.9: 324907.0}",1846
25200,324253,325022,"{0.1: 324370.0, 0.2: 324381.0, 0.3: 324414.0, 0.4: 324433.0, 0.5: 324496.5, 0.6: 324667.0, 0.7: 324696.0, 0.8: 324793.0, 0.9: 324923.0}",660
28800,321978,324327,"{0.1: 322037.0, 0.2: 322169.0, 0.3: 322462.0, 0.4: 322640.0, 0.5: 322772.0, 0.6: 323255.0, 0.7: 324066.0, 0.8: 324113.0, 0.9: 324217.0}",0
32400,321572,323109,"{0.1: 321575.0, 0.2: 321585.0, 0.3: 321611.0, 0.4: 321692.0, 0.5: 321997.5, 0.6: 322316.0, 0.7: 322441.0, 0.8: 322707.0, 0.9: 322982.0}",0
36000,322874,323592,"{0.1: 322926.0, 0.2: 323102.0, 0.3: 323121.0, 0.4: 323233.0, 0.5: 323343.5, 0.6: 323402.0, 0.7: 323426.0, 0.8: 323453.0, 0.9: 323507.0}",0
39600,323341,323651,"{0.1: 323349.0, 0.2: 323353.0, 0.3: 323371.0, 0.4: 323377.0, 0.5: 323404.5, 0.6: 323507.0, 0.7: 323547.0, 0.8: 323587.0, 0.9: 323625.0}",707
43200,323676,325004,"{0.1: 323720.0, 0.2: 323963.0, 0.3: 324011.0, 0.4: 324062.0, 0.5: 324239.5, 0.6: 324281.0, 0.7: 324485.0, 0.8: 324498.0, 0.9: 324913.0}",1835
46800,323856,324298,"{0.1: 323920.0, 0.2: 323946.0, 0.3: 323948.0, 0.4: 324005.0, 0.5: 324041.0, 0.6: 324090.0, 0.7: 324209.0, 0.8: 324230.0, 0.9: 324257.0}",114
