,minimum,maximum,percentiles,delays,mean
82800,323914,330044,"{0.1: 323982.0, 0.2: 324118.0, 0.3: 324159.0, 0.4: 324190.0, 0.5: 325107.5, 0.6: 327007.0, 0.7: 328947.0, 0.8: 329717.0, 0.9: 329929.0}",0,326351.8333333333
86400,323870,324677,"{0.1: 323915.0, 0.2: 323965.0, 0.3: 324096.0, 0.4: 324141.0, 0.5: 324306.5, 0.6: 324505.0, 0.7: 324534.0, 0.8: 324620.0, 0.9: 324645.0}",0,324298.4166666667
90000,323522,324232,"{0.1: 323541.0, 0.2: 323549.0, 0.3: 323703.0, 0.4: 323720.0, 0.5: 323878.0, 0.6: 323901.0, 0.7: 323903.0, 0.8: 323961.0, 0.9: 324111.0}",0,323824.9166666667
93600,322731,323757,"{0.1: 322886.0, 0.2: 322956.0, 0.3: 322980.0, 0.4: 323078.0, 0.5: 323212.5, 0.6: 323312.0, 0.7: 323372.0, 0.8: 323503.0, 0.9: 323526.0}",0,323210.5
97200,321805,322966,"{0.1: 322091.0, 0.2: 322133.0, 0.3: 322261.0, 0.4: 322271.0, 0.5: 322301.5, 0.6: 322402.0, 0.7: 322505.0, 0.8: 322741.0, 0.9: 322846.0}",0,322385.3333333333
100800,321487,322302,"{0.1: 321543.0, 0.2: 321604.0, 0.3: 321615.0, 0.4: 321678.0, 0.5: 321814.0, 0.6: 321838.0, 0.7: 321856.0, 0.8: 321866.0, 0.9: 321871.0}",0,321774.0
104400,321052,322415,"{0.1: 321158.0, 0.2: 321326.0, 0.3: 321414.0, 0.4: 321522.0, 0.5: 321573.5, 0.6: 321587.0, 0.7: 322043.0, 0.8: 322171.0, 0.9: 322393.0}",1172,321685.6666666667
108000,322537,323747,"{0.1: 322601.0, 0.2: 322684.0, 0.3: 322820.0, 0.4: 323032.0, 0.5: 323085.5, 0.6: 323354.0, 0.7: 323471.0, 0.8: 323503.0, 0.9: 323642.0}",606,323130.1666666667
111600,322717,323569,"{0.1: 322817.0, 0.2: 322833.0, 0.3: 322872.0, 0.4: 323075.0, 0.5: 323184.0, 0.6: 323281.0, 0.7: 323312.0, 0.8: 323422.0, 0.9: 323456.0}",0,323143.5
115200,322559,323685,"{0.1: 322766.0, 0.2: 322803.0, 0.3: 322951.0, 0.4: 323124.0, 0.5: 323152.0, 0.6: 323369.0, 0.7: 323553.0, 0.8: 323661.0, 0.9: 323662.0}",0,323203.0833333333
118800,323654,324012,"{0.1: 323735.0, 0.2: 323751.0, 0.3: 323802.0, 0.4: 323809.0, 0.5: 323828.0, 0.6: 323846.0, 0.7: 323864.0, 0.8: 323882.0, 0.9: 323972.0}",0,323831.9166666667
122400,323750,324182,"{0.1: 323847.0, 0.2: 323848.0, 0.3: 323877.0, 0.4: 323919.0, 0.5: 323957.5, 0.6: 324052.0, 0.7: 324072.0, 0.8: 324087.0, 0.9: 324154.0}",120,323975.25
126000,324218,325451,"{0.1: 324236.0, 0.2: 324245.0, 0.3: 324310.0, 0.4: 324368.0, 0.5: 324491.0, 0.6: 324709.0, 0.7: 325063.0, 0.8: 325136.0, 0.9: 325137.0}",2382,324654.5833333333
129600,325621,327213,"{0.1: 325707.0, 0.2: 326230.0, 0.3: 326231.0, 0.4: 326396.0, 0.5: 326670.0, 0.6: 327009.0, 0.7: 327094.0, 0.8: 327127.0, 0.9: 327146.0}",1275,326592.8333333333
133200,327039,327310,"{0.1: 327061.0, 0.2: 327064.0, 0.3: 327082.0, 0.4: 327106.0, 0.5: 327117.5, 0.6: 327138.0, 0.7: 327154.0, 0.8: 327177.0, 0.9: 327232.0}",0,327133.1666666667
136800,326975,328201,"{0.1: 327005.0, 0.2: 327011.0, 0.3: 327032.0, 0.4: 327060.0, 0.5: 327154.0, 0.6: 327251.0, 0.7: 327955.0, 0.8: 328018.0, 0.9: 328096.0}",3416,327409.3333333333
140400,328017,329305,"{0.1: 328244.0, 0.2: 328454.0, 0.3: 328573.0, 0.4: 328616.0, 0.5: 328667.0, 0.6: 328737.0, 0.7: 328825.0, 0.8: 328911.0, 0.9: 328992.0}",1349,328667.3333333333
144000,327531,327924,"{0.1: 327555.0, 0.2: 327585.0, 0.3: 327610.0, 0.4: 327612.0, 0.5: 327652.0, 0.6: 327772.0, 0.7: 327813.0, 0.8: 327844.0, 0.9: 327885.0}",0,327702.9166666667
147600,327635,328095,"{0.1: 327706.0, 0.2: 327747.0, 0.3: 327765.0, 0.4: 327874.0, 0.5: 327918.5, 0.6: 328035.0, 0.7: 328063.0, 0.8: 328084.0, 0.9: 328087.0}",275,327910.6666666667
151200,327877,328642,"{0.1: 327913.0, 0.2: 327945.0, 0.3: 328012.0, 0.4: 328115.0, 0.5: 328256.0, 0.6: 328509.0, 0.7: 328575.0, 0.8: 328601.0, 0.9: 328638.0}",1425,328278.25
154800,327626,328346,"{0.1: 327733.0, 0.2: 327847.0, 0.3: 327859.0, 0.4: 327890.0, 0.5: 327994.0, 0.6: 328017.0, 0.7: 328065.0, 0.8: 328069.0, 0.9: 328228.0}",0,327972.3333333333
158400,327878,328526,"{0.1: 327892.0, 0.2: 328050.0, 0.3: 328070.0, 0.4: 328080.0, 0.5: 328201.0, 0.6: 328291.0, 0.7: 328334.0, 0.8: 328348.0, 0.9: 328405.0}",619,328189.6666666667
162000,327347,328587,"{0.1: 327470.0, 0.2: 327517.0, 0.3: 327537.0, 0.4: 327545.0, 0.5: 327619.5, 0.6: 327646.0, 0.7: 327939.0, 0.8: 328204.0, 0.9: 328418.0}",201,327787.4166666667
165600,325747,327355,"{0.1: 325960.0, 0.2: 326130.0, 0.3: 326242.0, 0.4: 326305.0, 0.5: 326371.5, 0.6: 326528.0, 0.7: 326692.0, 0.8: 326851.0, 0.9: 326872.0}",0,326452.0833333333
169200,324615,326167,"{0.1: 324617.0, 0.2: 324970.0, 0.3: 325054.0, 0.4: 325192.0, 0.5: 325634.0, 0.6: 325895.0, 0.7: 325913.0, 0.8: 326059.0, 0.9: 326063.0}",0,325484.4166666667
