,minimum,maximum,percentiles,delays
0,323261,324526,"{0.1: 323314.0, 0.2: 323317.0, 0.3: 323321.0, 0.4: 323326.0, 0.5: 323422.5, 0.6: 324001.0, 0.7: 324092.0, 0.8: 324312.0, 0.9: 324512.0}",632
3600,322829,323503,"{0.1: 322883.0, 0.2: 322885.0, 0.3: 322910.0, 0.4: 323024.0, 0.5: 323174.0, 0.6: 323322.0, 0.7: 323459.0, 0.8: 323487.0, 0.9: 323502.0}",1179
7200,322521,323637,"{0.1: 322667.0, 0.2: 322966.0, 0.3: 322974.0, 0.4: 323074.0, 0.5: 323337.0, 0.6: 323373.0, 0.7: 323430.0, 0.8: 323464.0, 0.9: 323525.0}",1234
10800,322559,323558,"{0.1: 322581.0, 0.2: 322596.0, 0.3: 322683.0, 0.4: 322688.0, 0.5: 322789.5, 0.6: 322909.0, 0.7: 323165.0, 0.8: 323427.0, 0.9: 323494.0}",790
14400,321854,322390,"{0.1: 321897.0, 0.2: 321907.0, 0.3: 321965.0, 0.4: 321992.0, 0.5: 322097.0, 0.6: 322159.0, 0.7: 322186.0, 0.8: 322191.0, 0.9: 322274.0}",1229
18000,322003,322869,"{0.1: 322089.0, 0.2: 322168.0, 0.3: 322192.0, 0.4: 322212.0, 0.5: 322308.5, 0.6: 322323.0, 0.7: 322401.0, 0.8: 322577.0, 0.9: 322847.0}",1876
21600,322848,325183,"{0.1: 323088.0, 0.2: 323103.0, 0.3: 323251.0, 0.4: 323308.0, 0.5: 323926.5, 0.6: 324349.0, 0.7: 324364.0, 0.8: 324617.0, 0.9: 324950.0}",1895
25200,324104,325056,"{0.1: 324161.0, 0.2: 324202.0, 0.3: 324219.0, 0.4: 324280.0, 0.5: 324625.0, 0.6: 324703.0, 0.7: 324843.0, 0.8: 324897.0, 0.9: 324961.0}",1321
28800,321905,324164,"{0.1: 321958.0, 0.2: 322175.0, 0.3: 322488.0, 0.4: 322610.0, 0.5: 322628.5, 0.6: 323511.0, 0.7: 324002.0, 0.8: 324030.0, 0.9: 324138.0}",1561
32400,321388,323006,"{0.1: 321418.0, 0.2: 321421.0, 0.3: 321477.0, 0.4: 321494.0, 0.5: 321659.5, 0.6: 321868.0, 0.7: 322233.0, 0.8: 322268.0, 0.9: 322587.0}",2261
36000,322786,323348,"{0.1: 322835.0, 0.2: 322856.0, 0.3: 322896.0, 0.4: 322958.0, 0.5: 323111.5, 0.6: 323237.0, 0.7: 323248.0, 0.8: 323273.0, 0.9: 323300.0}",1957
39600,323241,323727,"{0.1: 323249.0, 0.2: 323345.0, 0.3: 323351.0, 0.4: 323364.0, 0.5: 323447.0, 0.6: 323513.0, 0.7: 323537.0, 0.8: 323659.0, 0.9: 323695.0}",1890
43200,323644,325036,"{0.1: 323854.0, 0.2: 324070.0, 0.3: 324102.0, 0.4: 324175.0, 0.5: 324319.5, 0.6: 324332.0, 0.7: 324527.0, 0.8: 324868.0, 0.9: 324979.0}",1888
46800,323750,324368,"{0.1: 323817.0, 0.2: 323859.0, 0.3: 323898.0, 0.4: 323955.0, 0.5: 323959.5, 0.6: 323971.0, 0.7: 324093.0, 0.8: 324095.0, 0.9: 324158.0}",1325
50400,323733,326660,"{0.1: 323802.0, 0.2: 323813.0, 0.3: 323816.0, 0.4: 323819.0, 0.5: 323884.5, 0.6: 324151.0, 0.7: 324425.0, 0.8: 324838.0, 0.9: 325201.0}",1912
54000,326753,327882,"{0.1: 326813.0, 0.2: 326891.0, 0.3: 326923.0, 0.4: 327015.0, 0.5: 327071.5, 0.6: 327156.0, 0.7: 327209.0, 0.8: 327547.0, 0.9: 327648.0}",1830
57600,325385,326649,"{0.1: 325406.0, 0.2: 325461.0, 0.3: 325464.0, 0.4: 325466.0, 0.5: 325507.5, 0.6: 325809.0, 0.7: 325813.0, 0.8: 325887.0, 0.9: 326200.0}",1627
61200,325443,325765,"{0.1: 325449.0, 0.2: 325450.0, 0.3: 325471.0, 0.4: 325495.0, 0.5: 325577.5, 0.6: 325618.0, 0.7: 325652.0, 0.8: 325667.0, 0.9: 325741.0}",1513
64800,324915,327105,"{0.1: 325293.0, 0.2: 325314.0, 0.3: 325335.0, 0.4: 325343.0, 0.5: 325390.5, 0.6: 325927.0, 0.7: 326401.0, 0.8: 326993.0, 0.9: 327062.0}",2093
68400,326591,327312,"{0.1: 326647.0, 0.2: 326657.0, 0.3: 326700.0, 0.4: 326842.0, 0.5: 326864.0, 0.6: 327070.0, 0.7: 327149.0, 0.8: 327156.0, 0.9: 327257.0}",1890
72000,327373,328143,"{0.1: 327410.0, 0.2: 327413.0, 0.3: 327433.0, 0.4: 327434.0, 0.5: 327643.5, 0.6: 327761.0, 0.7: 327852.0, 0.8: 327994.0, 0.9: 328021.0}",1874
75600,327062,327683,"{0.1: 327145.0, 0.2: 327164.0, 0.3: 327184.0, 0.4: 327191.0, 0.5: 327215.5, 0.6: 327267.0, 0.7: 327352.0, 0.8: 327446.0, 0.9: 327609.0}",1154
