,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323696,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323026.0, 0.4: 323060.0, 0.5: 323180.5, 0.6: 323410.0, 0.7: 323459.0, 0.8: 323568.0, 0.9: 323656.0}",415
7200,322619,323782,"{0.1: 323051.0, 0.2: 323087.0, 0.3: 323120.0, 0.4: 323376.0, 0.5: 323508.5, 0.6: 323518.0, 0.7: 323564.0, 0.8: 323595.0, 0.9: 323662.0}",9
10800,322518,323576,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322768.0, 0.5: 322827.5, 0.6: 322980.0, 0.7: 323039.0, 0.8: 323384.0, 0.9: 323537.0}",0
14400,321920,322314,"{0.1: 321936.0, 0.2: 321948.0, 0.3: 321977.0, 0.4: 322023.0, 0.5: 322056.0, 0.6: 322089.0, 0.7: 322167.0, 0.8: 322210.0, 0.9: 322223.0}",342
18000,322129,322921,"{0.1: 322278.0, 0.2: 322313.0, 0.3: 322403.0, 0.4: 322435.0, 0.5: 322586.5, 0.6: 322660.0, 0.7: 322669.0, 0.8: 322799.0, 0.9: 322913.0}",218
21600,323133,324991,"{0.1: 323153.0, 0.2: 323296.0, 0.3: 323353.0, 0.4: 323552.0, 0.5: 324148.5, 0.6: 324608.0, 0.7: 324706.0, 0.8: 324718.0, 0.9: 324779.0}",550
25200,324190,325025,"{0.1: 324193.0, 0.2: 324245.0, 0.3: 324252.0, 0.4: 324307.0, 0.5: 324515.0, 0.6: 324765.0, 0.7: 324860.0, 0.8: 324946.0, 0.9: 324980.0}",77
28800,321957,324207,"{0.1: 321988.0, 0.2: 322165.0, 0.3: 322413.0, 0.4: 322614.0, 0.5: 322746.5, 0.6: 323139.0, 0.7: 324023.0, 0.8: 324030.0, 0.9: 324088.0}",0
32400,321542,323146,"{0.1: 321553.0, 0.2: 321572.0, 0.3: 321595.0, 0.4: 321628.0, 0.5: 321672.5, 0.6: 321729.0, 0.7: 322150.0, 0.8: 322518.0, 0.9: 323010.0}",723
36000,322907,323642,"{0.1: 322943.0, 0.2: 323129.0, 0.3: 323194.0, 0.4: 323239.0, 0.5: 323301.0, 0.6: 323404.0, 0.7: 323491.0, 0.8: 323497.0, 0.9: 323530.0}",39
39600,323342,323734,"{0.1: 323376.0, 0.2: 323379.0, 0.3: 323411.0, 0.4: 323446.0, 0.5: 323490.5, 0.6: 323572.0, 0.7: 323697.0, 0.8: 323705.0, 0.9: 323706.0}",154
43200,323765,325084,"{0.1: 323823.0, 0.2: 323930.0, 0.3: 324053.0, 0.4: 324229.0, 0.5: 324402.0, 0.6: 324508.0, 0.7: 324618.0, 0.8: 324913.0, 0.9: 324924.0}",519
46800,323825,324211,"{0.1: 323844.0, 0.2: 323844.0, 0.3: 323931.0, 0.4: 323988.0, 0.5: 324003.5, 0.6: 324024.0, 0.7: 324078.0, 0.8: 324149.0, 0.9: 324193.0}",0
50400,323754,326594,"{0.1: 323837.0, 0.2: 323847.0, 0.3: 323881.0, 0.4: 323916.0, 0.5: 324015.5, 0.6: 324159.0, 0.7: 324302.0, 0.8: 324767.0, 0.9: 325223.0}",1013
