,minimum,maximum,percentiles,delays,mean
0,323233,324526,"{0.1: 323302.0, 0.2: 323312.0, 0.3: 323315.0, 0.4: 323320.0, 0.5: 323463.0, 0.6: 324000.0, 0.7: 324147.0, 0.8: 324312.0, 0.9: 324512.0}",1435,323742.0833333333
3600,322818,323501,"{0.1: 322836.0, 0.2: 322838.0, 0.3: 322937.0, 0.4: 323098.0, 0.5: 323270.0, 0.6: 323320.0, 0.7: 323448.0, 0.8: 323484.0, 0.9: 323497.0}",2507,323193.0833333333
7200,322491,323593,"{0.1: 322707.0, 0.2: 322893.0, 0.3: 322905.0, 0.4: 323211.0, 0.5: 323378.0, 0.6: 323456.0, 0.7: 323463.0, 0.8: 323475.0, 0.9: 323516.0}",3539,323205.5
10800,322550,323556,"{0.1: 322602.0, 0.2: 322629.0, 0.3: 322653.0, 0.4: 322669.0, 0.5: 322754.5, 0.6: 323056.0, 0.7: 323243.0, 0.8: 323442.0, 0.9: 323493.0}",1932,322950.1666666667
14400,321765,322490,"{0.1: 321859.0, 0.2: 321886.0, 0.3: 321937.0, 0.4: 322035.0, 0.5: 322103.5, 0.6: 322161.0, 0.7: 322166.0, 0.8: 322236.0, 0.9: 322406.0}",2565,322095.6666666667
18000,322124,322866,"{0.1: 322137.0, 0.2: 322142.0, 0.3: 322158.0, 0.4: 322202.0, 0.5: 322300.5, 0.6: 322311.0, 0.7: 322388.0, 0.8: 322576.0, 0.9: 322846.0}",5639,322362.5833333333
21600,322845,325182,"{0.1: 323084.0, 0.2: 323098.0, 0.3: 323241.0, 0.4: 323292.0, 0.5: 323921.5, 0.6: 324349.0, 0.7: 324362.0, 0.8: 324609.0, 0.9: 324942.0}",6278,323903.9166666667
25200,324065,325054,"{0.1: 324159.0, 0.2: 324196.0, 0.3: 324274.0, 0.4: 324442.0, 0.5: 324624.5, 0.6: 324703.0, 0.7: 324817.0, 0.8: 324840.0, 0.9: 324957.0}",3225,324563.0
28800,321876,324155,"{0.1: 322116.0, 0.2: 322310.0, 0.3: 322439.0, 0.4: 322565.0, 0.5: 322733.5, 0.6: 323680.0, 0.7: 323992.0, 0.8: 323999.0, 0.9: 324120.0}",2618,323059.9166666667
32400,321370,323000,"{0.1: 321398.0, 0.2: 321413.0, 0.3: 321452.0, 0.4: 321488.0, 0.5: 321635.0, 0.6: 321865.0, 0.7: 322231.0, 0.8: 322267.0, 0.9: 322573.0}",5487,321860.5833333333
36000,322825,323348,"{0.1: 322894.0, 0.2: 322933.0, 0.3: 323050.0, 0.4: 323143.0, 0.5: 323205.0, 0.6: 323237.0, 0.7: 323247.0, 0.8: 323273.0, 0.9: 323298.0}",4520,323138.1666666667
39600,323231,323722,"{0.1: 323238.0, 0.2: 323283.0, 0.3: 323323.0, 0.4: 323334.0, 0.5: 323424.0, 0.6: 323485.0, 0.7: 323534.0, 0.8: 323659.0, 0.9: 323687.0}",3562,323445.3333333333
43200,323643,325033,"{0.1: 323852.0, 0.2: 324058.0, 0.3: 324101.0, 0.4: 324174.0, 0.5: 324326.5, 0.6: 324527.0, 0.7: 324537.0, 0.8: 324806.0, 0.9: 324971.0}",3543,324362.9166666667
46800,323827,324328,"{0.1: 323840.0, 0.2: 323932.0, 0.3: 323943.0, 0.4: 323946.0, 0.5: 323948.0, 0.6: 323989.0, 0.7: 324065.0, 0.8: 324070.0, 0.9: 324137.0}",1948,323997.75
50400,323833,326651,"{0.1: 323844.0, 0.2: 323862.0, 0.3: 323887.0, 0.4: 323907.0, 0.5: 323931.0, 0.6: 324089.0, 0.7: 324386.0, 0.8: 324825.0, 0.9: 325190.0}",4935,324361.3333333333
54000,326806,327864,"{0.1: 326885.0, 0.2: 326912.0, 0.3: 326941.0, 0.4: 326999.0, 0.5: 327057.0, 0.6: 327152.0, 0.7: 327257.0, 0.8: 327536.0, 0.9: 327646.0}",3627,327176.0
57600,325370,326635,"{0.1: 325398.0, 0.2: 325439.0, 0.3: 325446.0, 0.4: 325460.0, 0.5: 325532.5, 0.6: 325809.0, 0.7: 325811.0, 0.8: 325879.0, 0.9: 326080.0}",3234,325699.3333333333
61200,325435,325760,"{0.1: 325438.0, 0.2: 325441.0, 0.3: 325470.0, 0.4: 325492.0, 0.5: 325548.5, 0.6: 325591.0, 0.7: 325610.0, 0.8: 325649.0, 0.9: 325737.0}",2923,325560.0
64800,325277,327072,"{0.1: 325301.0, 0.2: 325312.0, 0.3: 325323.0, 0.4: 325334.0, 0.5: 325366.0, 0.6: 325920.0, 0.7: 326390.0, 0.8: 326977.0, 0.9: 327044.0}",5271,325890.1666666667
68400,326580,327300,"{0.1: 326633.0, 0.2: 326643.0, 0.3: 326672.0, 0.4: 326824.0, 0.5: 326888.5, 0.6: 327070.0, 0.7: 327141.0, 0.8: 327156.0, 0.9: 327244.0}",4453,326920.0
72000,327371,328138,"{0.1: 327405.0, 0.2: 327410.0, 0.3: 327429.0, 0.4: 327433.0, 0.5: 327637.5, 0.6: 327750.0, 0.7: 327858.0, 0.8: 327992.0, 0.9: 328018.0}",4550,327673.25
75600,327055,327672,"{0.1: 327139.0, 0.2: 327153.0, 0.3: 327160.0, 0.4: 327171.0, 0.5: 327210.5, 0.6: 327358.0, 0.7: 327435.0, 0.8: 327490.0, 0.9: 327604.0}",2544,327304.8333333333
79200,326525,330494,"{0.1: 326717.0, 0.2: 326879.0, 0.3: 326976.0, 0.4: 327030.0, 0.5: 327098.5, 0.6: 327402.0, 0.7: 329611.0, 0.8: 330378.0, 0.9: 330391.0}",7203,328050.0
82800,323857,330191,"{0.1: 323879.0, 0.2: 324021.0, 0.3: 324090.0, 0.4: 324197.0, 0.5: 325478.5, 0.6: 327842.0, 0.7: 329520.0, 0.8: 329744.0, 0.9: 329967.0}",1677,326522.0833333333
86400,323835,324585,"{0.1: 323839.0, 0.2: 323875.0, 0.3: 323883.0, 0.4: 323992.0, 0.5: 324142.0, 0.6: 324471.0, 0.7: 324495.0, 0.8: 324550.0, 0.9: 324584.0}",4391,324199.4166666667
90000,323465,324369,"{0.1: 323502.0, 0.2: 323566.0, 0.3: 323792.0, 0.4: 323836.0, 0.5: 323845.0, 0.6: 323856.0, 0.7: 323892.0, 0.8: 324073.0, 0.9: 324201.0}",2769,323853.5
93600,322639,323717,"{0.1: 322849.0, 0.2: 322856.0, 0.3: 322866.0, 0.4: 323132.0, 0.5: 323265.0, 0.6: 323415.0, 0.7: 323435.0, 0.8: 323453.0, 0.9: 323706.0}",3625,323216.5
97200,321862,323122,"{0.1: 322063.0, 0.2: 322067.0, 0.3: 322231.0, 0.4: 322243.0, 0.5: 322303.5, 0.6: 322471.0, 0.7: 322523.0, 0.8: 322803.0, 0.9: 322894.0}",3345,322407.1666666667
100800,321426,322254,"{0.1: 321503.0, 0.2: 321551.0, 0.3: 321716.0, 0.4: 321761.0, 0.5: 321765.0, 0.6: 321786.0, 0.7: 321832.0, 0.8: 321947.0, 0.9: 322203.0}",4313,321792.4166666667
104400,321000,322634,"{0.1: 321197.0, 0.2: 321274.0, 0.3: 321375.0, 0.4: 321487.0, 0.5: 321522.5, 0.6: 321607.0, 0.7: 321702.0, 0.8: 322009.0, 0.9: 322602.0}",4869,321661.0
108000,322495,323795,"{0.1: 322495.0, 0.2: 322523.0, 0.3: 322597.0, 0.4: 322623.0, 0.5: 322913.5, 0.6: 323241.0, 0.7: 323289.0, 0.8: 323502.0, 0.9: 323719.0}",6987,323008.8333333333
111600,322683,323509,"{0.1: 322806.0, 0.2: 322894.0, 0.3: 322971.0, 0.4: 323034.0, 0.5: 323178.5, 0.6: 323267.0, 0.7: 323268.0, 0.8: 323347.0, 0.9: 323379.0}",3427,323126.25
115200,322539,323654,"{0.1: 322744.0, 0.2: 322775.0, 0.3: 322831.0, 0.4: 322938.0, 0.5: 323063.5, 0.6: 323117.0, 0.7: 323317.0, 0.8: 323498.0, 0.9: 323641.0}",4531,323098.4166666667
118800,323574,323954,"{0.1: 323653.0, 0.2: 323685.0, 0.3: 323699.0, 0.4: 323751.0, 0.5: 323795.5, 0.6: 323828.0, 0.7: 323828.0, 0.8: 323847.0, 0.9: 323856.0}",3845,323772.1666666667
122400,323760,324154,"{0.1: 323809.0, 0.2: 323832.0, 0.3: 323868.0, 0.4: 323872.0, 0.5: 323931.5, 0.6: 323992.0, 0.7: 324041.0, 0.8: 324052.0, 0.9: 324122.0}",3304,323947.0833333333
126000,324176,325532,"{0.1: 324208.0, 0.2: 324231.0, 0.3: 324241.0, 0.4: 324292.0, 0.5: 324434.0, 0.6: 324815.0, 0.7: 325216.0, 0.8: 325227.0, 0.9: 325481.0}",4017,324690.5833333333
129600,325700,327170,"{0.1: 325768.0, 0.2: 326264.0, 0.3: 326287.0, 0.4: 326307.0, 0.5: 326351.5, 0.6: 326859.0, 0.7: 327042.0, 0.8: 327062.0, 0.9: 327064.0}",3423,326518.8333333333
133200,326941,327212,"{0.1: 326950.0, 0.2: 326950.0, 0.3: 327002.0, 0.4: 327023.0, 0.5: 327034.0, 0.6: 327107.0, 0.7: 327113.0, 0.8: 327121.0, 0.9: 327205.0}",3351,327057.6666666667
136800,326937,328452,"{0.1: 326939.0, 0.2: 326992.0, 0.3: 327010.0, 0.4: 327019.0, 0.5: 327068.5, 0.6: 327401.0, 0.7: 328188.0, 0.8: 328389.0, 0.9: 328400.0}",6324,327488.6666666667
140400,328138,329127,"{0.1: 328485.0, 0.2: 328522.0, 0.3: 328592.0, 0.4: 328599.0, 0.5: 328638.5, 0.6: 328699.0, 0.7: 328705.0, 0.8: 328720.0, 0.9: 328763.0}",4565,328635.5833333333
144000,327498,327878,"{0.1: 327531.0, 0.2: 327544.0, 0.3: 327547.0, 0.4: 327554.0, 0.5: 327607.5, 0.6: 327653.0, 0.7: 327764.0, 0.8: 327843.0, 0.9: 327849.0}",3288,327656.3333333333
147600,327608,328195,"{0.1: 327650.0, 0.2: 327690.0, 0.3: 327737.0, 0.4: 327829.0, 0.5: 327863.0, 0.6: 327919.0, 0.7: 328007.0, 0.8: 328051.0, 0.9: 328065.0}",3800,327873.0833333333
151200,327823,328807,"{0.1: 327858.0, 0.2: 327901.0, 0.3: 327971.0, 0.4: 328063.0, 0.5: 328107.0, 0.6: 328669.0, 0.7: 328744.0, 0.8: 328748.0, 0.9: 328784.0}",4348,328298.5
154800,327743,328557,"{0.1: 327767.0, 0.2: 327800.0, 0.3: 327803.0, 0.4: 327851.0, 0.5: 327919.0, 0.6: 327956.0, 0.7: 327966.0, 0.8: 328091.0, 0.9: 328351.0}",2547,327976.9166666667
158400,327819,328520,"{0.1: 327831.0, 0.2: 327947.0, 0.3: 327961.0, 0.4: 327974.0, 0.5: 328052.5, 0.6: 328219.0, 0.7: 328285.0, 0.8: 328376.0, 0.9: 328379.0}",5043,328118.0
162000,327269,328684,"{0.1: 327482.0, 0.2: 327513.0, 0.3: 327515.0, 0.4: 327563.0, 0.5: 327577.0, 0.6: 327840.0, 0.7: 328134.0, 0.8: 328289.0, 0.9: 328497.0}",3147,327828.3333333333
165600,325976,327494,"{0.1: 326097.0, 0.2: 326189.0, 0.3: 326253.0, 0.4: 326258.0, 0.5: 326398.5, 0.6: 326559.0, 0.7: 326732.0, 0.8: 327031.0, 0.9: 327434.0}",2631,326568.3333333333
169200,324622,326073,"{0.1: 324828.0, 0.2: 325020.0, 0.3: 325114.0, 0.4: 325523.0, 0.5: 325818.5, 0.6: 325829.0, 0.7: 325870.0, 0.8: 325957.0, 0.9: 325964.0}",3659,325536.4166666667
