,minimum,maximum,percentiles,delays,mean
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0,323833.6666666667
3600,322787,323490,"{0.1: 322796.0, 0.2: 322952.0, 0.3: 322988.0, 0.4: 323060.0, 0.5: 323196.0, 0.6: 323426.0, 0.7: 323459.0, 0.8: 323466.0, 0.9: 323484.0}",2083,323191.6666666667
7200,322625,323571,"{0.1: 322713.0, 0.2: 322955.0, 0.3: 322971.0, 0.4: 323065.0, 0.5: 323295.5, 0.6: 323351.0, 0.7: 323368.0, 0.8: 323436.0, 0.9: 323508.0}",3933,323179.5
10800,322559,323552,"{0.1: 322572.0, 0.2: 322594.0, 0.3: 322659.0, 0.4: 322672.0, 0.5: 322762.5, 0.6: 322908.0, 0.7: 323160.0, 0.8: 323416.0, 0.9: 323476.0}",2272,322924.4166666667
14400,321844,322379,"{0.1: 321895.0, 0.2: 321906.0, 0.3: 321959.0, 0.4: 321991.0, 0.5: 322096.0, 0.6: 322157.0, 0.7: 322177.0, 0.8: 322191.0, 0.9: 322256.0}",3101,322078.9166666667
18000,322003,322867,"{0.1: 322086.0, 0.2: 322168.0, 0.3: 322184.0, 0.4: 322211.0, 0.5: 322308.5, 0.6: 322321.0, 0.7: 322401.0, 0.8: 322577.0, 0.9: 322847.0}",5844,322356.8333333333
21600,322846,325183,"{0.1: 323088.0, 0.2: 323101.0, 0.3: 323251.0, 0.4: 323308.0, 0.5: 323926.0, 0.6: 324349.0, 0.7: 324363.0, 0.8: 324615.0, 0.9: 324950.0}",6278,323908.8333333333
25200,324104,325055,"{0.1: 324161.0, 0.2: 324202.0, 0.3: 324217.0, 0.4: 324280.0, 0.5: 324625.0, 0.6: 324703.0, 0.7: 324843.0, 0.8: 324897.0, 0.9: 324956.0}",3471,324555.6666666667
28800,321878,324164,"{0.1: 322114.0, 0.2: 322258.0, 0.3: 322605.0, 0.4: 322714.0, 0.5: 322872.5, 0.6: 323680.0, 0.7: 324002.0, 0.8: 324028.0, 0.9: 324136.0}",1861,323110.3333333333
32400,321349,323001,"{0.1: 321362.0, 0.2: 321393.0, 0.3: 321430.0, 0.4: 321459.0, 0.5: 321616.0, 0.6: 321851.0, 0.7: 322230.0, 0.8: 322261.0, 0.9: 322563.0}",5487,321844.25
36000,322768,323337,"{0.1: 322825.0, 0.2: 322852.0, 0.3: 322881.0, 0.4: 322958.0, 0.5: 323110.5, 0.6: 323234.0, 0.7: 323235.0, 0.8: 323245.0, 0.9: 323273.0}",5300,323069.0833333333
39600,323233,323725,"{0.1: 323248.0, 0.2: 323342.0, 0.3: 323347.0, 0.4: 323364.0, 0.5: 323443.0, 0.6: 323513.0, 0.7: 323536.0, 0.8: 323659.0, 0.9: 323687.0}",3562,323461.6666666667
43200,323642,325026,"{0.1: 323852.0, 0.2: 324068.0, 0.3: 324101.0, 0.4: 324175.0, 0.5: 324312.0, 0.6: 324331.0, 0.7: 324527.0, 0.8: 324858.0, 0.9: 324967.0}",3775,324347.5833333333
46800,323750,324363,"{0.1: 323813.0, 0.2: 323851.0, 0.3: 323894.0, 0.4: 323955.0, 0.5: 323958.5, 0.6: 323970.0, 0.7: 324092.0, 0.8: 324093.0, 0.9: 324145.0}",2364,323986.9166666667
50400,323732,326659,"{0.1: 323793.0, 0.2: 323794.0, 0.3: 323802.0, 0.4: 323811.0, 0.5: 323845.5, 0.6: 324149.0, 0.7: 324423.0, 0.8: 324838.0, 0.9: 325199.0}",5800,324324.25
54000,326745,327879,"{0.1: 326813.0, 0.2: 326888.0, 0.3: 326919.0, 0.4: 327014.0, 0.5: 327059.5, 0.6: 327154.0, 0.7: 327200.0, 0.8: 327547.0, 0.9: 327648.0}",3905,327160.5
57600,325363,326647,"{0.1: 325445.0, 0.2: 325446.0, 0.3: 325485.0, 0.4: 325514.0, 0.5: 325585.0, 0.6: 325772.0, 0.7: 325796.0, 0.8: 325858.0, 0.9: 326200.0}",2969,325724.6666666667
61200,325425,325765,"{0.1: 325448.0, 0.2: 325449.0, 0.3: 325471.0, 0.4: 325493.0, 0.5: 325569.0, 0.6: 325618.0, 0.7: 325652.0, 0.8: 325655.0, 0.9: 325737.0}",2923,325570.9166666667
64800,325201,327075,"{0.1: 325283.0, 0.2: 325316.0, 0.3: 325334.0, 0.4: 325340.0, 0.5: 325376.5, 0.6: 325922.0, 0.7: 326390.0, 0.8: 326989.0, 0.9: 327055.0}",5390,325888.1666666667
68400,326591,327312,"{0.1: 326647.0, 0.2: 326647.0, 0.3: 326698.0, 0.4: 326840.0, 0.5: 326862.0, 0.6: 327070.0, 0.7: 327141.0, 0.8: 327156.0, 0.9: 327254.0}",4518,326923.3333333333
72000,327373,328143,"{0.1: 327405.0, 0.2: 327413.0, 0.3: 327424.0, 0.4: 327433.0, 0.5: 327623.5, 0.6: 327745.0, 0.7: 327852.0, 0.8: 327983.0, 0.9: 328019.0}",4561,327669.75
75600,327062,327673,"{0.1: 327145.0, 0.2: 327164.0, 0.3: 327184.0, 0.4: 327186.0, 0.5: 327210.0, 0.6: 327266.0, 0.7: 327349.0, 0.8: 327446.0, 0.9: 327605.0}",2929,327291.6666666667
79200,326703,330502,"{0.1: 326740.0, 0.2: 326805.0, 0.3: 326809.0, 0.4: 327032.0, 0.5: 327098.5, 0.6: 327451.0, 0.7: 329702.0, 0.8: 330378.0, 0.9: 330391.0}",7367,328059.1666666667
82800,323864,330106,"{0.1: 323902.0, 0.2: 324013.0, 0.3: 324086.0, 0.4: 324340.0, 0.5: 325360.5, 0.6: 327723.0, 0.7: 329557.0, 0.8: 329784.0, 0.9: 329906.0}",2160,326500.1666666667
86400,323825,324577,"{0.1: 323832.0, 0.2: 323876.0, 0.3: 323902.0, 0.4: 324013.0, 0.5: 324138.0, 0.6: 324478.0, 0.7: 324510.0, 0.8: 324568.0, 0.9: 324574.0}",4418,324202.5833333333
90000,323484,324316,"{0.1: 323518.0, 0.2: 323528.0, 0.3: 323659.0, 0.4: 323827.0, 0.5: 323869.0, 0.6: 323887.0, 0.7: 323931.0, 0.8: 324071.0, 0.9: 324160.0}",3125,323843.25
93600,322876,323682,"{0.1: 322900.0, 0.2: 322924.0, 0.3: 323019.0, 0.4: 323116.0, 0.5: 323245.5, 0.6: 323305.0, 0.7: 323409.0, 0.8: 323457.0, 0.9: 323679.0}",3634,323238.1666666667
97200,322133,322945,"{0.1: 322187.0, 0.2: 322217.0, 0.3: 322273.0, 0.4: 322326.0, 0.5: 322376.0, 0.6: 322446.0, 0.7: 322693.0, 0.8: 322815.0, 0.9: 322943.0}",2705,322477.5
100800,321509,322166,"{0.1: 321516.0, 0.2: 321576.0, 0.3: 321603.0, 0.4: 321755.0, 0.5: 321778.0, 0.6: 321793.0, 0.7: 321800.0, 0.8: 321841.0, 0.9: 322084.0}",4536,321766.5833333333
104400,321225,322701,"{0.1: 321241.0, 0.2: 321293.0, 0.3: 321407.0, 0.4: 321469.0, 0.5: 321542.5, 0.6: 321570.0, 0.7: 321588.0, 0.8: 322013.0, 0.9: 322608.0}",4831,321683.3333333333
108000,322479,323808,"{0.1: 322524.0, 0.2: 322538.0, 0.3: 322589.0, 0.4: 322609.0, 0.5: 322926.5, 0.6: 323013.0, 0.7: 323264.0, 0.8: 323522.0, 0.9: 323723.0}",7323,322993.5
111600,322688,323510,"{0.1: 322721.0, 0.2: 322824.0, 0.3: 323003.0, 0.4: 323031.0, 0.5: 323245.0, 0.6: 323278.0, 0.7: 323290.0, 0.8: 323366.0, 0.9: 323379.0}",3603,323131.6666666667
115200,322507,323661,"{0.1: 322592.0, 0.2: 322771.0, 0.3: 322840.0, 0.4: 322948.0, 0.5: 323065.5, 0.6: 323119.0, 0.7: 323330.0, 0.8: 323506.0, 0.9: 323640.0}",4742,323087.0833333333
118800,323577,323964,"{0.1: 323649.0, 0.2: 323693.0, 0.3: 323727.0, 0.4: 323760.0, 0.5: 323796.0, 0.6: 323826.0, 0.7: 323834.0, 0.8: 323852.0, 0.9: 323860.0}",3845,323777.8333333333
122400,323723,324155,"{0.1: 323818.0, 0.2: 323832.0, 0.3: 323868.0, 0.4: 323903.0, 0.5: 323951.5, 0.6: 323990.0, 0.7: 324052.0, 0.8: 324064.0, 0.9: 324123.0}",3367,323952.5833333333
126000,324183,325532,"{0.1: 324228.0, 0.2: 324235.0, 0.3: 324241.0, 0.4: 324292.0, 0.5: 324438.0, 0.6: 324816.0, 0.7: 325217.0, 0.8: 325229.0, 0.9: 325386.0}",4017,324686.25
129600,325699,327188,"{0.1: 325771.0, 0.2: 326266.0, 0.3: 326287.0, 0.4: 326307.0, 0.5: 326351.5, 0.6: 326860.0, 0.7: 327046.0, 0.8: 327062.0, 0.9: 327064.0}",3423,326521.0833333333
133200,326943,327212,"{0.1: 326951.0, 0.2: 326968.0, 0.3: 326992.0, 0.4: 327023.0, 0.5: 327034.5, 0.6: 327111.0, 0.7: 327115.0, 0.8: 327121.0, 0.9: 327207.0}",3361,327059.3333333333
136800,326937,328444,"{0.1: 326956.0, 0.2: 326994.0, 0.3: 326998.0, 0.4: 327002.0, 0.5: 327070.5, 0.6: 327393.0, 0.7: 328164.0, 0.8: 328385.0, 0.9: 328408.0}",6324,327485.1666666667
140400,328177,329116,"{0.1: 328401.0, 0.2: 328495.0, 0.3: 328499.0, 0.4: 328594.0, 0.5: 328635.0, 0.6: 328689.0, 0.7: 328699.0, 0.8: 328713.0, 0.9: 328765.0}",4792,328618.1666666667
144000,327471,327947,"{0.1: 327483.0, 0.2: 327517.0, 0.3: 327542.0, 0.4: 327633.0, 0.5: 327734.5, 0.6: 327809.0, 0.7: 327826.0, 0.8: 327874.0, 0.9: 327935.0}",2313,327708.8333333333
147600,327594,328194,"{0.1: 327641.0, 0.2: 327645.0, 0.3: 327673.0, 0.4: 327812.0, 0.5: 327861.0, 0.6: 327910.0, 0.7: 327987.0, 0.8: 328051.0, 0.9: 328060.0}",3862,327857.4166666667
151200,327845,328802,"{0.1: 327859.0, 0.2: 327861.0, 0.3: 327902.0, 0.4: 328059.0, 0.5: 328110.5, 0.6: 328668.0, 0.7: 328742.0, 0.8: 328758.0, 0.9: 328786.0}",4459,328291.9166666667
154800,327544,328324,"{0.1: 327708.0, 0.2: 327799.0, 0.3: 327817.0, 0.4: 327830.0, 0.5: 327949.0, 0.6: 327993.0, 0.7: 328012.0, 0.8: 328127.0, 0.9: 328146.0}",3481,327933.1666666667
158400,327836,328522,"{0.1: 327855.0, 0.2: 327968.0, 0.3: 327982.0, 0.4: 327987.0, 0.5: 328054.5, 0.6: 328284.0, 0.7: 328305.0, 0.8: 328380.0, 0.9: 328383.0}",5097,328134.25
162000,327493,328708,"{0.1: 327496.0, 0.2: 327534.0, 0.3: 327552.0, 0.4: 327569.0, 0.5: 327581.5, 0.6: 327853.0, 0.7: 328154.0, 0.8: 328291.0, 0.9: 328499.0}",2718,327859.3333333333
165600,325926,327471,"{0.1: 326077.0, 0.2: 326179.0, 0.3: 326261.0, 0.4: 326325.0, 0.5: 326404.5, 0.6: 326622.0, 0.7: 326791.0, 0.8: 326950.0, 0.9: 327303.0}",2830,326559.5
169200,324826,326072,"{0.1: 324970.0, 0.2: 325328.0, 0.3: 325360.0, 0.4: 325501.0, 0.5: 325785.0, 0.6: 325862.0, 0.7: 325867.0, 0.8: 325963.0, 0.9: 326016.0}",2552,325611.25
