,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323619,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323583.0}",0
7200,322617,323766,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323308.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323560.0, 0.8: 323593.0, 0.9: 323716.0}",0
10800,322514,323572,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323027.0, 0.8: 323306.0, 0.9: 323529.0}",0
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322089.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0
18000,322071,322934,"{0.1: 322236.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322524.5, 0.6: 322619.0, 0.7: 322892.0, 0.8: 322926.0, 0.9: 322926.0}",0
21600,323112,325201,"{0.1: 323140.0, 0.2: 323278.0, 0.3: 323348.0, 0.4: 323750.0, 0.5: 324277.0, 0.6: 324518.0, 0.7: 324640.0, 0.8: 324716.0, 0.9: 324995.0}",0
25200,324137,325063,"{0.1: 324187.0, 0.2: 324191.0, 0.3: 324247.0, 0.4: 324278.0, 0.5: 324443.5, 0.6: 324697.0, 0.7: 324857.0, 0.8: 324917.0, 0.9: 324991.0}",0
28800,321933,324189,"{0.1: 321974.0, 0.2: 322160.0, 0.3: 322401.0, 0.4: 322613.0, 0.5: 322734.0, 0.6: 322897.0, 0.7: 323969.0, 0.8: 324013.0, 0.9: 324062.0}",0
32400,321538,323105,"{0.1: 321553.0, 0.2: 321569.0, 0.3: 321603.0, 0.4: 321673.0, 0.5: 321876.5, 0.6: 322312.0, 0.7: 322438.0, 0.8: 322703.0, 0.9: 322958.0}",0
36000,322868,323589,"{0.1: 322926.0, 0.2: 323080.0, 0.3: 323121.0, 0.4: 323232.0, 0.5: 323324.0, 0.6: 323393.0, 0.7: 323412.0, 0.8: 323445.0, 0.9: 323458.0}",0
39600,323322,323783,"{0.1: 323324.0, 0.2: 323368.0, 0.3: 323407.0, 0.4: 323438.0, 0.5: 323533.5, 0.6: 323693.0, 0.7: 323694.0, 0.8: 323698.0, 0.9: 323728.0}",0
43200,323860,325065,"{0.1: 324092.0, 0.2: 324117.0, 0.3: 324186.0, 0.4: 324334.0, 0.5: 324348.0, 0.6: 324404.0, 0.7: 324552.0, 0.8: 324876.0, 0.9: 325024.0}",0
46800,323812,324178,"{0.1: 323833.0, 0.2: 323839.0, 0.3: 323931.0, 0.4: 323936.0, 0.5: 323988.0, 0.6: 323996.0, 0.7: 324074.0, 0.8: 324142.0, 0.9: 324174.0}",0
