,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323476,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 322996.0, 0.4: 323060.0, 0.5: 323180.5, 0.6: 323410.0, 0.7: 323424.0, 0.8: 323459.0, 0.9: 323469.0}",633
7200,322691,323494,"{0.1: 323055.0, 0.2: 323132.0, 0.3: 323169.0, 0.4: 323189.0, 0.5: 323384.5, 0.6: 323451.0, 0.7: 323451.0, 0.8: 323482.0, 0.9: 323485.0}",638
10800,322583,323504,"{0.1: 322642.0, 0.2: 322668.0, 0.3: 322686.0, 0.4: 322789.0, 0.5: 322925.5, 0.6: 323063.0, 0.7: 323170.0, 0.8: 323501.0, 0.9: 323502.0}",128
14400,321928,322327,"{0.1: 321948.0, 0.2: 322010.0, 0.3: 322010.0, 0.4: 322014.0, 0.5: 322032.0, 0.6: 322065.0, 0.7: 322116.0, 0.8: 322120.0, 0.9: 322236.0}",516
18000,322107,322861,"{0.1: 322130.0, 0.2: 322142.0, 0.3: 322150.0, 0.4: 322256.0, 0.5: 322278.0, 0.6: 322289.0, 0.7: 322556.0, 0.8: 322802.0, 0.9: 322805.0}",1605
21600,322855,325026,"{0.1: 323053.0, 0.2: 323077.0, 0.3: 323184.0, 0.4: 323282.0, 0.5: 324078.5, 0.6: 324728.0, 0.7: 324838.0, 0.8: 324911.0, 0.9: 324923.0}",1459
25200,324218,324944,"{0.1: 324310.0, 0.2: 324312.0, 0.3: 324325.0, 0.4: 324326.0, 0.5: 324780.5, 0.6: 324902.0, 0.7: 324906.0, 0.8: 324935.0, 0.9: 324937.0}",242
28800,322043,324235,"{0.1: 322161.0, 0.2: 322182.0, 0.3: 322465.0, 0.4: 322654.0, 0.5: 322782.0, 0.6: 323250.0, 0.7: 324070.0, 0.8: 324074.0, 0.9: 324161.0}",0
32400,321578,322861,"{0.1: 321581.0, 0.2: 321609.0, 0.3: 321613.0, 0.4: 321624.0, 0.5: 321664.5, 0.6: 321989.0, 0.7: 322159.0, 0.8: 322214.0, 0.9: 322525.0}",1276
36000,322848,323330,"{0.1: 322931.0, 0.2: 323015.0, 0.3: 323099.0, 0.4: 323170.0, 0.5: 323233.5, 0.6: 323291.0, 0.7: 323298.0, 0.8: 323308.0, 0.9: 323326.0}",1097
39600,323360,323661,"{0.1: 323365.0, 0.2: 323384.0, 0.3: 323388.0, 0.4: 323394.0, 0.5: 323396.0, 0.6: 323398.0, 0.7: 323508.0, 0.8: 323608.0, 0.9: 323650.0}",1254
43200,323667,325012,"{0.1: 323773.0, 0.2: 324015.0, 0.3: 324030.0, 0.4: 324118.0, 0.5: 324285.0, 0.6: 324488.0, 0.7: 324516.0, 0.8: 324769.0, 0.9: 324964.0}",1606
46800,323882,324415,"{0.1: 323925.0, 0.2: 323963.0, 0.3: 323964.0, 0.4: 323981.0, 0.5: 323988.0, 0.6: 323994.0, 0.7: 324168.0, 0.8: 324183.0, 0.9: 324246.0}",180
50400,323835,326627,"{0.1: 323871.0, 0.2: 323888.0, 0.3: 323898.0, 0.4: 323902.0, 0.5: 323907.0, 0.6: 324012.0, 0.7: 324322.0, 0.8: 324800.0, 0.9: 325138.0}",1233
54000,326867,327814,"{0.1: 326903.0, 0.2: 327100.0, 0.3: 327110.0, 0.4: 327119.0, 0.5: 327147.0, 0.6: 327173.0, 0.7: 327411.0, 0.8: 327457.0, 0.9: 327794.0}",986
57600,325450,326788,"{0.1: 325518.0, 0.2: 325518.0, 0.3: 325543.0, 0.4: 325546.0, 0.5: 325553.0, 0.6: 325619.0, 0.7: 325741.0, 0.8: 325752.0, 0.9: 326004.0}",550
61200,325455,325780,"{0.1: 325539.0, 0.2: 325543.0, 0.3: 325588.0, 0.4: 325591.0, 0.5: 325646.5, 0.6: 325665.0, 0.7: 325668.0, 0.8: 325672.0, 0.9: 325778.0}",218
64800,325155,327073,"{0.1: 325376.0, 0.2: 325404.0, 0.3: 325410.0, 0.4: 325437.0, 0.5: 325467.0, 0.6: 325792.0, 0.7: 326295.0, 0.8: 326904.0, 0.9: 326943.0}",1161
68400,326840,327268,"{0.1: 326868.0, 0.2: 326928.0, 0.3: 326957.0, 0.4: 326968.0, 0.5: 327013.5, 0.6: 327053.0, 0.7: 327231.0, 0.8: 327233.0, 0.9: 327266.0}",535
72000,327095,328077,"{0.1: 327235.0, 0.2: 327245.0, 0.3: 327298.0, 0.4: 327506.0, 0.5: 327550.0, 0.6: 327865.0, 0.7: 327920.0, 0.8: 328036.0, 0.9: 328048.0}",1498
75600,327178,327727,"{0.1: 327187.0, 0.2: 327226.0, 0.3: 327271.0, 0.4: 327278.0, 0.5: 327281.0, 0.6: 327288.0, 0.7: 327296.0, 0.8: 327361.0, 0.9: 327664.0}",100
79200,326580,330479,"{0.1: 326874.0, 0.2: 326881.0, 0.3: 326945.0, 0.4: 327105.0, 0.5: 327161.5, 0.6: 327199.0, 0.7: 329399.0, 0.8: 330242.0, 0.9: 330330.0}",1434
82800,323939,330049,"{0.1: 324015.0, 0.2: 324164.0, 0.3: 324211.0, 0.4: 324211.0, 0.5: 325379.5, 0.6: 327498.0, 0.7: 329291.0, 0.8: 329712.0, 0.9: 329926.0}",0
86400,323912,324516,"{0.1: 323984.0, 0.2: 324001.0, 0.3: 324018.0, 0.4: 324019.0, 0.5: 324035.0, 0.6: 324299.0, 0.7: 324365.0, 0.8: 324404.0, 0.9: 324430.0}",840
90000,323585,324332,"{0.1: 323647.0, 0.2: 323759.0, 0.3: 323765.0, 0.4: 323775.0, 0.5: 323802.5, 0.6: 323813.0, 0.7: 323814.0, 0.8: 324101.0, 0.9: 324249.0}",357
93600,322822,323530,"{0.1: 322922.0, 0.2: 323028.0, 0.3: 323031.0, 0.4: 323093.0, 0.5: 323142.5, 0.6: 323318.0, 0.7: 323321.0, 0.8: 323459.0, 0.9: 323489.0}",654
97200,322105,323068,"{0.1: 322225.0, 0.2: 322233.0, 0.3: 322260.0, 0.4: 322280.0, 0.5: 322307.5, 0.6: 322316.0, 0.7: 322388.0, 0.8: 322878.0, 0.9: 323044.0}",219
100800,321579,322317,"{0.1: 321615.0, 0.2: 321667.0, 0.3: 321670.0, 0.4: 321688.0, 0.5: 321692.5, 0.6: 321697.0, 0.7: 321698.0, 0.8: 321841.0, 0.9: 321956.0}",650
104400,321181,322487,"{0.1: 321420.0, 0.2: 321508.0, 0.3: 321534.0, 0.4: 321550.0, 0.5: 321597.0, 0.6: 321703.0, 0.7: 321709.0, 0.8: 321899.0, 0.9: 322477.0}",626
108000,322608,323700,"{0.1: 322614.0, 0.2: 322649.0, 0.3: 322651.0, 0.4: 322667.0, 0.5: 322720.0, 0.6: 323557.0, 0.7: 323577.0, 0.8: 323602.0, 0.9: 323674.0}",1394
111600,322781,323498,"{0.1: 322860.0, 0.2: 322914.0, 0.3: 323082.0, 0.4: 323133.0, 0.5: 323269.0, 0.6: 323328.0, 0.7: 323371.0, 0.8: 323374.0, 0.9: 323374.0}",227
115200,322641,323583,"{0.1: 322904.0, 0.2: 322918.0, 0.3: 322930.0, 0.4: 322985.0, 0.5: 322996.5, 0.6: 323033.0, 0.7: 323187.0, 0.8: 323377.0, 0.9: 323575.0}",1195
118800,323626,323864,"{0.1: 323636.0, 0.2: 323645.0, 0.3: 323716.0, 0.4: 323724.0, 0.5: 323739.0, 0.6: 323746.0, 0.7: 323767.0, 0.8: 323768.0, 0.9: 323788.0}",1483
122400,323896,324065,"{0.1: 323934.0, 0.2: 323976.0, 0.3: 323980.0, 0.4: 323984.0, 0.5: 323988.0, 0.6: 324011.0, 0.7: 324022.0, 0.8: 324027.0, 0.9: 324028.0}",825
126000,324093,325486,"{0.1: 324178.0, 0.2: 324203.0, 0.3: 324215.0, 0.4: 324236.0, 0.5: 324415.5, 0.6: 324789.0, 0.7: 325181.0, 0.8: 325203.0, 0.9: 325286.0}",1685
129600,325692,327125,"{0.1: 325722.0, 0.2: 326276.0, 0.3: 326277.0, 0.4: 326390.0, 0.5: 326414.5, 0.6: 326825.0, 0.7: 327057.0, 0.8: 327079.0, 0.9: 327124.0}",1343
133200,327137,327155,"{0.1: 327138.0, 0.2: 327141.0, 0.3: 327141.0, 0.4: 327143.0, 0.5: 327143.5, 0.6: 327144.0, 0.7: 327147.0, 0.8: 327147.0, 0.9: 327151.0}",440
136800,327081,328410,"{0.1: 327111.0, 0.2: 327128.0, 0.3: 327134.0, 0.4: 327143.0, 0.5: 327159.0, 0.6: 327244.0, 0.7: 328151.0, 0.8: 328234.0, 0.9: 328394.0}",1015
140400,328190,328962,"{0.1: 328464.0, 0.2: 328559.0, 0.3: 328580.0, 0.4: 328595.0, 0.5: 328641.5, 0.6: 328653.0, 0.7: 328654.0, 0.8: 328769.0, 0.9: 328790.0}",1238
144000,327599,327843,"{0.1: 327618.0, 0.2: 327623.0, 0.3: 327627.0, 0.4: 327632.0, 0.5: 327655.5, 0.6: 327690.0, 0.7: 327710.0, 0.8: 327740.0, 0.9: 327818.0}",478
147600,327759,328101,"{0.1: 327786.0, 0.2: 327790.0, 0.3: 327800.0, 0.4: 327804.0, 0.5: 327816.0, 0.6: 327827.0, 0.7: 328036.0, 0.8: 328061.0, 0.9: 328098.0}",1131
151200,328003,328682,"{0.1: 328013.0, 0.2: 328054.0, 0.3: 328101.0, 0.4: 328103.0, 0.5: 328113.5, 0.6: 328535.0, 0.7: 328610.0, 0.8: 328658.0, 0.9: 328682.0}",696
