,minimum,maximum,percentiles,delays
0,323360,324526,"{0.1: 323363.0, 0.2: 323364.0, 0.3: 323377.0, 0.4: 323377.0, 0.5: 323520.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",153
3600,322949,323482,"{0.1: 322952.0, 0.2: 322968.0, 0.3: 322973.0, 0.4: 323069.0, 0.5: 323222.5, 0.6: 323368.0, 0.7: 323416.0, 0.8: 323444.0, 0.9: 323478.0}",766
7200,322701,323552,"{0.1: 322743.0, 0.2: 322867.0, 0.3: 322910.0, 0.4: 323169.0, 0.5: 323348.5, 0.6: 323445.0, 0.7: 323453.0, 0.8: 323453.0, 0.9: 323515.0}",985
10800,322591,323551,"{0.1: 322632.0, 0.2: 322651.0, 0.3: 322694.0, 0.4: 322815.0, 0.5: 322940.0, 0.6: 323096.0, 0.7: 323208.0, 0.8: 323481.0, 0.9: 323482.0}",201
14400,321920,322366,"{0.1: 321927.0, 0.2: 321937.0, 0.3: 321950.0, 0.4: 322037.0, 0.5: 322068.5, 0.6: 322091.0, 0.7: 322133.0, 0.8: 322142.0, 0.9: 322352.0}",590
18000,322066,322849,"{0.1: 322070.0, 0.2: 322139.0, 0.3: 322149.0, 0.4: 322174.0, 0.5: 322284.5, 0.6: 322301.0, 0.7: 322574.0, 0.8: 322602.0, 0.9: 322819.0}",1773
