,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323476,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 322996.0, 0.4: 323060.0, 0.5: 323180.5, 0.6: 323410.0, 0.7: 323424.0, 0.8: 323459.0, 0.9: 323469.0}",633
7200,322691,323494,"{0.1: 323055.0, 0.2: 323132.0, 0.3: 323169.0, 0.4: 323189.0, 0.5: 323384.5, 0.6: 323451.0, 0.7: 323451.0, 0.8: 323482.0, 0.9: 323485.0}",638
10800,322583,323504,"{0.1: 322642.0, 0.2: 322668.0, 0.3: 322686.0, 0.4: 322789.0, 0.5: 322925.5, 0.6: 323063.0, 0.7: 323170.0, 0.8: 323501.0, 0.9: 323502.0}",128
14400,321928,322327,"{0.1: 321948.0, 0.2: 322010.0, 0.3: 322010.0, 0.4: 322014.0, 0.5: 322032.0, 0.6: 322065.0, 0.7: 322116.0, 0.8: 322120.0, 0.9: 322236.0}",516
18000,322107,322861,"{0.1: 322130.0, 0.2: 322142.0, 0.3: 322150.0, 0.4: 322256.0, 0.5: 322278.0, 0.6: 322289.0, 0.7: 322556.0, 0.8: 322802.0, 0.9: 322805.0}",1605
