,minimum,maximum,percentiles,delays
100800,321491,322256,"{0.1: 321521.0, 0.2: 321648.0, 0.3: 321730.0, 0.4: 321751.0, 0.5: 321773.5, 0.6: 321829.0, 0.7: 321844.0, 0.8: 321912.0, 0.9: 322226.0}",1559
104400,321137,322684,"{0.1: 321269.0, 0.2: 321276.0, 0.3: 321407.0, 0.4: 321478.0, 0.5: 321545.0, 0.6: 321555.0, 0.7: 321587.0, 0.8: 322005.0, 0.9: 322603.0}",1533
108000,322503,323797,"{0.1: 322513.0, 0.2: 322529.0, 0.3: 322609.0, 0.4: 322652.0, 0.5: 322926.0, 0.6: 323016.0, 0.7: 323261.0, 0.8: 323519.0, 0.9: 323722.0}",2218
111600,322800,323510,"{0.1: 322807.0, 0.2: 322895.0, 0.3: 323003.0, 0.4: 323049.0, 0.5: 323245.0, 0.6: 323279.0, 0.7: 323301.0, 0.8: 323365.0, 0.9: 323378.0}",1313
115200,322554,323652,"{0.1: 322663.0, 0.2: 322738.0, 0.3: 322813.0, 0.4: 322933.0, 0.5: 323069.5, 0.6: 323111.0, 0.7: 323316.0, 0.8: 323508.0, 0.9: 323641.0}",1860
118800,323623,323954,"{0.1: 323652.0, 0.2: 323692.0, 0.3: 323704.0, 0.4: 323772.0, 0.5: 323790.0, 0.6: 323824.0, 0.7: 323829.0, 0.8: 323851.0, 0.9: 323852.0}",1774
122400,323745,324155,"{0.1: 323818.0, 0.2: 323832.0, 0.3: 323864.0, 0.4: 323902.0, 0.5: 323943.5, 0.6: 323992.0, 0.7: 324050.0, 0.8: 324051.0, 0.9: 324123.0}",1696
126000,324179,325531,"{0.1: 324216.0, 0.2: 324234.0, 0.3: 324238.0, 0.4: 324292.0, 0.5: 324434.0, 0.6: 324816.0, 0.7: 325217.0, 0.8: 325227.0, 0.9: 325417.0}",1758
129600,325700,327169,"{0.1: 325768.0, 0.2: 326256.0, 0.3: 326285.0, 0.4: 326305.0, 0.5: 326351.5, 0.6: 326859.0, 0.7: 327044.0, 0.8: 327062.0, 0.9: 327064.0}",1672
133200,326941,327212,"{0.1: 326951.0, 0.2: 326976.0, 0.3: 326992.0, 0.4: 327009.0, 0.5: 327034.5, 0.6: 327113.0, 0.7: 327121.0, 0.8: 327123.0, 0.9: 327205.0}",1512
136800,326932,328444,"{0.1: 326944.0, 0.2: 326985.0, 0.3: 327010.0, 0.4: 327021.0, 0.5: 327071.0, 0.6: 327409.0, 0.7: 328204.0, 0.8: 328389.0, 0.9: 328416.0}",2114
140400,328177,329133,"{0.1: 328404.0, 0.2: 328485.0, 0.3: 328508.0, 0.4: 328595.0, 0.5: 328643.0, 0.6: 328705.0, 0.7: 328707.0, 0.8: 328730.0, 0.9: 328764.0}",2066
144000,327486,327921,"{0.1: 327529.0, 0.2: 327546.0, 0.3: 327549.0, 0.4: 327554.0, 0.5: 327603.0, 0.6: 327674.0, 0.7: 327757.0, 0.8: 327833.0, 0.9: 327879.0}",1437
147600,327642,328195,"{0.1: 327646.0, 0.2: 327675.0, 0.3: 327680.0, 0.4: 327828.0, 0.5: 327854.5, 0.6: 327921.0, 0.7: 328005.0, 0.8: 328051.0, 0.9: 328069.0}",1989
151200,327837,328807,"{0.1: 327863.0, 0.2: 327871.0, 0.3: 327906.0, 0.4: 328060.0, 0.5: 328115.5, 0.6: 328674.0, 0.7: 328746.0, 0.8: 328758.0, 0.9: 328784.0}",1640
154800,327726,328329,"{0.1: 327768.0, 0.2: 327799.0, 0.3: 327811.0, 0.4: 327829.0, 0.5: 327942.0, 0.6: 327995.0, 0.7: 328010.0, 0.8: 328131.0, 0.9: 328144.0}",1362
158400,327822,328523,"{0.1: 327845.0, 0.2: 327963.0, 0.3: 327966.0, 0.4: 327987.0, 0.5: 328058.5, 0.6: 328204.0, 0.7: 328279.0, 0.8: 328375.0, 0.9: 328379.0}",2002
162000,327332,328708,"{0.1: 327450.0, 0.2: 327506.0, 0.3: 327543.0, 0.4: 327570.0, 0.5: 327573.5, 0.6: 327908.0, 0.7: 328147.0, 0.8: 328283.0, 0.9: 328495.0}",1087
165600,325918,327504,"{0.1: 326073.0, 0.2: 326173.0, 0.3: 326194.0, 0.4: 326238.0, 0.5: 326374.5, 0.6: 326724.0, 0.7: 326909.0, 0.8: 327038.0, 0.9: 327372.0}",916
169200,324541,326066,"{0.1: 324889.0, 0.2: 325172.0, 0.3: 325332.0, 0.4: 325533.0, 0.5: 325831.5, 0.6: 325843.0, 0.7: 325869.0, 0.8: 325960.0, 0.9: 325995.0}",831
