,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323460,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323289.5, 0.6: 323386.0, 0.7: 323399.0, 0.8: 323418.0, 0.9: 323459.0}",444
7200,322691,323560,"{0.1: 323063.0, 0.2: 323131.0, 0.3: 323132.0, 0.4: 323389.0, 0.5: 323433.0, 0.6: 323439.0, 0.7: 323472.0, 0.8: 323491.0, 0.9: 323535.0}",414
10800,322544,323565,"{0.1: 322642.0, 0.2: 322668.0, 0.3: 322686.0, 0.4: 322787.0, 0.5: 322884.5, 0.6: 323017.0, 0.7: 323099.0, 0.8: 323444.0, 0.9: 323561.0}",53
14400,321920,322318,"{0.1: 321948.0, 0.2: 321992.0, 0.3: 322045.0, 0.4: 322111.0, 0.5: 322118.0, 0.6: 322128.0, 0.7: 322130.0, 0.8: 322156.0, 0.9: 322234.0}",234
18000,322142,322783,"{0.1: 322160.0, 0.2: 322170.0, 0.3: 322172.0, 0.4: 322194.0, 0.5: 322201.0, 0.6: 322251.0, 0.7: 322537.0, 0.8: 322725.0, 0.9: 322781.0}",1519
21600,322798,325166,"{0.1: 323021.0, 0.2: 323082.0, 0.3: 323191.0, 0.4: 323247.0, 0.5: 323909.5, 0.6: 324723.0, 0.7: 324852.0, 0.8: 324923.0, 0.9: 324927.0}",1550
25200,324214,325049,"{0.1: 324279.0, 0.2: 324289.0, 0.3: 324316.0, 0.4: 324459.0, 0.5: 324717.5, 0.6: 324935.0, 0.7: 324970.0, 0.8: 325026.0, 0.9: 325027.0}",34
28800,322030,324221,"{0.1: 322174.0, 0.2: 322196.0, 0.3: 322454.0, 0.4: 322653.0, 0.5: 322772.0, 0.6: 323252.0, 0.7: 324058.0, 0.8: 324064.0, 0.9: 324175.0}",0
32400,321574,322852,"{0.1: 321578.0, 0.2: 321613.0, 0.3: 321629.0, 0.4: 321698.0, 0.5: 321868.0, 0.6: 321993.0, 0.7: 322138.0, 0.8: 322172.0, 0.9: 322508.0}",1054
36000,322765,323353,"{0.1: 322800.0, 0.2: 323013.0, 0.3: 323083.0, 0.4: 323131.0, 0.5: 323188.0, 0.6: 323277.0, 0.7: 323309.0, 0.8: 323334.0, 0.9: 323337.0}",1157
39600,323379,323625,"{0.1: 323406.0, 0.2: 323419.0, 0.3: 323431.0, 0.4: 323469.0, 0.5: 323472.5, 0.6: 323480.0, 0.7: 323499.0, 0.8: 323585.0, 0.9: 323597.0}",1000
43200,323609,325010,"{0.1: 323748.0, 0.2: 323990.0, 0.3: 324031.0, 0.4: 324097.0, 0.5: 324267.0, 0.6: 324496.0, 0.7: 324512.0, 0.8: 324649.0, 0.9: 324949.0}",1626
46800,323882,324407,"{0.1: 323925.0, 0.2: 323944.0, 0.3: 323963.0, 0.4: 324007.0, 0.5: 324064.5, 0.6: 324088.0, 0.7: 324169.0, 0.8: 324177.0, 0.9: 324244.0}",0
50400,323800,326621,"{0.1: 323862.0, 0.2: 323871.0, 0.3: 323903.0, 0.4: 323990.0, 0.5: 323999.0, 0.6: 324014.0, 0.7: 324304.0, 0.8: 324790.0, 0.9: 325120.0}",1088
54000,326852,327830,"{0.1: 326870.0, 0.2: 326913.0, 0.3: 327035.0, 0.4: 327114.0, 0.5: 327174.0, 0.6: 327188.0, 0.7: 327413.0, 0.8: 327480.0, 0.9: 327592.0}",1241
57600,325476,326799,"{0.1: 325516.0, 0.2: 325532.0, 0.3: 325546.0, 0.4: 325568.0, 0.5: 325610.5, 0.6: 325666.0, 0.7: 325701.0, 0.8: 325732.0, 0.9: 325919.0}",473
61200,325457,325730,"{0.1: 325523.0, 0.2: 325532.0, 0.3: 325585.0, 0.4: 325589.0, 0.5: 325650.5, 0.6: 325684.0, 0.7: 325685.0, 0.8: 325686.0, 0.9: 325720.0}",210
64800,325104,326990,"{0.1: 325361.0, 0.2: 325395.0, 0.3: 325404.0, 0.4: 325421.0, 0.5: 325495.5, 0.6: 325790.0, 0.7: 326268.0, 0.8: 326890.0, 0.9: 326925.0}",1156
68400,326840,327318,"{0.1: 326861.0, 0.2: 326925.0, 0.3: 326949.0, 0.4: 327017.0, 0.5: 327059.5, 0.6: 327090.0, 0.7: 327222.0, 0.8: 327235.0, 0.9: 327303.0}",453
72000,327086,328023,"{0.1: 327193.0, 0.2: 327248.0, 0.3: 327293.0, 0.4: 327391.0, 0.5: 327547.5, 0.6: 327906.0, 0.7: 327910.0, 0.8: 327946.0, 0.9: 327981.0}",1665
75600,327153,327756,"{0.1: 327162.0, 0.2: 327226.0, 0.3: 327258.0, 0.4: 327268.0, 0.5: 327288.5, 0.6: 327371.0, 0.7: 327433.0, 0.8: 327517.0, 0.9: 327742.0}",0
79200,326584,330386,"{0.1: 326868.0, 0.2: 326881.0, 0.3: 326988.0, 0.4: 327139.0, 0.5: 327169.5, 0.6: 327188.0, 0.7: 329385.0, 0.8: 330199.0, 0.9: 330242.0}",1471
82800,323939,330087,"{0.1: 324021.0, 0.2: 324157.0, 0.3: 324191.0, 0.4: 324217.0, 0.5: 325312.0, 0.6: 327514.0, 0.7: 329289.0, 0.8: 329727.0, 0.9: 329946.0}",0
86400,323903,324494,"{0.1: 323977.0, 0.2: 323983.0, 0.3: 324097.0, 0.4: 324099.0, 0.5: 324124.5, 0.6: 324293.0, 0.7: 324348.0, 0.8: 324381.0, 0.9: 324424.0}",726
90000,323580,324324,"{0.1: 323643.0, 0.2: 323739.0, 0.3: 323778.0, 0.4: 323917.0, 0.5: 323929.0, 0.6: 324001.0, 0.7: 324001.0, 0.8: 324093.0, 0.9: 324252.0}",0
93600,322774,323429,"{0.1: 322914.0, 0.2: 322997.0, 0.3: 323045.0, 0.4: 323205.0, 0.5: 323276.0, 0.6: 323317.0, 0.7: 323329.0, 0.8: 323337.0, 0.9: 323373.0}",385
97200,322088,323053,"{0.1: 322164.0, 0.2: 322210.0, 0.3: 322320.0, 0.4: 322337.0, 0.5: 322353.0, 0.6: 322392.0, 0.7: 322430.0, 0.8: 322835.0, 0.9: 323001.0}",46
100800,321528,322354,"{0.1: 321579.0, 0.2: 321625.0, 0.3: 321654.0, 0.4: 321758.0, 0.5: 321841.0, 0.6: 321876.0, 0.7: 321887.0, 0.8: 321888.0, 0.9: 321899.0}",11
104400,321088,322472,"{0.1: 321304.0, 0.2: 321375.0, 0.3: 321451.0, 0.4: 321546.0, 0.5: 321592.0, 0.6: 321596.0, 0.7: 321619.0, 0.8: 321879.0, 0.9: 322453.0}",545
108000,322339,323713,"{0.1: 322456.0, 0.2: 322556.0, 0.3: 322617.0, 0.4: 322619.0, 0.5: 322717.0, 0.6: 323482.0, 0.7: 323561.0, 0.8: 323586.0, 0.9: 323622.0}",1641
111600,322724,323609,"{0.1: 322842.0, 0.2: 322896.0, 0.3: 323066.0, 0.4: 323131.0, 0.5: 323282.5, 0.6: 323332.0, 0.7: 323490.0, 0.8: 323515.0, 0.9: 323587.0}",0
115200,322590,323561,"{0.1: 322863.0, 0.2: 322952.0, 0.3: 323049.0, 0.4: 323118.0, 0.5: 323130.5, 0.6: 323188.0, 0.7: 323223.0, 0.8: 323339.0, 0.9: 323461.0}",821
118800,323525,323860,"{0.1: 323636.0, 0.2: 323653.0, 0.3: 323712.0, 0.4: 323719.0, 0.5: 323734.0, 0.6: 323753.0, 0.7: 323768.0, 0.8: 323779.0, 0.9: 323796.0}",1479
122400,323870,324075,"{0.1: 323929.0, 0.2: 323938.0, 0.3: 323954.0, 0.4: 323959.0, 0.5: 323980.0, 0.6: 323986.0, 0.7: 323993.0, 0.8: 324003.0, 0.9: 324012.0}",909
126000,324090,325491,"{0.1: 324179.0, 0.2: 324181.0, 0.3: 324206.0, 0.4: 324234.0, 0.5: 324412.0, 0.6: 324788.0, 0.7: 325173.0, 0.8: 325188.0, 0.9: 325200.0}",1752
129600,325687,327099,"{0.1: 325743.0, 0.2: 326243.0, 0.3: 326281.0, 0.4: 326299.0, 0.5: 326370.5, 0.6: 326844.0, 0.7: 327027.0, 0.8: 327033.0, 0.9: 327057.0}",1615
133200,327121,327194,"{0.1: 327140.0, 0.2: 327158.0, 0.3: 327162.0, 0.4: 327172.0, 0.5: 327177.0, 0.6: 327179.0, 0.7: 327191.0, 0.8: 327192.0, 0.9: 327192.0}",303
136800,327050,328245,"{0.1: 327087.0, 0.2: 327122.0, 0.3: 327127.0, 0.4: 327174.0, 0.5: 327176.0, 0.6: 327213.0, 0.7: 328036.0, 0.8: 328183.0, 0.9: 328187.0}",1116
140400,328173,328966,"{0.1: 328320.0, 0.2: 328546.0, 0.3: 328569.0, 0.4: 328573.0, 0.5: 328653.5, 0.6: 328682.0, 0.7: 328688.0, 0.8: 328759.0, 0.9: 328793.0}",1283
144000,327605,327867,"{0.1: 327618.0, 0.2: 327621.0, 0.3: 327622.0, 0.4: 327674.0, 0.5: 327693.5, 0.6: 327712.0, 0.7: 327714.0, 0.8: 327716.0, 0.9: 327818.0}",423
147600,327753,328098,"{0.1: 327766.0, 0.2: 327770.0, 0.3: 327781.0, 0.4: 327787.0, 0.5: 327792.5, 0.6: 327796.0, 0.7: 327975.0, 0.8: 327999.0, 0.9: 328034.0}",1377
151200,328034,328686,"{0.1: 328071.0, 0.2: 328088.0, 0.3: 328094.0, 0.4: 328094.0, 0.5: 328100.5, 0.6: 328530.0, 0.7: 328614.0, 0.8: 328654.0, 0.9: 328685.0}",796
154800,327647,328439,"{0.1: 327884.0, 0.2: 327886.0, 0.3: 327906.0, 0.4: 327907.0, 0.5: 328018.5, 0.6: 328036.0, 0.7: 328088.0, 0.8: 328230.0, 0.9: 328288.0}",58
158400,327930,328350,"{0.1: 327961.0, 0.2: 328004.0, 0.3: 328004.0, 0.4: 328016.0, 0.5: 328025.5, 0.6: 328194.0, 0.7: 328261.0, 0.8: 328288.0, 0.9: 328326.0}",1031
162000,327427,328389,"{0.1: 327578.0, 0.2: 327600.0, 0.3: 327630.0, 0.4: 327634.0, 0.5: 327688.0, 0.6: 327712.0, 0.7: 328088.0, 0.8: 328340.0, 0.9: 328381.0}",224
165600,325818,327565,"{0.1: 326040.0, 0.2: 326204.0, 0.3: 326305.0, 0.4: 326386.0, 0.5: 326430.0, 0.6: 326591.0, 0.7: 326769.0, 0.8: 326886.0, 0.9: 326973.0}",0
169200,324662,326145,"{0.1: 324684.0, 0.2: 325062.0, 0.3: 325094.0, 0.4: 325270.0, 0.5: 325685.5, 0.6: 325956.0, 0.7: 325986.0, 0.8: 326127.0, 0.9: 326129.0}",15
