,minimum,maximum,percentiles,delays
50400,323776,326605,"{0.1: 323825.0, 0.2: 323851.0, 0.3: 323890.0, 0.4: 323977.0, 0.5: 324096.5, 0.6: 324199.0, 0.7: 324289.0, 0.8: 324782.0, 0.9: 325099.0}",958
54000,326793,327976,"{0.1: 326824.0, 0.2: 326849.0, 0.3: 326997.0, 0.4: 327077.0, 0.5: 327171.0, 0.6: 327309.0, 0.7: 327636.0, 0.8: 327642.0, 0.9: 327948.0}",427
57600,325440,326657,"{0.1: 325453.0, 0.2: 325476.0, 0.3: 325494.0, 0.4: 325512.0, 0.5: 325603.5, 0.6: 325788.0, 0.7: 325832.0, 0.8: 325948.0, 0.9: 325951.0}",0
61200,325404,325779,"{0.1: 325457.0, 0.2: 325472.0, 0.3: 325490.0, 0.4: 325497.0, 0.5: 325568.0, 0.6: 325639.0, 0.7: 325641.0, 0.8: 325670.0, 0.9: 325694.0}",0
64800,324970,326951,"{0.1: 325327.0, 0.2: 325364.0, 0.3: 325382.0, 0.4: 325391.0, 0.5: 325666.0, 0.6: 325905.0, 0.7: 326203.0, 0.8: 326862.0, 0.9: 326882.0}",978
68400,326786,327465,"{0.1: 326814.0, 0.2: 326889.0, 0.3: 326915.0, 0.4: 326933.0, 0.5: 327109.0, 0.6: 327250.0, 0.7: 327284.0, 0.8: 327303.0, 0.9: 327331.0}",112
72000,327476,328034,"{0.1: 327478.0, 0.2: 327484.0, 0.3: 327484.0, 0.4: 327623.0, 0.5: 327706.0, 0.6: 327815.0, 0.7: 327870.0, 0.8: 327872.0, 0.9: 327981.0}",166
75600,327098,327632,"{0.1: 327119.0, 0.2: 327192.0, 0.3: 327209.0, 0.4: 327218.0, 0.5: 327232.5, 0.6: 327291.0, 0.7: 327321.0, 0.8: 327405.0, 0.9: 327475.0}",0
79200,326468,330354,"{0.1: 326761.0, 0.2: 326846.0, 0.3: 326886.0, 0.4: 327128.0, 0.5: 327343.5, 0.6: 327668.0, 0.7: 329340.0, 0.8: 330145.0, 0.9: 330185.0}",1175
82800,323915,330053,"{0.1: 323980.0, 0.2: 324126.0, 0.3: 324159.0, 0.4: 324188.0, 0.5: 325155.5, 0.6: 327082.0, 0.7: 328881.0, 0.8: 329711.0, 0.9: 329931.0}",0
86400,323871,324670,"{0.1: 323911.0, 0.2: 323961.0, 0.3: 324094.0, 0.4: 324139.0, 0.5: 324304.5, 0.6: 324508.0, 0.7: 324535.0, 0.8: 324616.0, 0.9: 324639.0}",0
90000,323522,324234,"{0.1: 323537.0, 0.2: 323554.0, 0.3: 323707.0, 0.4: 323718.0, 0.5: 323873.0, 0.6: 323896.0, 0.7: 323902.0, 0.8: 323961.0, 0.9: 324114.0}",0
93600,322731,323756,"{0.1: 322889.0, 0.2: 322956.0, 0.3: 322979.0, 0.4: 323085.0, 0.5: 323213.0, 0.6: 323313.0, 0.7: 323366.0, 0.8: 323504.0, 0.9: 323533.0}",0
97200,321811,322970,"{0.1: 322091.0, 0.2: 322134.0, 0.3: 322261.0, 0.4: 322274.0, 0.5: 322301.0, 0.6: 322403.0, 0.7: 322507.0, 0.8: 322738.0, 0.9: 322842.0}",0
100800,321483,322305,"{0.1: 321542.0, 0.2: 321604.0, 0.3: 321614.0, 0.4: 321679.0, 0.5: 321815.0, 0.6: 321833.0, 0.7: 321855.0, 0.8: 321865.0, 0.9: 321873.0}",0
104400,321053,322403,"{0.1: 321158.0, 0.2: 321333.0, 0.3: 321414.0, 0.4: 321522.0, 0.5: 321577.5, 0.6: 321595.0, 0.7: 322041.0, 0.8: 322172.0, 0.9: 322353.0}",366
108000,322523,323735,"{0.1: 322610.0, 0.2: 322662.0, 0.3: 322829.0, 0.4: 323027.0, 0.5: 323089.0, 0.6: 323389.0, 0.7: 323469.0, 0.8: 323490.0, 0.9: 323646.0}",250
111600,322717,323570,"{0.1: 322767.0, 0.2: 322829.0, 0.3: 322870.0, 0.4: 323084.0, 0.5: 323190.0, 0.6: 323288.0, 0.7: 323309.0, 0.8: 323417.0, 0.9: 323468.0}",0
115200,322552,323723,"{0.1: 322758.0, 0.2: 322805.0, 0.3: 322951.0, 0.4: 323122.0, 0.5: 323137.0, 0.6: 323362.0, 0.7: 323560.0, 0.8: 323654.0, 0.9: 323662.0}",18
118800,323654,324016,"{0.1: 323739.0, 0.2: 323753.0, 0.3: 323800.0, 0.4: 323811.0, 0.5: 323828.0, 0.6: 323847.0, 0.7: 323864.0, 0.8: 323876.0, 0.9: 323972.0}",0
122400,323760,324190,"{0.1: 323839.0, 0.2: 323848.0, 0.3: 323875.0, 0.4: 323908.0, 0.5: 323958.0, 0.6: 324052.0, 0.7: 324092.0, 0.8: 324096.0, 0.9: 324161.0}",38
126000,324229,325444,"{0.1: 324236.0, 0.2: 324237.0, 0.3: 324295.0, 0.4: 324360.0, 0.5: 324485.5, 0.6: 324707.0, 0.7: 325081.0, 0.8: 325134.0, 0.9: 325137.0}",991
129600,325624,327218,"{0.1: 325703.0, 0.2: 326226.0, 0.3: 326234.0, 0.4: 326405.0, 0.5: 326671.5, 0.6: 327043.0, 0.7: 327095.0, 0.8: 327130.0, 0.9: 327143.0}",546
133200,327042,327282,"{0.1: 327061.0, 0.2: 327065.0, 0.3: 327082.0, 0.4: 327105.0, 0.5: 327119.0, 0.6: 327137.0, 0.7: 327140.0, 0.8: 327176.0, 0.9: 327231.0}",0
136800,326976,328190,"{0.1: 327003.0, 0.2: 327013.0, 0.3: 327032.0, 0.4: 327078.0, 0.5: 327155.5, 0.6: 327246.0, 0.7: 327962.0, 0.8: 328026.0, 0.9: 328091.0}",1050
140400,328021,329315,"{0.1: 328246.0, 0.2: 328462.0, 0.3: 328554.0, 0.4: 328617.0, 0.5: 328668.0, 0.6: 328762.0, 0.7: 328832.0, 0.8: 328916.0, 0.9: 329006.0}",457
144000,327539,327916,"{0.1: 327553.0, 0.2: 327585.0, 0.3: 327606.0, 0.4: 327615.0, 0.5: 327652.5, 0.6: 327777.0, 0.7: 327811.0, 0.8: 327843.0, 0.9: 327885.0}",0
147600,327641,328115,"{0.1: 327709.0, 0.2: 327746.0, 0.3: 327764.0, 0.4: 327856.0, 0.5: 327918.0, 0.6: 328030.0, 0.7: 328079.0, 0.8: 328093.0, 0.9: 328096.0}",171
151200,327872,328644,"{0.1: 327910.0, 0.2: 327921.0, 0.3: 328003.0, 0.4: 328092.0, 0.5: 328255.0, 0.6: 328505.0, 0.7: 328527.0, 0.8: 328566.0, 0.9: 328641.0}",495
154800,327629,328370,"{0.1: 327753.0, 0.2: 327849.0, 0.3: 327858.0, 0.4: 327887.0, 0.5: 327994.0, 0.6: 328035.0, 0.7: 328065.0, 0.8: 328181.0, 0.9: 328236.0}",0
158400,327880,328498,"{0.1: 327897.0, 0.2: 328032.0, 0.3: 328041.0, 0.4: 328070.0, 0.5: 328167.0, 0.6: 328276.0, 0.7: 328320.0, 0.8: 328339.0, 0.9: 328372.0}",260
162000,327343,328550,"{0.1: 327452.0, 0.2: 327521.0, 0.3: 327546.0, 0.4: 327554.0, 0.5: 327620.5, 0.6: 327644.0, 0.7: 327929.0, 0.8: 328216.0, 0.9: 328391.0}",74
165600,325748,327386,"{0.1: 325958.0, 0.2: 326142.0, 0.3: 326254.0, 0.4: 326305.0, 0.5: 326376.5, 0.6: 326525.0, 0.7: 326705.0, 0.8: 326853.0, 0.9: 326867.0}",0
169200,324620,326168,"{0.1: 324635.0, 0.2: 324994.0, 0.3: 325063.0, 0.4: 325212.0, 0.5: 325636.0, 0.6: 325902.0, 0.7: 325911.0, 0.8: 326055.0, 0.9: 326063.0}",0
