,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323619,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323583.0}",0
7200,322617,323766,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323308.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323560.0, 0.8: 323593.0, 0.9: 323716.0}",0
10800,322514,323572,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323027.0, 0.8: 323306.0, 0.9: 323529.0}",0
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322089.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0
18000,322071,322842,"{0.1: 322236.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322493.5, 0.6: 322581.0, 0.7: 322654.0, 0.8: 322721.0, 0.9: 322782.0}",397
21600,322909,325089,"{0.1: 322999.0, 0.2: 323101.0, 0.3: 323204.0, 0.4: 323310.0, 0.5: 323873.5, 0.6: 324682.0, 0.7: 324832.0, 0.8: 324846.0, 0.9: 324892.0}",1292
25200,324202,325121,"{0.1: 324240.0, 0.2: 324279.0, 0.3: 324310.0, 0.4: 324359.0, 0.5: 324565.0, 0.6: 324833.0, 0.7: 324883.0, 0.8: 324988.0, 0.9: 325059.0}",0
28800,322001,324209,"{0.1: 322004.0, 0.2: 322165.0, 0.3: 322413.0, 0.4: 322637.0, 0.5: 322759.0, 0.6: 323174.0, 0.7: 324026.0, 0.8: 324036.0, 0.9: 324109.0}",0
32400,321565,322990,"{0.1: 321570.0, 0.2: 321574.0, 0.3: 321613.0, 0.4: 321684.0, 0.5: 321972.5, 0.6: 322313.0, 0.7: 322442.0, 0.8: 322705.0, 0.9: 322971.0}",38
36000,322873,323592,"{0.1: 322928.0, 0.2: 323096.0, 0.3: 323145.0, 0.4: 323234.0, 0.5: 323284.5, 0.6: 323393.0, 0.7: 323435.0, 0.8: 323452.0, 0.9: 323478.0}",30
39600,323342,323734,"{0.1: 323368.0, 0.2: 323376.0, 0.3: 323410.0, 0.4: 323444.0, 0.5: 323540.5, 0.6: 323694.0, 0.7: 323695.0, 0.8: 323699.0, 0.9: 323730.0}",25
43200,323860,324935,"{0.1: 324005.0, 0.2: 324034.0, 0.3: 324083.0, 0.4: 324162.0, 0.5: 324292.5, 0.6: 324433.0, 0.7: 324441.0, 0.8: 324465.0, 0.9: 324850.0}",943
46800,323842,324349,"{0.1: 323878.0, 0.2: 323894.0, 0.3: 323937.0, 0.4: 323993.0, 0.5: 323999.0, 0.6: 324077.0, 0.7: 324107.0, 0.8: 324162.0, 0.9: 324226.0}",0
