,minimum,maximum,percentiles,delays
50400,323750,326941,"{0.1: 323823.0, 0.2: 323839.0, 0.3: 323872.0, 0.4: 323948.0, 0.5: 324077.0, 0.6: 324435.0, 0.7: 324840.0, 0.8: 325207.0, 0.9: 326479.0}",36
54000,326718,327923,"{0.1: 326813.0, 0.2: 326869.0, 0.3: 326950.0, 0.4: 327033.0, 0.5: 327146.0, 0.6: 327174.0, 0.7: 327354.0, 0.8: 327563.0, 0.9: 327903.0}",0
57600,325402,326261,"{0.1: 325412.0, 0.2: 325472.0, 0.3: 325477.0, 0.4: 325493.0, 0.5: 325521.0, 0.6: 325687.0, 0.7: 325778.0, 0.8: 325924.0, 0.9: 325926.0}",48
61200,325322,325773,"{0.1: 325453.0, 0.2: 325478.0, 0.3: 325498.0, 0.4: 325500.0, 0.5: 325558.5, 0.6: 325631.0, 0.7: 325648.0, 0.8: 325667.0, 0.9: 325687.0}",0
64800,324931,327334,"{0.1: 325314.0, 0.2: 325358.0, 0.3: 325381.0, 0.4: 325387.0, 0.5: 325766.5, 0.6: 326473.0, 0.7: 327042.0, 0.8: 327077.0, 0.9: 327166.0}",16
68400,326606,327454,"{0.1: 326666.0, 0.2: 326708.0, 0.3: 326751.0, 0.4: 326869.0, 0.5: 326997.0, 0.6: 327165.0, 0.7: 327170.0, 0.8: 327236.0, 0.9: 327261.0}",0
72000,327437,328150,"{0.1: 327442.0, 0.2: 327447.0, 0.3: 327455.0, 0.4: 327607.0, 0.5: 327690.5, 0.6: 327778.0, 0.7: 327862.0, 0.8: 327936.0, 0.9: 327997.0}",49
75600,327080,327614,"{0.1: 327109.0, 0.2: 327174.0, 0.3: 327191.0, 0.4: 327206.0, 0.5: 327225.5, 0.6: 327272.0, 0.7: 327316.0, 0.8: 327359.0, 0.9: 327473.0}",0
79200,326446,330526,"{0.1: 326733.0, 0.2: 326818.0, 0.3: 326828.0, 0.4: 327120.0, 0.5: 327321.0, 0.6: 328368.0, 0.7: 329907.0, 0.8: 330182.0, 0.9: 330425.0}",545
82800,323896,329960,"{0.1: 323944.0, 0.2: 324103.0, 0.3: 324130.0, 0.4: 324146.0, 0.5: 324989.0, 0.6: 326490.0, 0.7: 328337.0, 0.8: 329628.0, 0.9: 329830.0}",0
86400,323855,324625,"{0.1: 323884.0, 0.2: 323943.0, 0.3: 324045.0, 0.4: 324124.0, 0.5: 324291.0, 0.6: 324511.0, 0.7: 324527.0, 0.8: 324590.0, 0.9: 324610.0}",22
90000,323510,324223,"{0.1: 323527.0, 0.2: 323528.0, 0.3: 323687.0, 0.4: 323706.0, 0.5: 323868.0, 0.6: 323894.0, 0.7: 323895.0, 0.8: 323953.0, 0.9: 324108.0}",0
93600,322726,323743,"{0.1: 322881.0, 0.2: 322936.0, 0.3: 322975.0, 0.4: 323005.0, 0.5: 323190.0, 0.6: 323305.0, 0.7: 323359.0, 0.8: 323447.0, 0.9: 323489.0}",0
97200,321785,322962,"{0.1: 322090.0, 0.2: 322120.0, 0.3: 322253.0, 0.4: 322269.0, 0.5: 322297.5, 0.6: 322387.0, 0.7: 322500.0, 0.8: 322724.0, 0.9: 322823.0}",0
100800,321467,322298,"{0.1: 321532.0, 0.2: 321598.0, 0.3: 321611.0, 0.4: 321673.0, 0.5: 321811.5, 0.6: 321827.0, 0.7: 321831.0, 0.8: 321848.0, 0.9: 321870.0}",0
104400,321044,322749,"{0.1: 321156.0, 0.2: 321324.0, 0.3: 321414.0, 0.4: 321522.0, 0.5: 321569.5, 0.6: 321585.0, 0.7: 322040.0, 0.8: 322563.0, 0.9: 322655.0}",0
108000,322520,323766,"{0.1: 322552.0, 0.2: 322617.0, 0.3: 322659.0, 0.4: 322885.0, 0.5: 323032.0, 0.6: 323324.0, 0.7: 323420.0, 0.8: 323456.0, 0.9: 323539.0}",157
111600,322709,323562,"{0.1: 322751.0, 0.2: 322825.0, 0.3: 322868.0, 0.4: 323027.0, 0.5: 323160.5, 0.6: 323280.0, 0.7: 323288.0, 0.8: 323331.0, 0.9: 323446.0}",0
115200,322520,323757,"{0.1: 322564.0, 0.2: 322787.0, 0.3: 322951.0, 0.4: 323065.0, 0.5: 323122.5, 0.6: 323360.0, 0.7: 323534.0, 0.8: 323653.0, 0.9: 323661.0}",0
118800,323591,324012,"{0.1: 323705.0, 0.2: 323735.0, 0.3: 323784.0, 0.4: 323809.0, 0.5: 323824.5, 0.6: 323838.0, 0.7: 323864.0, 0.8: 323870.0, 0.9: 323971.0}",0
122400,323735,324185,"{0.1: 323823.0, 0.2: 323840.0, 0.3: 323870.0, 0.4: 323906.0, 0.5: 323953.5, 0.6: 324053.0, 0.7: 324070.0, 0.8: 324158.0, 0.9: 324164.0}",0
126000,324228,325724,"{0.1: 324235.0, 0.2: 324243.0, 0.3: 324293.0, 0.4: 324360.0, 0.5: 324642.5, 0.6: 325222.0, 0.7: 325246.0, 0.8: 325483.0, 0.9: 325546.0}",38
129600,325771,327190,"{0.1: 326268.0, 0.2: 326297.0, 0.3: 326309.0, 0.4: 326352.0, 0.5: 326609.5, 0.6: 326963.0, 0.7: 327050.0, 0.8: 327065.0, 0.9: 327070.0}",0
133200,326981,327240,"{0.1: 326992.0, 0.2: 327021.0, 0.3: 327041.0, 0.4: 327046.0, 0.5: 327068.0, 0.6: 327119.0, 0.7: 327121.0, 0.8: 327133.0, 0.9: 327226.0}",0
136800,326958,328583,"{0.1: 326962.0, 0.2: 327010.0, 0.3: 327023.0, 0.4: 327053.0, 0.5: 327149.0, 0.6: 327435.0, 0.7: 328153.0, 0.8: 328235.0, 0.9: 328440.0}",473
140400,327959,329224,"{0.1: 328340.0, 0.2: 328428.0, 0.3: 328551.0, 0.4: 328649.0, 0.5: 328678.5, 0.6: 328732.0, 0.7: 328787.0, 0.8: 328819.0, 0.9: 328844.0}",0
144000,327532,327884,"{0.1: 327542.0, 0.2: 327576.0, 0.3: 327578.0, 0.4: 327582.0, 0.5: 327624.0, 0.6: 327676.0, 0.7: 327768.0, 0.8: 327845.0, 0.9: 327852.0}",4
147600,327635,328207,"{0.1: 327661.0, 0.2: 327707.0, 0.3: 327736.0, 0.4: 327848.0, 0.5: 327910.5, 0.6: 328012.0, 0.7: 328053.0, 0.8: 328085.0, 0.9: 328097.0}",0
151200,327851,328816,"{0.1: 327867.0, 0.2: 327874.0, 0.3: 327971.0, 0.4: 328078.0, 0.5: 328268.5, 0.6: 328519.0, 0.7: 328753.0, 0.8: 328782.0, 0.9: 328809.0}",56
154800,327575,328252,"{0.1: 327720.0, 0.2: 327834.0, 0.3: 327846.0, 0.4: 327881.0, 0.5: 327961.0, 0.6: 328001.0, 0.7: 328032.0, 0.8: 328077.0, 0.9: 328147.0}",0
158400,327863,328529,"{0.1: 327865.0, 0.2: 327974.0, 0.3: 328006.0, 0.4: 328063.0, 0.5: 328183.5, 0.6: 328325.0, 0.7: 328346.0, 0.8: 328388.0, 0.9: 328500.0}",19
162000,327324,328721,"{0.1: 327406.0, 0.2: 327506.0, 0.3: 327534.0, 0.4: 327535.0, 0.5: 327607.5, 0.6: 327617.0, 0.7: 327878.0, 0.8: 328171.0, 0.9: 328301.0}",0
165600,325732,327345,"{0.1: 325935.0, 0.2: 326112.0, 0.3: 326215.0, 0.4: 326292.0, 0.5: 326356.5, 0.6: 326512.0, 0.7: 326699.0, 0.8: 326827.0, 0.9: 326846.0}",0
169200,324573,326152,"{0.1: 324597.0, 0.2: 324926.0, 0.3: 325052.0, 0.4: 325154.0, 0.5: 325623.5, 0.6: 325885.0, 0.7: 325890.0, 0.8: 326022.0, 0.9: 326048.0}",0
