,minimum,maximum,percentiles,delays
57600,325416,326723,"{0.1: 325450.0, 0.2: 325480.0, 0.3: 325489.0, 0.4: 325499.0, 0.5: 325635.0, 0.6: 325738.0, 0.7: 325793.0, 0.8: 325842.0, 0.9: 325885.0}",218
61200,325419,325725,"{0.1: 325491.0, 0.2: 325496.0, 0.3: 325502.0, 0.4: 325530.0, 0.5: 325595.0, 0.6: 325665.0, 0.7: 325667.0, 0.8: 325710.0, 0.9: 325724.0}",36
64800,324952,327403,"{0.1: 325337.0, 0.2: 325370.0, 0.3: 325381.0, 0.4: 325398.0, 0.5: 325597.0, 0.6: 325907.0, 0.7: 326205.0, 0.8: 326890.0, 0.9: 327138.0}",773
68400,326736,327378,"{0.1: 326823.0, 0.2: 326886.0, 0.3: 326896.0, 0.4: 326910.0, 0.5: 327043.0, 0.6: 327190.0, 0.7: 327236.0, 0.8: 327239.0, 0.9: 327349.0}",148
72000,327329,328048,"{0.1: 327491.0, 0.2: 327512.0, 0.3: 327537.0, 0.4: 327678.0, 0.5: 327743.0, 0.6: 327788.0, 0.7: 327905.0, 0.8: 327924.0, 0.9: 328016.0}",221
75600,327085,327643,"{0.1: 327110.0, 0.2: 327186.0, 0.3: 327209.0, 0.4: 327209.0, 0.5: 327232.5, 0.6: 327290.0, 0.7: 327328.0, 0.8: 327378.0, 0.9: 327473.0}",0
79200,326486,330498,"{0.1: 326756.0, 0.2: 326842.0, 0.3: 326890.0, 0.4: 327126.0, 0.5: 327297.5, 0.6: 327638.0, 0.7: 329328.0, 0.8: 330182.0, 0.9: 330249.0}",1085
82800,323917,330004,"{0.1: 323976.0, 0.2: 324114.0, 0.3: 324163.0, 0.4: 324180.0, 0.5: 325124.0, 0.6: 327028.0, 0.7: 328937.0, 0.8: 329679.0, 0.9: 329896.0}",0
86400,323872,324663,"{0.1: 323920.0, 0.2: 323959.0, 0.3: 324090.0, 0.4: 324136.0, 0.5: 324264.5, 0.6: 324366.0, 0.7: 324437.0, 0.8: 324540.0, 0.9: 324573.0}",225
90000,323539,324241,"{0.1: 323545.0, 0.2: 323594.0, 0.3: 323720.0, 0.4: 323759.0, 0.5: 323879.5, 0.6: 323904.0, 0.7: 323911.0, 0.8: 323963.0, 0.9: 324127.0}",0
93600,322740,323773,"{0.1: 322886.0, 0.2: 322956.0, 0.3: 322999.0, 0.4: 323176.0, 0.5: 323242.0, 0.6: 323337.0, 0.7: 323415.0, 0.8: 323508.0, 0.9: 323542.0}",0
97200,322019,322972,"{0.1: 322101.0, 0.2: 322141.0, 0.3: 322287.0, 0.4: 322296.0, 0.5: 322319.5, 0.6: 322409.0, 0.7: 322503.0, 0.8: 322742.0, 0.9: 322843.0}",0
100800,321480,322303,"{0.1: 321534.0, 0.2: 321605.0, 0.3: 321613.0, 0.4: 321691.0, 0.5: 321815.0, 0.6: 321838.0, 0.7: 321872.0, 0.8: 321873.0, 0.9: 321874.0}",0
104400,321059,322656,"{0.1: 321156.0, 0.2: 321328.0, 0.3: 321426.0, 0.4: 321531.0, 0.5: 321575.5, 0.6: 321602.0, 0.7: 321820.0, 0.8: 322024.0, 0.9: 322434.0}",327
108000,322585,323644,"{0.1: 322603.0, 0.2: 322735.0, 0.3: 322815.0, 0.4: 323005.0, 0.5: 323119.0, 0.6: 323214.0, 0.7: 323375.0, 0.8: 323462.0, 0.9: 323511.0}",349
111600,322717,323570,"{0.1: 322832.0, 0.2: 322841.0, 0.3: 322871.0, 0.4: 323080.0, 0.5: 323185.5, 0.6: 323299.0, 0.7: 323308.0, 0.8: 323408.0, 0.9: 323511.0}",0
115200,322567,323760,"{0.1: 322797.0, 0.2: 322829.0, 0.3: 322951.0, 0.4: 323123.0, 0.5: 323152.0, 0.6: 323385.0, 0.7: 323551.0, 0.8: 323662.0, 0.9: 323662.0}",0
118800,323646,324016,"{0.1: 323735.0, 0.2: 323735.0, 0.3: 323808.0, 0.4: 323810.0, 0.5: 323827.5, 0.6: 323846.0, 0.7: 323865.0, 0.8: 323898.0, 0.9: 323975.0}",4
122400,323760,324198,"{0.1: 323856.0, 0.2: 323857.0, 0.3: 323877.0, 0.4: 323921.0, 0.5: 323955.0, 0.6: 324042.0, 0.7: 324052.0, 0.8: 324073.0, 0.9: 324179.0}",57
126000,324236,325768,"{0.1: 324247.0, 0.2: 324247.0, 0.3: 324303.0, 0.4: 324354.0, 0.5: 324411.5, 0.6: 324714.0, 0.7: 325075.0, 0.8: 325181.0, 0.9: 325468.0}",739
129600,325813,327197,"{0.1: 326288.0, 0.2: 326318.0, 0.3: 326339.0, 0.4: 326373.0, 0.5: 326575.5, 0.6: 326869.0, 0.7: 326994.0, 0.8: 327025.0, 0.9: 327073.0}",196
133200,327030,327327,"{0.1: 327049.0, 0.2: 327051.0, 0.3: 327072.0, 0.4: 327083.0, 0.5: 327093.5, 0.6: 327142.0, 0.7: 327151.0, 0.8: 327178.0, 0.9: 327239.0}",0
136800,326974,328675,"{0.1: 327001.0, 0.2: 327023.0, 0.3: 327029.0, 0.4: 327094.0, 0.5: 327124.0, 0.6: 327200.0, 0.7: 328173.0, 0.8: 328219.0, 0.9: 328458.0}",606
140400,328013,329015,"{0.1: 328430.0, 0.2: 328540.0, 0.3: 328643.0, 0.4: 328670.0, 0.5: 328729.5, 0.6: 328792.0, 0.7: 328811.0, 0.8: 328828.0, 0.9: 328903.0}",89
144000,327548,327861,"{0.1: 327554.0, 0.2: 327577.0, 0.3: 327585.0, 0.4: 327609.0, 0.5: 327677.5, 0.6: 327704.0, 0.7: 327712.0, 0.8: 327728.0, 0.9: 327784.0}",131
147600,327665,328124,"{0.1: 327670.0, 0.2: 327736.0, 0.3: 327757.0, 0.4: 327888.0, 0.5: 327928.5, 0.6: 328020.0, 0.7: 328054.0, 0.8: 328059.0, 0.9: 328091.0}",101
151200,327875,328883,"{0.1: 327876.0, 0.2: 327888.0, 0.3: 328009.0, 0.4: 328114.0, 0.5: 328237.0, 0.6: 328482.0, 0.7: 328501.0, 0.8: 328660.0, 0.9: 328803.0}",312
154800,327591,328286,"{0.1: 327721.0, 0.2: 327848.0, 0.3: 327849.0, 0.4: 327885.0, 0.5: 327977.5, 0.6: 328011.0, 0.7: 328040.0, 0.8: 328059.0, 0.9: 328196.0}",0
158400,327865,328532,"{0.1: 327899.0, 0.2: 328029.0, 0.3: 328066.0, 0.4: 328069.0, 0.5: 328195.0, 0.6: 328319.0, 0.7: 328345.0, 0.8: 328389.0, 0.9: 328439.0}",212
162000,327333,328638,"{0.1: 327465.0, 0.2: 327519.0, 0.3: 327530.0, 0.4: 327536.0, 0.5: 327610.5, 0.6: 327629.0, 0.7: 327939.0, 0.8: 328185.0, 0.9: 328352.0}",22
165600,325754,327350,"{0.1: 325946.0, 0.2: 326127.0, 0.3: 326228.0, 0.4: 326301.0, 0.5: 326365.5, 0.6: 326527.0, 0.7: 326712.0, 0.8: 326836.0, 0.9: 326865.0}",0
169200,324591,326165,"{0.1: 324612.0, 0.2: 324956.0, 0.3: 325052.0, 0.4: 325185.0, 0.5: 325632.5, 0.6: 325891.0, 0.7: 325906.0, 0.8: 326055.0, 0.9: 326056.0}",0
