,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323623,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323496.0, 0.7: 323506.0, 0.8: 323583.0, 0.9: 323584.0}",33
7200,322618,323782,"{0.1: 323041.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323312.0, 0.5: 323496.5, 0.6: 323516.0, 0.7: 323560.0, 0.8: 323593.0, 0.9: 323716.0}",0
10800,322514,323572,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322954.0, 0.7: 323027.0, 0.8: 323312.0, 0.9: 323529.0}",0
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322089.0, 0.5: 322127.0, 0.6: 322203.0, 0.7: 322222.0, 0.8: 322255.0, 0.9: 322272.0}",35
18000,322071,322928,"{0.1: 322239.0, 0.2: 322300.0, 0.3: 322352.0, 0.4: 322385.0, 0.5: 322556.0, 0.6: 322624.0, 0.7: 322631.0, 0.8: 322797.0, 0.9: 322913.0}",162
21600,323083,324981,"{0.1: 323116.0, 0.2: 323280.0, 0.3: 323360.0, 0.4: 323644.0, 0.5: 323943.0, 0.6: 324610.0, 0.7: 324747.0, 0.8: 324801.0, 0.9: 324817.0}",649
25200,324193,325057,"{0.1: 324203.0, 0.2: 324257.0, 0.3: 324303.0, 0.4: 324329.0, 0.5: 324582.0, 0.6: 324831.0, 0.7: 324876.0, 0.8: 324968.0, 0.9: 325036.0}",5
28800,321953,324205,"{0.1: 321983.0, 0.2: 322169.0, 0.3: 322401.0, 0.4: 322613.0, 0.5: 322741.5, 0.6: 322939.0, 0.7: 323993.0, 0.8: 324017.0, 0.9: 324097.0}",0
32400,321550,322840,"{0.1: 321553.0, 0.2: 321570.0, 0.3: 321607.0, 0.4: 321684.0, 0.5: 321772.0, 0.6: 321899.0, 0.7: 322133.0, 0.8: 322251.0, 0.9: 322507.0}",1008
36000,322912,323646,"{0.1: 322950.0, 0.2: 323071.0, 0.3: 323201.0, 0.4: 323256.0, 0.5: 323404.0, 0.6: 323427.0, 0.7: 323496.0, 0.8: 323521.0, 0.9: 323531.0}",49
39600,323363,323772,"{0.1: 323372.0, 0.2: 323408.0, 0.3: 323468.0, 0.4: 323517.0, 0.5: 323562.0, 0.6: 323696.0, 0.7: 323696.0, 0.8: 323701.0, 0.9: 323730.0}",15
43200,323860,325009,"{0.1: 323917.0, 0.2: 323982.0, 0.3: 324080.0, 0.4: 324202.0, 0.5: 324361.5, 0.6: 324429.0, 0.7: 324479.0, 0.8: 324639.0, 0.9: 324901.0}",766
46800,323838,324293,"{0.1: 323890.0, 0.2: 323896.0, 0.3: 323946.0, 0.4: 323996.0, 0.5: 324000.0, 0.6: 324037.0, 0.7: 324082.0, 0.8: 324159.0, 0.9: 324191.0}",0
50400,323783,326596,"{0.1: 323825.0, 0.2: 323853.0, 0.3: 323886.0, 0.4: 323968.0, 0.5: 324030.5, 0.6: 324137.0, 0.7: 324278.0, 0.8: 324775.0, 0.9: 325097.0}",996
54000,326836,327852,"{0.1: 326856.0, 0.2: 326979.0, 0.3: 327063.0, 0.4: 327251.0, 0.5: 327256.5, 0.6: 327265.0, 0.7: 327539.0, 0.8: 327661.0, 0.9: 327677.0}",291
