,minimum,maximum,percentiles,delays,mean
93600,322681,323712,"{0.1: 322873.0, 0.2: 322897.0, 0.3: 322917.0, 0.4: 323095.0, 0.5: 323294.0, 0.6: 323347.0, 0.7: 323419.0, 0.8: 323464.0, 0.9: 323679.0}",3850,323222.6666666667
97200,321757,322948,"{0.1: 322084.0, 0.2: 322101.0, 0.3: 322244.0, 0.4: 322259.0, 0.5: 322326.5, 0.6: 322489.0, 0.7: 322625.0, 0.8: 322819.0, 0.9: 322943.0}",3794,322410.1666666667
100800,321457,322289,"{0.1: 321526.0, 0.2: 321601.0, 0.3: 321652.0, 0.4: 321790.0, 0.5: 321792.5, 0.6: 321803.0, 0.7: 321805.0, 0.8: 321850.0, 0.9: 322231.0}",4598,321799.0833333333
104400,321036,322703,"{0.1: 321138.0, 0.2: 321305.0, 0.3: 321407.0, 0.4: 321506.0, 0.5: 321551.5, 0.6: 321572.0, 0.7: 321590.0, 0.8: 322015.0, 0.9: 322617.0}",5135,321666.0
108000,322505,323817,"{0.1: 322525.0, 0.2: 322538.0, 0.3: 322615.0, 0.4: 322657.0, 0.5: 322928.5, 0.6: 323018.0, 0.7: 323265.0, 0.8: 323525.0, 0.9: 323723.0}",7323,323003.75
111600,322688,323510,"{0.1: 322721.0, 0.2: 322824.0, 0.3: 323005.0, 0.4: 323052.0, 0.5: 323254.0, 0.6: 323279.0, 0.7: 323303.0, 0.8: 323365.0, 0.9: 323380.0}",3603,323136.25
115200,322430,323661,"{0.1: 322511.0, 0.2: 322771.0, 0.3: 322840.0, 0.4: 322948.0, 0.5: 323084.5, 0.6: 323121.0, 0.7: 323334.0, 0.8: 323534.0, 0.9: 323644.0}",4932,323080.25
118800,323577,323971,"{0.1: 323657.0, 0.2: 323694.0, 0.3: 323727.0, 0.4: 323776.0, 0.5: 323800.5, 0.6: 323829.0, 0.7: 323834.0, 0.8: 323856.0, 0.9: 323862.0}",3845,323782.0
122400,323723,324155,"{0.1: 323819.0, 0.2: 323832.0, 0.3: 323868.0, 0.4: 323904.0, 0.5: 323951.5, 0.6: 323992.0, 0.7: 324052.0, 0.8: 324064.0, 0.9: 324124.0}",3367,323953.0
126000,324183,325533,"{0.1: 324228.0, 0.2: 324235.0, 0.3: 324243.0, 0.4: 324292.0, 0.5: 324442.0, 0.6: 324816.0, 0.7: 325217.0, 0.8: 325229.0, 0.9: 325482.0}",4017,324695.1666666667
129600,325700,327186,"{0.1: 325771.0, 0.2: 326266.0, 0.3: 326287.0, 0.4: 326307.0, 0.5: 326355.5, 0.6: 326860.0, 0.7: 327046.0, 0.8: 327062.0, 0.9: 327064.0}",3423,326521.6666666667
133200,326943,327212,"{0.1: 326951.0, 0.2: 326976.0, 0.3: 326992.0, 0.4: 327028.0, 0.5: 327034.5, 0.6: 327113.0, 0.7: 327121.0, 0.8: 327123.0, 0.9: 327207.0}",3361,327061.25
136800,326946,328453,"{0.1: 326956.0, 0.2: 326994.0, 0.3: 327022.0, 0.4: 327026.0, 0.5: 327074.5, 0.6: 327409.0, 0.7: 328204.0, 0.8: 328389.0, 0.9: 328418.0}",6324,327497.1666666667
140400,328177,329133,"{0.1: 328407.0, 0.2: 328503.0, 0.3: 328508.0, 0.4: 328595.0, 0.5: 328647.0, 0.6: 328707.0, 0.7: 328714.0, 0.8: 328731.0, 0.9: 328765.0}",4792,328627.8333333333
144000,327502,327879,"{0.1: 327532.0, 0.2: 327559.0, 0.3: 327560.0, 0.4: 327562.0, 0.5: 327615.5, 0.6: 327675.0, 0.7: 327765.0, 0.8: 327849.0, 0.9: 327863.0}",3288,327664.75
147600,327610,328195,"{0.1: 327657.0, 0.2: 327677.0, 0.3: 327707.0, 0.4: 327834.0, 0.5: 327867.5, 0.6: 327921.0, 0.7: 328009.0, 0.8: 328051.0, 0.9: 328073.0}",3862,327872.4166666667
151200,327845,328810,"{0.1: 327863.0, 0.2: 327871.0, 0.3: 327906.0, 0.4: 328069.0, 0.5: 328117.5, 0.6: 328674.0, 0.7: 328746.0, 0.8: 328758.0, 0.9: 328787.0}",4459,328297.0
154800,327544,328329,"{0.1: 327712.0, 0.2: 327800.0, 0.3: 327825.0, 0.4: 327837.0, 0.5: 327952.0, 0.6: 327995.0, 0.7: 328012.0, 0.8: 328131.0, 0.9: 328146.0}",3481,327936.25
158400,327836,328528,"{0.1: 327855.0, 0.2: 327973.0, 0.3: 327982.0, 0.4: 327995.0, 0.5: 328061.0, 0.6: 328287.0, 0.7: 328307.0, 0.8: 328380.0, 0.9: 328386.0}",5097,328137.5833333333
162000,327313,328708,"{0.1: 327361.0, 0.2: 327494.0, 0.3: 327517.0, 0.4: 327580.0, 0.5: 327591.0, 0.6: 327853.0, 0.7: 328155.0, 0.8: 328291.0, 0.9: 328500.0}",3306,327829.5
165600,325927,327515,"{0.1: 326102.0, 0.2: 326191.0, 0.3: 326261.0, 0.4: 326276.0, 0.5: 326416.5, 0.6: 326595.0, 0.7: 326771.0, 0.8: 327059.0, 0.9: 327308.0}",2823,326569.8333333333
169200,324517,326098,"{0.1: 324842.0, 0.2: 325030.0, 0.3: 325136.0, 0.4: 325496.0, 0.5: 325795.0, 0.6: 325863.0, 0.7: 325879.0, 0.8: 325976.0, 0.9: 326012.0}",3939,325536.5833333333
