,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323476,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323044.0, 0.4: 323060.0, 0.5: 323180.5, 0.6: 323410.0, 0.7: 323418.0, 0.8: 323459.0, 0.9: 323463.0}",1566
7200,322756,323553,"{0.1: 322951.0, 0.2: 322959.0, 0.3: 322977.0, 0.4: 323063.0, 0.5: 323294.0, 0.6: 323327.0, 0.7: 323350.0, 0.8: 323431.0, 0.9: 323506.0}",3467
10800,322590,323546,"{0.1: 322655.0, 0.2: 322696.0, 0.3: 322730.0, 0.4: 322830.0, 0.5: 322925.5, 0.6: 323009.0, 0.7: 323130.0, 0.8: 323370.0, 0.9: 323474.0}",956
14400,321931,322344,"{0.1: 321973.0, 0.2: 322037.0, 0.3: 322042.0, 0.4: 322052.0, 0.5: 322080.0, 0.6: 322093.0, 0.7: 322114.0, 0.8: 322128.0, 0.9: 322278.0}",1046
18000,321960,322842,"{0.1: 322057.0, 0.2: 322099.0, 0.3: 322125.0, 0.4: 322151.0, 0.5: 322279.5, 0.6: 322293.0, 0.7: 322368.0, 0.8: 322574.0, 0.9: 322830.0}",5836
21600,322842,325183,"{0.1: 323062.0, 0.2: 323087.0, 0.3: 323233.0, 0.4: 323296.0, 0.5: 323919.5, 0.6: 324341.0, 0.7: 324352.0, 0.8: 324598.0, 0.9: 324931.0}",6278
25200,324161,325045,"{0.1: 324192.0, 0.2: 324216.0, 0.3: 324250.0, 0.4: 324275.0, 0.5: 324623.0, 0.6: 324701.0, 0.7: 324834.0, 0.8: 324886.0, 0.9: 324950.0}",3325
28800,322173,324251,"{0.1: 322207.0, 0.2: 322320.0, 0.3: 322652.0, 0.4: 322694.0, 0.5: 322837.0, 0.6: 323618.0, 0.7: 324196.0, 0.8: 324204.0, 0.9: 324222.0}",366
32400,321581,322902,"{0.1: 321635.0, 0.2: 321640.0, 0.3: 321645.0, 0.4: 321659.0, 0.5: 321710.5, 0.6: 322049.0, 0.7: 322160.0, 0.8: 322215.0, 0.9: 322527.0}",2923
