,minimum,maximum,percentiles,delays,mean
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0,323833.6666666667
3600,322964,323619,"{0.1: 322997.0, 0.2: 323000.0, 0.3: 323064.0, 0.4: 323205.0, 0.5: 323338.5, 0.6: 323492.0, 0.7: 323577.0, 0.8: 323583.0, 0.9: 323584.0}",67,323313.5
7200,322634,323766,"{0.1: 323053.0, 0.2: 323069.0, 0.3: 323137.0, 0.4: 323234.0, 0.5: 323446.0, 0.6: 323549.0, 0.7: 323570.0, 0.8: 323593.0, 0.9: 323724.0}",67,323351.75
10800,322514,323551,"{0.1: 322641.0, 0.2: 322658.0, 0.3: 322662.0, 0.4: 322768.0, 0.5: 322851.5, 0.6: 322959.0, 0.7: 323080.0, 0.8: 323315.0, 0.9: 323331.0}",69,322931.8333333333
14400,321930,322311,"{0.1: 321938.0, 0.2: 321972.0, 0.3: 322039.0, 0.4: 322098.0, 0.5: 322126.5, 0.6: 322195.0, 0.7: 322205.0, 0.8: 322244.0, 0.9: 322252.0}",50,322119.75
18000,321933,322944,"{0.1: 322252.0, 0.2: 322325.0, 0.3: 322356.0, 0.4: 322401.0, 0.5: 322527.5, 0.6: 322625.0, 0.7: 322893.0, 0.8: 322926.0, 0.9: 322928.0}",74,322553.1666666667
21600,322639,325205,"{0.1: 323131.0, 0.2: 323297.0, 0.3: 323358.0, 0.4: 323751.0, 0.5: 324296.5, 0.6: 324518.0, 0.7: 324676.0, 0.8: 324716.0, 0.9: 325006.0}",166,324074.1666666667
25200,324153,325067,"{0.1: 324191.0, 0.2: 324194.0, 0.3: 324247.0, 0.4: 324298.0, 0.5: 324363.5, 0.6: 324714.0, 0.7: 324869.0, 0.8: 324920.0, 0.9: 325005.0}",85,324532.0833333333
28800,321966,324192,"{0.1: 321993.0, 0.2: 322178.0, 0.3: 322423.0, 0.4: 322617.0, 0.5: 322739.5, 0.6: 322916.0, 0.7: 323910.0, 0.8: 323998.0, 0.9: 324019.0}",89,322974.25
32400,321443,323107,"{0.1: 321574.0, 0.2: 321585.0, 0.3: 321612.0, 0.4: 321626.0, 0.5: 321894.0, 0.6: 322346.0, 0.7: 322450.0, 0.8: 322724.0, 0.9: 322968.0}",156,322101.9166666667
36000,322678,323606,"{0.1: 322890.0, 0.2: 322927.0, 0.3: 323122.0, 0.4: 323236.0, 0.5: 323337.5, 0.6: 323429.0, 0.7: 323443.0, 0.8: 323457.0, 0.9: 323481.0}",188,323245.3333333333
39600,323163,323804,"{0.1: 323322.0, 0.2: 323398.0, 0.3: 323427.0, 0.4: 323454.0, 0.5: 323570.5, 0.6: 323697.0, 0.7: 323698.0, 0.8: 323711.0, 0.9: 323729.0}",110,323545.3333333333
43200,323518,325078,"{0.1: 324119.0, 0.2: 324153.0, 0.3: 324207.0, 0.4: 324345.0, 0.5: 324352.0, 0.6: 324407.0, 0.7: 324570.0, 0.8: 324877.0, 0.9: 325026.0}",135,324417.0
46800,323817,324198,"{0.1: 323849.0, 0.2: 323852.0, 0.3: 323942.0, 0.4: 323959.0, 0.5: 323989.5, 0.6: 323997.0, 0.7: 324021.0, 0.8: 324083.0, 0.9: 324150.0}",97,323987.25
50400,323601,326942,"{0.1: 323866.0, 0.2: 323879.0, 0.3: 323895.0, 0.4: 323967.0, 0.5: 324079.0, 0.6: 324448.0, 0.7: 324842.0, 0.8: 325213.0, 0.9: 326695.0}",92,324625.5
54000,326713,327924,"{0.1: 326765.0, 0.2: 326812.0, 0.3: 326856.0, 0.4: 327041.0, 0.5: 327158.5, 0.6: 327181.0, 0.7: 327356.0, 0.8: 327564.0, 0.9: 327904.0}",92,327202.75
57600,325414,325986,"{0.1: 325466.0, 0.2: 325489.0, 0.3: 325493.0, 0.4: 325509.0, 0.5: 325539.0, 0.6: 325775.0, 0.7: 325827.0, 0.8: 325917.0, 0.9: 325922.0}",146,325656.3333333333
61200,325344,325788,"{0.1: 325465.0, 0.2: 325473.0, 0.3: 325474.0, 0.4: 325493.0, 0.5: 325522.0, 0.6: 325579.0, 0.7: 325631.0, 0.8: 325677.0, 0.9: 325690.0}",106,325554.8333333333
