,minimum,maximum,percentiles,delays,mean
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0,323833.6666666667
3600,322952,323619,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323583.0}",0,323320.0
7200,322634,323766,"{0.1: 323053.0, 0.2: 323067.0, 0.3: 323137.0, 0.4: 323229.0, 0.5: 323443.5, 0.6: 323549.0, 0.7: 323568.0, 0.8: 323593.0, 0.9: 323716.0}",67,323349.9166666667
10800,322514,323572,"{0.1: 322640.0, 0.2: 322658.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323027.0, 0.8: 323307.0, 0.9: 323529.0}",0,322940.1666666667
14400,321922,322311,"{0.1: 321930.0, 0.2: 321972.0, 0.3: 322039.0, 0.4: 322097.0, 0.5: 322126.5, 0.6: 322186.0, 0.7: 322205.0, 0.8: 322244.0, 0.9: 322252.0}",50,322117.5833333333
18000,322072,322934,"{0.1: 322238.0, 0.2: 322300.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322524.5, 0.6: 322619.0, 0.7: 322892.0, 0.8: 322926.0, 0.9: 322927.0}",0,322557.0
21600,322607,325205,"{0.1: 323130.0, 0.2: 323297.0, 0.3: 323354.0, 0.4: 323750.0, 0.5: 324284.5, 0.6: 324518.0, 0.7: 324676.0, 0.8: 324716.0, 0.9: 324997.0}",166,324068.25
25200,324153,325063,"{0.1: 324187.0, 0.2: 324191.0, 0.3: 324247.0, 0.4: 324278.0, 0.5: 324444.0, 0.6: 324697.0, 0.7: 324858.0, 0.8: 324920.0, 0.9: 324991.0}",0,324539.4166666667
28800,321965,324192,"{0.1: 321990.0, 0.2: 322178.0, 0.3: 322417.0, 0.4: 322617.0, 0.5: 322735.0, 0.6: 322908.0, 0.7: 323910.0, 0.8: 323980.0, 0.9: 324019.0}",89,322970.5
32400,321553,323105,"{0.1: 321569.0, 0.2: 321590.0, 0.3: 321603.0, 0.4: 321684.0, 0.5: 321993.5, 0.6: 322312.0, 0.7: 322438.0, 0.8: 322711.0, 0.9: 322958.0}",0,322125.8333333333
36000,322678,323604,"{0.1: 322870.0, 0.2: 322926.0, 0.3: 323121.0, 0.4: 323232.0, 0.5: 323336.5, 0.6: 323420.0, 0.7: 323435.0, 0.8: 323449.0, 0.9: 323463.0}",188,323239.25
39600,323322,323784,"{0.1: 323368.0, 0.2: 323386.0, 0.3: 323413.0, 0.4: 323446.0, 0.5: 323535.5, 0.6: 323693.0, 0.7: 323696.0, 0.8: 323701.0, 0.9: 323729.0}",0,323550.75
43200,323515,325076,"{0.1: 324107.0, 0.2: 324153.0, 0.3: 324205.0, 0.4: 324345.0, 0.5: 324351.0, 0.6: 324407.0, 0.7: 324570.0, 0.8: 324876.0, 0.9: 325025.0}",135,324415.0833333333
46800,323812,324179,"{0.1: 323833.0, 0.2: 323843.0, 0.3: 323933.0, 0.4: 323936.0, 0.5: 323988.5, 0.6: 323997.0, 0.7: 324075.0, 0.8: 324142.0, 0.9: 324176.0}",0,323991.9166666667
50400,323601,326942,"{0.1: 323857.0, 0.2: 323876.0, 0.3: 323894.0, 0.4: 323965.0, 0.5: 324078.0, 0.6: 324447.0, 0.7: 324842.0, 0.8: 325210.0, 0.9: 326695.0}",92,324623.75
54000,326712,327923,"{0.1: 326807.0, 0.2: 326856.0, 0.3: 326952.0, 0.4: 327035.0, 0.5: 327148.5, 0.6: 327174.0, 0.7: 327355.0, 0.8: 327564.0, 0.9: 327903.0}",0,327214.8333333333
57600,325414,325978,"{0.1: 325466.0, 0.2: 325485.0, 0.3: 325493.0, 0.4: 325509.0, 0.5: 325539.0, 0.6: 325775.0, 0.7: 325819.0, 0.8: 325917.0, 0.9: 325921.0}",146,325654.5833333333
61200,325332,325779,"{0.1: 325455.0, 0.2: 325473.0, 0.3: 325489.0, 0.4: 325497.0, 0.5: 325547.0, 0.6: 325631.0, 0.7: 325636.0, 0.8: 325661.0, 0.9: 325688.0}",0,325561.25
64800,324948,327331,"{0.1: 325144.0, 0.2: 325334.0, 0.3: 325385.0, 0.4: 325401.0, 0.5: 325799.5, 0.6: 326449.0, 0.7: 327042.0, 0.8: 327076.0, 0.9: 327185.0}",115,326074.5
68400,326609,327460,"{0.1: 326663.0, 0.2: 326707.0, 0.3: 326757.0, 0.4: 326876.0, 0.5: 326988.5, 0.6: 327166.0, 0.7: 327169.0, 0.8: 327237.0, 0.9: 327264.0}",0,326990.4166666667
72000,327011,328150,"{0.1: 327474.0, 0.2: 327497.0, 0.3: 327512.0, 0.4: 327630.0, 0.5: 327718.5, 0.6: 327767.0, 0.7: 327858.0, 0.8: 327995.0, 0.9: 328069.0}",185,327700.0
75600,327080,327616,"{0.1: 327110.0, 0.2: 327163.0, 0.3: 327181.0, 0.4: 327213.0, 0.5: 327227.5, 0.6: 327275.0, 0.7: 327324.0, 0.8: 327359.0, 0.9: 327474.0}",0,327270.8333333333
79200,326542,330523,"{0.1: 326744.0, 0.2: 326831.0, 0.3: 326850.0, 0.4: 326851.0, 0.5: 327322.0, 0.6: 329762.0, 0.7: 330150.0, 0.8: 330419.0, 0.9: 330465.0}",103,328315.0833333333
82800,323897,329930,"{0.1: 323955.0, 0.2: 324092.0, 0.3: 324127.0, 0.4: 324148.0, 0.5: 324694.0, 0.6: 325934.0, 0.7: 327802.0, 0.8: 329625.0, 0.9: 329797.0}",0,326057.9166666667
86400,323650,324680,"{0.1: 323879.0, 0.2: 323960.0, 0.3: 324056.0, 0.4: 324173.0, 0.5: 324294.5, 0.6: 324501.0, 0.7: 324532.0, 0.8: 324633.0, 0.9: 324640.0}",74,324274.4166666667
90000,323508,324232,"{0.1: 323532.0, 0.2: 323534.0, 0.3: 323697.0, 0.4: 323707.0, 0.5: 323870.5, 0.6: 323895.0, 0.7: 323902.0, 0.8: 323957.0, 0.9: 324106.0}",0,323817.5833333333
