,minimum,maximum,percentiles,delays
0,323254,324526,"{0.1: 323408.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323468.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",68
3600,322750,323671,"{0.1: 322956.0, 0.2: 322985.0, 0.3: 322996.0, 0.4: 323060.0, 0.5: 323318.0, 0.6: 323525.0, 0.7: 323594.0, 0.8: 323602.0, 0.9: 323647.0}",288
7200,322515,323781,"{0.1: 323054.0, 0.2: 323095.0, 0.3: 323125.0, 0.4: 323370.0, 0.5: 323502.0, 0.6: 323525.0, 0.7: 323564.0, 0.8: 323604.0, 0.9: 323716.0}",34
10800,322516,323551,"{0.1: 322541.0, 0.2: 322659.0, 0.3: 322664.0, 0.4: 322775.0, 0.5: 322852.5, 0.6: 322997.0, 0.7: 323096.0, 0.8: 323335.0, 0.9: 323376.0}",98
14400,321692,322360,"{0.1: 321930.0, 0.2: 321954.0, 0.3: 322031.0, 0.4: 322092.0, 0.5: 322161.0, 0.6: 322219.0, 0.7: 322260.0, 0.8: 322285.0, 0.9: 322332.0}",171
18000,321949,322960,"{0.1: 322071.0, 0.2: 322247.0, 0.3: 322300.0, 0.4: 322373.0, 0.5: 322533.5, 0.6: 322637.0, 0.7: 322915.0, 0.8: 322926.0, 0.9: 322959.0}",103
