,minimum,maximum,percentiles,delays,mean
0,323254,324526,"{0.1: 323408.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323468.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",68,323822.3333333333
3600,322750,323671,"{0.1: 322956.0, 0.2: 322985.0, 0.3: 322996.0, 0.4: 323060.0, 0.5: 323318.0, 0.6: 323525.0, 0.7: 323594.0, 0.8: 323602.0, 0.9: 323647.0}",288,323285.1666666667
7200,322515,323781,"{0.1: 323054.0, 0.2: 323095.0, 0.3: 323125.0, 0.4: 323370.0, 0.5: 323502.0, 0.6: 323525.0, 0.7: 323564.0, 0.8: 323604.0, 0.9: 323716.0}",34,323362.75
10800,322516,323551,"{0.1: 322541.0, 0.2: 322659.0, 0.3: 322664.0, 0.4: 322775.0, 0.5: 322852.5, 0.6: 322997.0, 0.7: 323096.0, 0.8: 323335.0, 0.9: 323376.0}",98,322934.5833333333
14400,321692,322360,"{0.1: 321930.0, 0.2: 321954.0, 0.3: 322031.0, 0.4: 322092.0, 0.5: 322161.0, 0.6: 322219.0, 0.7: 322260.0, 0.8: 322285.0, 0.9: 322332.0}",171,322123.0833333333
18000,321949,322960,"{0.1: 322071.0, 0.2: 322247.0, 0.3: 322300.0, 0.4: 322373.0, 0.5: 322533.5, 0.6: 322637.0, 0.7: 322915.0, 0.8: 322926.0, 0.9: 322959.0}",103,322533.6666666667
21600,322658,325215,"{0.1: 323129.0, 0.2: 323297.0, 0.3: 323362.0, 0.4: 323751.0, 0.5: 324153.5, 0.6: 324396.0, 0.7: 324714.0, 0.8: 324731.0, 0.9: 325047.0}",274,324050.5833333333
25200,324147,325080,"{0.1: 324154.0, 0.2: 324203.0, 0.3: 324207.0, 0.4: 324254.0, 0.5: 324468.0, 0.6: 324722.0, 0.7: 324884.0, 0.8: 324923.0, 0.9: 324995.0}",91,324542.0833333333
28800,321991,324200,"{0.1: 322008.0, 0.2: 322178.0, 0.3: 322429.0, 0.4: 322624.0, 0.5: 322736.0, 0.6: 322915.0, 0.7: 323694.0, 0.8: 324084.0, 0.9: 324191.0}",98,322982.1666666667
32400,321446,323142,"{0.1: 321584.0, 0.2: 321602.0, 0.3: 321608.0, 0.4: 321638.0, 0.5: 321907.0, 0.6: 322163.0, 0.7: 322344.0, 0.8: 322459.0, 0.9: 322989.0}",415,322065.75
36000,322903,323601,"{0.1: 322952.0, 0.2: 322960.0, 0.3: 323110.0, 0.4: 323168.0, 0.5: 323322.5, 0.6: 323429.0, 0.7: 323433.0, 0.8: 323468.0, 0.9: 323495.0}",134,323263.6666666667
39600,323333,323734,"{0.1: 323352.0, 0.2: 323391.0, 0.3: 323412.0, 0.4: 323474.0, 0.5: 323530.5, 0.6: 323610.0, 0.7: 323695.0, 0.8: 323705.0, 0.9: 323708.0}",144,323539.5833333333
43200,323514,325072,"{0.1: 324119.0, 0.2: 324157.0, 0.3: 324216.0, 0.4: 324346.0, 0.5: 324387.0, 0.6: 324586.0, 0.7: 324649.0, 0.8: 324730.0, 0.9: 325029.0}",226,324432.6666666667
46800,323681,324190,"{0.1: 323812.0, 0.2: 323841.0, 0.3: 323865.0, 0.4: 323941.0, 0.5: 324006.5, 0.6: 324024.0, 0.7: 324085.0, 0.8: 324143.0, 0.9: 324187.0}",152,323981.8333333333
50400,323630,326958,"{0.1: 323779.0, 0.2: 323837.0, 0.3: 323841.0, 0.4: 324011.0, 0.5: 324113.5, 0.6: 324469.0, 0.7: 324857.0, 0.8: 325210.0, 0.9: 326713.0}",125,324627.6666666667
54000,326732,327925,"{0.1: 326767.0, 0.2: 326810.0, 0.3: 326883.0, 0.4: 327032.0, 0.5: 327142.0, 0.6: 327175.0, 0.7: 327181.0, 0.8: 327563.0, 0.9: 327905.0}",221,327188.0833333333
57600,325299,326259,"{0.1: 325405.0, 0.2: 325414.0, 0.3: 325485.0, 0.4: 325495.0, 0.5: 325581.0, 0.6: 325802.0, 0.7: 325845.0, 0.8: 325936.0, 0.9: 325939.0}",117,325670.0833333333
61200,325312,325784,"{0.1: 325373.0, 0.2: 325473.0, 0.3: 325481.0, 0.4: 325493.0, 0.5: 325554.0, 0.6: 325637.0, 0.7: 325643.0, 0.8: 325673.0, 0.9: 325738.0}",92,325559.5833333333
64800,325064,327351,"{0.1: 325145.0, 0.2: 325343.0, 0.3: 325384.0, 0.4: 325404.0, 0.5: 325798.0, 0.6: 326463.0, 0.7: 326806.0, 0.8: 327106.0, 0.9: 327206.0}",203,326072.3333333333
68400,326344,327496,"{0.1: 326640.0, 0.2: 326661.0, 0.3: 326809.0, 0.4: 326903.0, 0.5: 326998.0, 0.6: 327176.0, 0.7: 327192.0, 0.8: 327271.0, 0.9: 327297.0}",172,326982.0833333333
72000,327141,328188,"{0.1: 327456.0, 0.2: 327457.0, 0.3: 327497.0, 0.4: 327552.0, 0.5: 327662.0, 0.6: 327876.0, 0.7: 327955.0, 0.8: 328007.0, 0.9: 328047.0}",198,327708.3333333333
75600,327038,327473,"{0.1: 327112.0, 0.2: 327127.0, 0.3: 327187.0, 0.4: 327196.0, 0.5: 327237.0, 0.6: 327292.0, 0.7: 327317.0, 0.8: 327408.0, 0.9: 327473.0}",162,327258.0833333333
79200,325958,330592,"{0.1: 326485.0, 0.2: 326750.0, 0.3: 326835.0, 0.4: 326854.0, 0.5: 327152.5, 0.6: 329811.0, 0.7: 330243.0, 0.8: 330473.0, 0.9: 330484.0}",502,328232.5
82800,323920,329965,"{0.1: 323954.0, 0.2: 324125.0, 0.3: 324139.0, 0.4: 324173.0, 0.5: 324978.5, 0.6: 326260.0, 0.7: 328108.0, 0.8: 329633.0, 0.9: 329818.0}",44,326171.0
86400,323657,324711,"{0.1: 323979.0, 0.2: 324002.0, 0.3: 324070.0, 0.4: 324180.0, 0.5: 324275.0, 0.6: 324378.0, 0.7: 324499.0, 0.8: 324536.0, 0.9: 324634.0}",158,324266.3333333333
90000,323323,324246,"{0.1: 323538.0, 0.2: 323538.0, 0.3: 323653.0, 0.4: 323794.0, 0.5: 323834.5, 0.6: 323906.0, 0.7: 323907.0, 0.8: 323971.0, 0.9: 324130.0}",136,323806.25
93600,322597,323752,"{0.1: 322886.0, 0.2: 322953.0, 0.3: 322977.0, 0.4: 323000.0, 0.5: 323237.5, 0.6: 323372.0, 0.7: 323482.0, 0.8: 323510.0, 0.9: 323532.0}",33,323211.3333333333
97200,321842,322860,"{0.1: 322032.0, 0.2: 322108.0, 0.3: 322147.0, 0.4: 322290.0, 0.5: 322313.0, 0.6: 322366.0, 0.7: 322563.0, 0.8: 322752.0, 0.9: 322763.0}",219,322362.4166666667
100800,321219,322395,"{0.1: 321486.0, 0.2: 321552.0, 0.3: 321621.0, 0.4: 321720.0, 0.5: 321809.0, 0.6: 321848.0, 0.7: 321874.0, 0.8: 321888.0, 0.9: 322026.0}",340,321770.5833333333
104400,320948,322766,"{0.1: 321074.0, 0.2: 321411.0, 0.3: 321432.0, 0.4: 321554.0, 0.5: 321604.5, 0.6: 321616.0, 0.7: 322041.0, 0.8: 322569.0, 0.9: 322665.0}",121,321773.75
108000,322164,323895,"{0.1: 322617.0, 0.2: 322694.0, 0.3: 322701.0, 0.4: 322762.0, 0.5: 323002.0, 0.6: 323334.0, 0.7: 323409.0, 0.8: 323539.0, 0.9: 323785.0}",233,323075.3333333333
111600,322730,323567,"{0.1: 322777.0, 0.2: 322849.0, 0.3: 322881.0, 0.4: 322912.0, 0.5: 323069.5, 0.6: 323291.0, 0.7: 323305.0, 0.8: 323384.0, 0.9: 323431.0}",143,323105.5
115200,322552,323681,"{0.1: 322642.0, 0.2: 322782.0, 0.3: 322825.0, 0.4: 322956.0, 0.5: 323137.5, 0.6: 323397.0, 0.7: 323553.0, 0.8: 323671.0, 0.9: 323678.0}",145,323167.6666666667
118800,323481,324025,"{0.1: 323626.0, 0.2: 323672.0, 0.3: 323725.0, 0.4: 323823.0, 0.5: 323832.5, 0.6: 323844.0, 0.7: 323848.0, 0.8: 323869.0, 0.9: 323984.0}",266,323796.8333333333
122400,323436,324218,"{0.1: 323771.0, 0.2: 323851.0, 0.3: 323882.0, 0.4: 323931.0, 0.5: 323976.5, 0.6: 324061.0, 0.7: 324083.0, 0.8: 324176.0, 0.9: 324205.0}",145,323963.9166666667
126000,324044,325738,"{0.1: 324229.0, 0.2: 324260.0, 0.3: 324270.0, 0.4: 324401.0, 0.5: 324722.5, 0.6: 325242.0, 0.7: 325245.0, 0.8: 325495.0, 0.9: 325541.0}",115,324825.8333333333
129600,325572,327209,"{0.1: 326302.0, 0.2: 326314.0, 0.3: 326356.0, 0.4: 326364.0, 0.5: 326644.5, 0.6: 326902.0, 0.7: 326967.0, 0.8: 327069.0, 0.9: 327083.0}",244,326618.9166666667
133200,326886,327255,"{0.1: 326997.0, 0.2: 327014.0, 0.3: 327023.0, 0.4: 327042.0, 0.5: 327065.0, 0.6: 327102.0, 0.7: 327144.0, 0.8: 327185.0, 0.9: 327250.0}",138,327085.6666666667
136800,326739,328519,"{0.1: 326974.0, 0.2: 326976.0, 0.3: 327029.0, 0.4: 327054.0, 0.5: 327240.5, 0.6: 328266.0, 0.7: 328428.0, 0.8: 328470.0, 0.9: 328484.0}",134,327618.3333333333
140400,328004,329234,"{0.1: 328124.0, 0.2: 328250.0, 0.3: 328375.0, 0.4: 328444.0, 0.5: 328590.0, 0.6: 328696.0, 0.7: 328743.0, 0.8: 328792.0, 0.9: 328805.0}",317,328553.9166666667
144000,327350,327905,"{0.1: 327509.0, 0.2: 327545.0, 0.3: 327605.0, 0.4: 327617.0, 0.5: 327655.0, 0.6: 327730.0, 0.7: 327783.0, 0.8: 327881.0, 0.9: 327887.0}",116,327676.8333333333
147600,327464,328272,"{0.1: 327697.0, 0.2: 327716.0, 0.3: 327763.0, 0.4: 327848.0, 0.5: 327924.0, 0.6: 328028.0, 0.7: 328055.0, 0.8: 328104.0, 0.9: 328109.0}",81,327908.6666666667
151200,327787,328835,"{0.1: 327886.0, 0.2: 327901.0, 0.3: 327905.0, 0.4: 328099.0, 0.5: 328291.5, 0.6: 328557.0, 0.7: 328708.0, 0.8: 328757.0, 0.9: 328805.0}",181,328318.5833333333
154800,327477,328256,"{0.1: 327634.0, 0.2: 327890.0, 0.3: 327902.0, 0.4: 327913.0, 0.5: 327972.0, 0.6: 328013.0, 0.7: 328035.0, 0.8: 328050.0, 0.9: 328171.0}",120,327940.4166666667
158400,327680,328596,"{0.1: 327871.0, 0.2: 327914.0, 0.3: 328018.0, 0.4: 328037.0, 0.5: 328202.5, 0.6: 328380.0, 0.7: 328426.0, 0.8: 328448.0, 0.9: 328533.0}",156,328192.3333333333
162000,327330,328437,"{0.1: 327364.0, 0.2: 327472.0, 0.3: 327557.0, 0.4: 327569.0, 0.5: 327630.0, 0.6: 327637.0, 0.7: 327911.0, 0.8: 328216.0, 0.9: 328216.0}",231,327747.4166666667
165600,325766,327348,"{0.1: 326013.0, 0.2: 326017.0, 0.3: 326155.0, 0.4: 326275.0, 0.5: 326363.5, 0.6: 326515.0, 0.7: 326681.0, 0.8: 326860.0, 0.9: 326862.0}",161,326434.9166666667
169200,324559,326206,"{0.1: 324569.0, 0.2: 324870.0, 0.3: 325091.0, 0.4: 325195.0, 0.5: 325471.5, 0.6: 325900.0, 0.7: 325906.0, 0.8: 325967.0, 0.9: 326054.0}",126,325438.3333333333
