,minimum,maximum,percentiles,delays,mean
0,323288,324526,"{0.1: 323402.0, 0.2: 323435.0, 0.3: 323471.0, 0.4: 323481.0, 0.5: 323533.5, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",69,323825.3333333333
3600,322754,323667,"{0.1: 322966.0, 0.2: 322997.0, 0.3: 323000.0, 0.4: 323068.0, 0.5: 323251.0, 0.6: 323525.0, 0.7: 323592.0, 0.8: 323600.0, 0.9: 323649.0}",355,323276.6666666667
7200,322642,323782,"{0.1: 322889.0, 0.2: 323069.0, 0.3: 323111.0, 0.4: 323137.0, 0.5: 323324.0, 0.6: 323620.0, 0.7: 323631.0, 0.8: 323647.0, 0.9: 323728.0}",357,323325.3333333333
10800,322532,323600,"{0.1: 322593.0, 0.2: 322646.0, 0.3: 322673.0, 0.4: 322682.0, 0.5: 322867.0, 0.6: 323011.0, 0.7: 323107.0, 0.8: 323379.0, 0.9: 323401.0}",157,322946.5
14400,321708,322373,"{0.1: 321930.0, 0.2: 321985.0, 0.3: 322051.0, 0.4: 322105.0, 0.5: 322166.0, 0.6: 322216.0, 0.7: 322246.0, 0.8: 322255.0, 0.9: 322286.0}",221,322123.9166666667
18000,321937,323024,"{0.1: 322078.0, 0.2: 322281.0, 0.3: 322333.0, 0.4: 322360.0, 0.5: 322428.0, 0.6: 322652.0, 0.7: 322932.0, 0.8: 322986.0, 0.9: 323000.0}",347,322536.5833333333
21600,322647,325231,"{0.1: 323133.0, 0.2: 323366.0, 0.3: 323378.0, 0.4: 323559.0, 0.5: 323981.0, 0.6: 324569.0, 0.7: 324752.0, 0.8: 324791.0, 0.9: 325059.0}",589,324037.25
25200,324171,325085,"{0.1: 324205.0, 0.2: 324220.0, 0.3: 324254.0, 0.4: 324320.0, 0.5: 324460.0, 0.6: 324734.0, 0.7: 324891.0, 0.8: 324952.0, 0.9: 325037.0}",176,324565.75
28800,321976,324200,"{0.1: 322037.0, 0.2: 322226.0, 0.3: 322431.0, 0.4: 322495.0, 0.5: 322675.0, 0.6: 322939.0, 0.7: 323980.0, 0.8: 323998.0, 0.9: 324021.0}",234,322971.0833333333
32400,321408,323131,"{0.1: 321459.0, 0.2: 321584.0, 0.3: 321594.0, 0.4: 321620.0, 0.5: 321665.5, 0.6: 322356.0, 0.7: 322487.0, 0.8: 322742.0, 0.9: 322985.0}",468,322058.0833333333
36000,322689,323610,"{0.1: 322919.0, 0.2: 322949.0, 0.3: 322980.0, 0.4: 323163.0, 0.5: 323343.0, 0.6: 323472.0, 0.7: 323473.0, 0.8: 323513.0, 0.9: 323549.0}",322,323250.25
39600,322848,323830,"{0.1: 323180.0, 0.2: 323324.0, 0.3: 323432.0, 0.4: 323462.0, 0.5: 323593.0, 0.6: 323727.0, 0.7: 323747.0, 0.8: 323748.0, 0.9: 323788.0}",410,323522.6666666667
43200,323538,325093,"{0.1: 324165.0, 0.2: 324174.0, 0.3: 324204.0, 0.4: 324225.0, 0.5: 324371.0, 0.6: 324386.0, 0.7: 324424.0, 0.8: 324919.0, 0.9: 325093.0}",368,324413.5833333333
46800,323691,324225,"{0.1: 323849.0, 0.2: 323851.0, 0.3: 323890.0, 0.4: 323998.0, 0.5: 324023.5, 0.6: 324033.0, 0.7: 324076.0, 0.8: 324094.0, 0.9: 324152.0}",249,323992.1666666667
50400,323645,326955,"{0.1: 323656.0, 0.2: 323872.0, 0.3: 323879.0, 0.4: 323922.0, 0.5: 323985.5, 0.6: 324473.0, 0.7: 324854.0, 0.8: 325213.0, 0.9: 326737.0}",239,324598.0833333333
54000,326751,327957,"{0.1: 326774.0, 0.2: 326812.0, 0.3: 326892.0, 0.4: 326915.0, 0.5: 327101.0, 0.6: 327194.0, 0.7: 327221.0, 0.8: 327434.0, 0.9: 327939.0}",380,327174.25
57600,325296,326029,"{0.1: 325469.0, 0.2: 325481.0, 0.3: 325506.0, 0.4: 325525.0, 0.5: 325664.0, 0.6: 325821.0, 0.7: 325847.0, 0.8: 325936.0, 0.9: 325941.0}",263,325681.5833333333
