time,cores,delays
0,324526,0
100,324526,0
200,324526,0
300,324512,0
400,324512,0
500,324512,0
600,324312,0
700,324312,0
800,324312,0
900,324241,0
1000,324241,0
1100,324241,0
1200,324169,0
1300,324169,0
1400,324169,0
1500,323575,0
1600,323575,0
1700,323575,0
1800,323465,0
1900,323465,0
2000,323465,0
2100,323455,0
2200,323455,0
2300,323455,0
2400,323483,0
2500,323483,0
2600,323483,0
2700,323254,68
2800,323254,0
2900,323254,0
3000,323468,0
3100,323468,0
3200,323468,0
3300,323408,0
3400,323408,0
3500,323408,0
3600,323460,0
3700,323460,0
3800,323460,0
3900,323176,0
4000,323176,0
4100,323176,0
4200,323060,0
4300,323060,0
4400,323060,0
4500,322956,0
4600,322956,0
4700,322956,0
4800,322996,0
4900,322996,0
5000,322996,0
5100,322985,0
5200,322985,0
5300,322985,0
5400,322750,288
5500,322750,0
5600,322750,0
5700,323602,0
5800,323602,0
5900,323602,0
6000,323594,0
6100,323594,0
6200,323594,0
6300,323647,0
6400,323647,0
6500,323647,0
6600,323671,0
6700,323671,0
6800,323671,0
6900,323525,0
7000,323525,0
7100,323525,0
7200,323483,0
7300,323483,0
7400,323483,0
7500,323370,0
7600,323370,0
7700,323370,0
7800,323095,0
7900,323095,0
8000,323095,0
8100,322515,34
8200,322515,0
8300,322515,0
8400,323054,0
8500,323054,0
8600,323054,0
8700,323125,0
8800,323125,0
8900,323125,0
9000,323525,0
9100,323525,0
9200,323525,0
9300,323781,0
9400,323781,0
9500,323781,0
9600,323521,0
9700,323521,0
9800,323521,0
9900,323564,0
10000,323564,0
10100,323564,0
10200,323604,0
10300,323604,0
10400,323604,0
10500,323716,0
10600,323716,0
10700,323716,0
10800,323335,69
10900,323335,0
11000,323335,0
11100,323551,0
11200,323551,0
11300,323551,0
11400,323376,0
11500,323376,0
11600,323376,0
11700,323096,0
11800,323096,0
11900,323096,0
12000,322997,0
12100,322997,0
12200,322997,0
12300,322893,0
12400,322893,0
12500,322893,0
12600,322775,0
12700,322775,0
12800,322775,0
12900,322812,0
13000,322812,0
13100,322812,0
13200,322659,0
13300,322659,0
13400,322659,0
13500,322541,29
13600,322541,0
13700,322541,0
13800,322664,0
13900,322664,0
14000,322664,0
14100,322516,0
14200,322516,0
14300,322516,0
14400,322332,0
14500,322332,0
14600,322332,0
14700,322219,0
14800,322219,0
14900,322219,0
15000,322092,0
15100,322092,0
15200,322092,0
15300,322031,0
15400,322031,0
15500,322031,0
15600,321954,0
15700,321954,0
15800,321954,0
15900,321930,0
16000,321930,0
16100,321930,0
16200,321692,171
16300,321692,0
16400,321692,0
16500,322172,0
16600,322172,0
16700,322172,0
16800,322360,0
16900,322360,0
17000,322360,0
17100,322285,0
17200,322285,0
17300,322285,0
17400,322260,0
17500,322260,0
17600,322260,0
17700,322150,0
17800,322150,0
17900,322150,0
18000,322071,0
18100,322071,0
18200,322071,0
18300,322300,0
18400,322300,0
18500,322300,0
18600,322247,0
18700,322247,0
18800,322247,0
18900,321949,103
19000,321949,0
19100,321949,0
19200,322373,0
19300,322373,0
19400,322373,0
19500,322959,0
19600,322959,0
19700,322959,0
19800,322637,0
19900,322637,0
20000,322637,0
20100,322623,0
20200,322623,0
20300,322623,0
20400,322926,0
20500,322926,0
20600,322926,0
20700,322960,0
20800,322960,0
20900,322960,0
21000,322444,0
21100,322444,0
21200,322444,0
21300,322915,0
21400,322915,0
21500,322915,0
21600,322658,166
21700,322658,0
21800,322658,0
21900,323129,0
22000,323129,0
22100,323129,0
22200,323297,0
22300,323297,0
22400,323297,0
22500,323362,0
22600,323362,0
22700,323362,0
22800,324193,0
22900,324193,0
23000,324193,0
23100,323751,0
23200,323751,0
23300,323751,0
23400,325047,0
23500,325047,0
23600,325047,0
23700,325215,0
23800,325215,0
23900,325215,0
24000,324396,0
24100,324396,0
24200,324396,0
24300,324114,108
24400,324114,0
24500,324114,0
24600,324714,0
24700,324714,0
24800,324714,0
24900,324731,0
25000,324731,0
25100,324731,0
25200,324623,0
25300,324623,0
25400,324623,0
25500,324722,0
25600,324722,0
25700,324722,0
25800,325080,0
25900,325080,0
26000,325080,0
26100,324995,0
26200,324995,0
26300,324995,0
26400,324884,0
26500,324884,0
26600,324884,0
26700,324923,0
26800,324923,0
26900,324923,0
27000,324147,91
27100,324147,0
27200,324147,0
27300,324203,0
27400,324203,0
27500,324203,0
27600,324254,0
27700,324254,0
27800,324254,0
27900,324313,0
28000,324313,0
28100,324313,0
28200,324154,0
28300,324154,0
28400,324154,0
28500,324207,0
28600,324207,0
28700,324207,0
28800,324084,0
28900,324084,0
29000,324084,0
29100,324191,0
29200,324191,0
29300,324191,0
29400,324200,0
29500,324200,0
29600,324200,0
29700,323694,98
29800,323694,0
29900,323694,0
30000,322915,0
30100,322915,0
30200,322915,0
30300,322712,0
30400,322712,0
30500,322712,0
30600,322760,0
30700,322760,0
30800,322760,0
30900,322624,0
31000,322624,0
31100,322624,0
31200,322429,0
31300,322429,0
31400,322429,0
31500,322178,0
31600,322178,0
31700,322178,0
31800,322008,0
31900,322008,0
32000,322008,0
32100,321991,0
32200,321991,0
32300,321991,0
32400,321446,156
32500,321446,0
32600,321446,0
32700,321608,0
32800,321608,0
32900,321608,0
33000,321602,0
33100,321602,0
33200,321602,0
33300,321584,0
33400,321584,0
33500,321584,0
33600,321638,0
33700,321638,0
33800,321638,0
33900,321702,0
34000,321702,0
34100,321702,0
34200,322112,0
34300,322112,0
34400,322112,0
34500,322344,0
34600,322344,0
34700,322344,0
34800,322459,0
34900,322459,0
35000,322459,0
35100,322163,259
35200,322163,0
35300,322163,0
35400,323142,0
35500,323142,0
35600,323142,0
35700,322989,0
35800,322989,0
35900,322989,0
36000,323110,0
36100,323110,0
36200,323110,0
36300,323429,0
36400,323429,0
36500,323429,0
36600,323433,0
36700,323433,0
36800,323433,0
36900,323468,0
37000,323468,0
37100,323468,0
37200,323601,0
37300,323601,0
37400,323601,0
37500,323495,0
37600,323495,0
37700,323495,0
37800,322960,134
37900,322960,0
38000,322960,0
38100,323168,0
38200,323168,0
38300,323168,0
38400,322903,0
38500,322903,0
38600,322903,0
38700,322952,0
38800,322952,0
38900,322952,0
39000,323249,0
39100,323249,0
39200,323249,0
39300,323396,0
39400,323396,0
39500,323396,0
39600,323391,0
39700,323391,0
39800,323391,0
39900,323412,0
40000,323412,0
40100,323412,0
40200,323568,0
40300,323568,0
40400,323568,0
40500,323333,144
40600,323333,0
40700,323333,0
40800,323493,0
40900,323493,0
41000,323493,0
41100,323352,0
41200,323352,0
41300,323352,0
41400,323474,0
41500,323474,0
41600,323474,0
41700,323610,0
41800,323610,0
41900,323610,0
42000,323705,0
42100,323705,0
42200,323705,0
42300,323734,0
42400,323734,0
42500,323734,0
42600,323695,0
42700,323695,0
42800,323695,0
42900,323708,0
43000,323708,0
43100,323708,0
43200,323514,135
43300,323514,0
43400,323514,0
43500,324157,0
43600,324157,0
43700,324157,0
43800,324119,0
43900,324119,0
44000,324119,0
44100,324216,0
44200,324216,0
44300,324216,0
44400,324353,0
44500,324353,0
44600,324353,0
44700,324346,0
44800,324346,0
44900,324346,0
45000,324586,0
45100,324586,0
45200,324586,0
45300,325072,0
45400,325072,0
45500,325072,0
45600,325029,0
45700,325029,0
45800,325029,0
45900,324730,91
46000,324730,0
46100,324730,0
46200,324649,0
46300,324649,0
46400,324649,0
46500,324421,0
46600,324421,0
46700,324421,0
46800,324190,0
46900,324190,0
47000,324190,0
47100,324187,0
47200,324187,0
47300,324187,0
47400,324143,0
47500,324143,0
47600,324143,0
47700,323941,0
47800,323941,0
47900,323941,0
48000,323812,0
48100,323812,0
48200,323812,0
48300,323841,0
48400,323841,0
48500,323841,0
48600,323681,152
48700,323681,0
48800,323681,0
48900,324024,0
49000,324024,0
49100,324024,0
49200,324085,0
49300,324085,0
49400,324085,0
49500,324017,0
49600,324017,0
49700,324017,0
49800,323996,0
49900,323996,0
50000,323996,0
50100,323865,0
50200,323865,0
50300,323865,0
50400,323779,0
50500,323779,0
50600,323779,0
50700,323841,0
50800,323841,0
50900,323841,0
51000,323837,0
51100,323837,0
51200,323837,0
51300,323630,125
51400,323630,0
51500,323630,0
51600,324011,0
51700,324011,0
51800,324011,0
51900,324016,0
52000,324016,0
52100,324016,0
52200,324211,0
52300,324211,0
52400,324211,0
52500,324469,0
52600,324469,0
52700,324469,0
52800,324857,0
52900,324857,0
53000,324857,0
53100,325210,0
53200,325210,0
53300,325210,0
53400,326713,0
53500,326713,0
53600,326713,0
53700,326958,0
53800,326958,0
53900,326958,0
54000,326767,92
54100,326767,0
54200,326767,0
54300,327143,0
54400,327143,0
54500,327143,0
54600,327181,0
54700,327181,0
54800,327181,0
54900,327175,0
55000,327175,0
55100,327175,0
55200,326810,0
55300,326810,0
55400,326810,0
55500,327032,0
55600,327032,0
55700,327032,0
55800,327563,0
55900,327563,0
56000,327563,0
56100,327925,0
56200,327925,0
56300,327925,0
56400,327905,0
56500,327905,0
56600,327905,0
56700,327141,129
56800,327141,0
56900,327141,0
57000,326883,0
57100,326883,0
57200,326883,0
57300,326732,0
57400,326732,0
57500,326732,0
57600,326259,0
57700,326259,0
57800,326259,0
57900,325590,0
58000,325590,0
58100,325590,0
58200,325485,0
58300,325485,0
58400,325485,0
58500,325414,0
58600,325414,0
58700,325414,0
58800,325405,0
58900,325405,0
59000,325405,0
59100,325495,0
59200,325495,0
59300,325495,0
59400,325299,117
59500,325299,0
59600,325299,0
59700,325572,0
59800,325572,0
59900,325572,0
60000,325845,0
60100,325845,0
60200,325845,0
60300,325936,0
60400,325936,0
60500,325936,0
60600,325939,0
