time,cores,delays
0,324526,0
100,324526,0
200,324526,0
300,324512,0
400,324512,0
500,324512,0
600,324312,0
700,324312,0
800,324312,0
900,324241,0
1000,324241,0
1100,324241,0
1200,324169,0
1300,324169,0
1400,324169,0
1500,323575,0
1600,323575,0
1700,323575,0
1800,323465,0
1900,323465,0
2000,323465,0
2100,323455,0
2200,323455,0
2300,323455,0
2400,323483,0
2500,323483,0
2600,323483,0
2700,323400,0
2800,323400,0
2900,323400,0
3000,323466,0
3100,323466,0
3200,323466,0
3300,323400,0
3400,323400,0
3500,323400,0
3600,323459,0
3700,323459,0
3800,323459,0
3900,323166,0
4000,323166,0
4100,323166,0
4200,323060,0
4300,323060,0
4400,323060,0
4500,322952,0
4600,322952,0
4700,322952,0
4800,322988,0
4900,322988,0
5000,322988,0
5100,322985,0
5200,322985,0
5300,322985,0
5400,323378,0
5500,323378,0
5600,323378,0
5700,323576,0
5800,323576,0
5900,323576,0
6000,323583,0
6100,323583,0
6200,323583,0
6300,323582,0
6400,323582,0
6500,323582,0
6600,323619,0
6700,323619,0
6800,323619,0
6900,323492,0
7000,323492,0
7100,323492,0
7200,323229,67
7300,323229,0
7400,323229,0
7500,323342,0
7600,323342,0
7700,323342,0
7800,323053,0
7900,323053,0
8000,323053,0
8100,322634,0
8200,322634,0
8300,322634,0
8400,323067,0
8500,323067,0
8600,323067,0
8700,323137,0
8800,323137,0
8900,323137,0
9000,323549,0
9100,323549,0
9200,323549,0
9300,323766,0
9400,323766,0
9500,323766,0
9600,323545,0
9700,323545,0
9800,323545,0
9900,323568,0
10000,323568,0
10100,323568,0
10200,323593,0
10300,323593,0
10400,323593,0
10500,323716,0
10600,323716,0
10700,323716,0
10800,323572,0
10900,323572,0
11000,323572,0
11100,323529,0
11200,323529,0
11300,323529,0
11400,323307,0
11500,323307,0
11600,323307,0
11700,323027,0
11800,323027,0
11900,323027,0
12000,322952,0
12100,322952,0
12200,322952,0
12300,322859,0
12400,322859,0
12500,322859,0
12600,322767,0
12700,322767,0
12800,322767,0
12900,322796,0
13000,322796,0
13100,322796,0
13200,322658,0
13300,322658,0
13400,322658,0
13500,322640,0
13600,322640,0
13700,322640,0
13800,322661,0
13900,322661,0
14000,322661,0
14100,322514,0
14200,322514,0
14300,322514,0
14400,322186,50
14500,322186,0
14600,322186,0
14700,322205,0
14800,322205,0
14900,322205,0
15000,322097,0
15100,322097,0
15200,322097,0
15300,322039,0
15400,322039,0
15500,322039,0
15600,321930,0
15700,321930,0
15800,321930,0
15900,321922,0
16000,321922,0
16100,321922,0
16200,321972,0
16300,321972,0
16400,321972,0
16500,322118,0
16600,322118,0
16700,322118,0
16800,322311,0
16900,322311,0
17000,322311,0
17100,322252,0
17200,322252,0
17300,322252,0
17400,322244,0
17500,322244,0
17600,322244,0
17700,322135,0
17800,322135,0
17900,322135,0
18000,322072,0
18100,322072,0
18200,322072,0
18300,322300,0
18400,322300,0
18500,322300,0
18600,322238,0
18700,322238,0
18800,322238,0
18900,322383,0
19000,322383,0
19100,322383,0
19200,322344,0
19300,322344,0
19400,322344,0
19500,322927,0
19600,322927,0
19700,322927,0
19800,322619,0
19900,322619,0
20000,322619,0
20100,322615,0
20200,322615,0
20300,322615,0
20400,322926,0
20500,322926,0
20600,322926,0
20700,322934,0
20800,322934,0
20900,322934,0
21000,322434,0
21100,322434,0
21200,322434,0
21300,322892,0
21400,322892,0
21500,322892,0
21600,322607,166
21700,322607,0
21800,322607,0
21900,323130,0
22000,323130,0
22100,323130,0
22200,323297,0
22300,323297,0
22400,323297,0
22500,323354,0
22600,323354,0
22700,323354,0
22800,324173,0
22900,324173,0
23000,324173,0
23100,323750,0
23200,323750,0
23300,323750,0
23400,324997,0
23500,324997,0
23600,324997,0
23700,325205,0
23800,325205,0
23900,325205,0
24000,324396,0
24100,324396,0
24200,324396,0
24300,324518,0
24400,324518,0
24500,324518,0
24600,324676,0
24700,324676,0
24800,324676,0
24900,324716,0
25000,324716,0
25100,324716,0
25200,324594,0
25300,324594,0
25400,324594,0
25500,324697,0
25600,324697,0
25700,324697,0
25800,325063,0
25900,325063,0
26000,325063,0
26100,324991,0
26200,324991,0
26300,324991,0
26400,324858,0
26500,324858,0
26600,324858,0
26700,324920,0
26800,324920,0
26900,324920,0
27000,324278,0
27100,324278,0
27200,324278,0
27300,324187,0
27400,324187,0
27500,324187,0
27600,324247,0
27700,324247,0
27800,324247,0
27900,324294,0
28000,324294,0
28100,324294,0
28200,324153,0
28300,324153,0
28400,324153,0
28500,324191,0
28600,324191,0
28700,324191,0
28800,323910,89
28900,323910,0
29000,323910,0
29100,324192,0
29200,324192,0
29300,324192,0
29400,324019,0
29500,324019,0
29600,324019,0
29700,323980,0
29800,323980,0
29900,323980,0
30000,322908,0
30100,322908,0
30200,322908,0
30300,322710,0
30400,322710,0
30500,322710,0
30600,322760,0
30700,322760,0
30800,322760,0
30900,322617,0
31000,322617,0
31100,322617,0
31200,322417,0
31300,322417,0
31400,322417,0
31500,322178,0
31600,322178,0
31700,322178,0
31800,321990,0
31900,321990,0
32000,321990,0
32100,321965,0
32200,321965,0
32300,321965,0
32400,321917,0
32500,321917,0
32600,321917,0
32700,321590,0
32800,321590,0
32900,321590,0
33000,321553,0
33100,321553,0
33200,321553,0
33300,321569,0
33400,321569,0
33500,321569,0
33600,321603,0
33700,321603,0
33800,321603,0
33900,321684,0
34000,321684,0
34100,321684,0
34200,322070,0
34300,322070,0
34400,322070,0
34500,322312,0
34600,322312,0
34700,322312,0
34800,322438,0
34900,322438,0
35000,322438,0
35100,322711,0
35200,322711,0
35300,322711,0
35400,323105,0
35500,323105,0
35600,323105,0
35700,322958,0
35800,322958,0
35900,322958,0
36000,322678,188
36100,322678,0
36200,322678,0
36300,323435,0
36400,323435,0
36500,323435,0
36600,323420,0
36700,323420,0
36800,323420,0
36900,323449,0
37000,323449,0
37100,323449,0
37200,323604,0
37300,323604,0
37400,323604,0
37500,323463,0
37600,323463,0
37700,323463,0
37800,323279,0
37900,323279,0
38000,323279,0
38100,323121,0
38200,323121,0
38300,323121,0
38400,322870,0
38500,322870,0
38600,322870,0
38700,322926,0
38800,322926,0
38900,322926,0
39000,323232,0
39100,323232,0
39200,323232,0
39300,323394,0
39400,323394,0
39500,323394,0
39600,323368,0
39700,323368,0
39800,323368,0
39900,323413,0
40000,323413,0
40100,323413,0
40200,323516,0
40300,323516,0
40400,323516,0
40500,323784,0
40600,323784,0
40700,323784,0
40800,323446,0
40900,323446,0
41000,323446,0
41100,323322,0
41200,323322,0
41300,323322,0
41400,323386,0
41500,323386,0
41600,323386,0
41700,323555,0
41800,323555,0
41900,323555,0
42000,323701,0
42100,323701,0
42200,323701,0
42300,323729,0
42400,323729,0
42500,323729,0
42600,323696,0
42700,323696,0
42800,323696,0
42900,323693,0
43000,323693,0
43100,323693,0
43200,323515,135
43300,323515,0
43400,323515,0
43500,324153,0
43600,324153,0
43700,324153,0
43800,324107,0
43900,324107,0
44000,324107,0
44100,324205,0
44200,324205,0
44300,324205,0
44400,324345,0
44500,324345,0
44600,324345,0
44700,324345,0
44800,324345,0
44900,324345,0
45000,324570,0
45100,324570,0
45200,324570,0
45300,325076,0
45400,325076,0
45500,325076,0
45600,325025,0
45700,325025,0
45800,325025,0
45900,324876,0
46000,324876,0
46100,324876,0
46200,324357,0
46300,324357,0
46400,324357,0
46500,324407,0
46600,324407,0
46700,324407,0
46800,324179,0
46900,324179,0
47000,324179,0
47100,324176,0
47200,324176,0
47300,324176,0
47400,324142,0
47500,324142,0
47600,324142,0
47700,323936,0
47800,323936,0
47900,323936,0
48000,323812,0
48100,323812,0
48200,323812,0
48300,323833,0
48400,323833,0
48500,323833,0
48600,323933,0
48700,323933,0
48800,323933,0
48900,323997,0
49000,323997,0
49100,323997,0
49200,324075,0
49300,324075,0
49400,324075,0
49500,323991,0
49600,323991,0
49700,323991,0
49800,323986,0
49900,323986,0
50000,323986,0
50100,323843,0
50200,323843,0
50300,323843,0
50400,323601,92
50500,323601,0
50600,323601,0
50700,323876,0
50800,323876,0
50900,323876,0
51000,323857,0
51100,323857,0
51200,323857,0
51300,323894,0
51400,323894,0
51500,323894,0
51600,323973,0
51700,323973,0
51800,323973,0
51900,323965,0
52000,323965,0
52100,323965,0
52200,324183,0
52300,324183,0
52400,324183,0
52500,324447,0
52600,324447,0
52700,324447,0
52800,324842,0
52900,324842,0
53000,324842,0
53100,325210,0
53200,325210,0
53300,325210,0
53400,326695,0
53500,326695,0
53600,326695,0
53700,326942,0
53800,326942,0
53900,326942,0
54000,326952,0
54100,326952,0
54200,326952,0
54300,327128,0
54400,327128,0
54500,327128,0
54600,327174,0
54700,327174,0
54800,327174,0
54900,327169,0
55000,327169,0
55100,327169,0
55200,326807,0
55300,326807,0
55400,326807,0
55500,327035,0
55600,327035,0
55700,327035,0
55800,327564,0
55900,327564,0
56000,327564,0
56100,327923,0
56200,327923,0
56300,327923,0
56400,327903,0
56500,327903,0
56600,327903,0
56700,327355,0
56800,327355,0
56900,327355,0
57000,326856,0
57100,326856,0
57200,326856,0
57300,326712,0
57400,326712,0
57500,326712,0
57600,325978,146
57700,325978,0
57800,325978,0
57900,325526,0
58000,325526,0
58100,325526,0
58200,325493,0
58300,325493,0
58400,325493,0
58500,325466,0
58600,325466,0
58700,325466,0
58800,325414,0
58900,325414,0
59000,325414,0
59100,325509,0
59200,325509,0
59300,325509,0
59400,325485,0
59500,325485,0
59600,325485,0
59700,325552,0
59800,325552,0
59900,325552,0
60000,325819,0
60100,325819,0
60200,325819,0
60300,325921,0
60400,325921,0
60500,325921,0
60600,325917,0
