time,cores,delays
0,324526,0
100,324526,0
200,324526,0
300,324512,0
400,324512,0
500,324512,0
600,324312,0
700,324312,0
800,324312,0
900,324241,0
1000,324241,0
1100,324241,0
1200,324169,0
1300,324169,0
1400,324169,0
1500,323575,0
1600,323575,0
1700,323575,0
1800,323465,0
1900,323465,0
2000,323465,0
2100,323455,0
2200,323455,0
2300,323455,0
2400,323483,0
2500,323483,0
2600,323483,0
2700,323254,68
2800,323254,0
2900,323254,0
3000,323468,0
3100,323468,0
3200,323468,0
3300,323408,0
3400,323408,0
3500,323408,0
3600,323460,0
3700,323460,0
3800,323460,0
3900,323176,0
4000,323176,0
4100,323176,0
4200,323060,0
4300,323060,0
4400,323060,0
4500,322956,0
4600,322956,0
4700,322956,0
4800,322996,0
4900,322996,0
5000,322996,0
5100,322985,0
5200,322985,0
5300,322985,0
5400,322750,288
5500,322750,0
5600,322750,0
5700,323602,0
5800,323602,0
5900,323602,0
6000,323594,0
6100,323594,0
6200,323594,0
6300,323647,0
6400,323647,0
6500,323647,0
6600,323671,0
6700,323671,0
6800,323671,0
6900,323525,0
7000,323525,0
7100,323525,0
7200,323483,0
7300,323483,0
7400,323483,0
7500,323370,0
7600,323370,0
7700,323370,0
7800,323095,0
7900,323095,0
8000,323095,0
8100,322515,34
8200,322515,0
8300,322515,0
8400,323054,0
8500,323054,0
8600,323054,0
8700,323125,0
8800,323125,0
8900,323125,0
9000,323525,0
9100,323525,0
9200,323525,0
9300,323781,0
9400,323781,0
9500,323781,0
9600,323521,0
9700,323521,0
9800,323521,0
9900,323564,0
10000,323564,0
10100,323564,0
10200,323604,0
10300,323604,0
10400,323604,0
10500,323716,0
10600,323716,0
10700,323716,0
10800,323335,69
10900,323335,0
11000,323335,0
11100,323551,0
11200,323551,0
11300,323551,0
11400,323376,0
11500,323376,0
11600,323376,0
11700,323096,0
11800,323096,0
11900,323096,0
12000,322997,0
12100,322997,0
12200,322997,0
12300,322893,0
12400,322893,0
12500,322893,0
12600,322775,0
12700,322775,0
12800,322775,0
12900,322812,0
13000,322812,0
13100,322812,0
13200,322659,0
13300,322659,0
13400,322659,0
13500,322541,29
13600,322541,0
13700,322541,0
13800,322664,0
13900,322664,0
14000,322664,0
14100,322516,0
14200,322516,0
14300,322516,0
14400,322332,0
14500,322332,0
14600,322332,0
14700,322219,0
14800,322219,0
14900,322219,0
15000,322092,0
15100,322092,0
15200,322092,0
15300,322031,0
15400,322031,0
15500,322031,0
15600,321954,0
15700,321954,0
15800,321954,0
15900,321930,0
16000,321930,0
16100,321930,0
16200,321692,171
16300,321692,0
16400,321692,0
16500,322172,0
16600,322172,0
16700,322172,0
16800,322360,0
16900,322360,0
17000,322360,0
17100,322285,0
17200,322285,0
17300,322285,0
17400,322260,0
17500,322260,0
17600,322260,0
17700,322150,0
17800,322150,0
17900,322150,0
18000,322071,0
18100,322071,0
18200,322071,0
18300,322300,0
18400,322300,0
18500,322300,0
18600,322247,0
18700,322247,0
18800,322247,0
18900,321949,103
19000,321949,0
19100,321949,0
19200,322373,0
19300,322373,0
19400,322373,0
19500,322959,0
19600,322959,0
19700,322959,0
19800,322637,0
19900,322637,0
20000,322637,0
20100,322623,0
20200,322623,0
20300,322623,0
20400,322926,0
20500,322926,0
20600,322926,0
20700,322960,0
20800,322960,0
20900,322960,0
21000,322444,0
21100,322444,0
21200,322444,0
21300,322915,0
21400,322915,0
21500,322915,0
21600,315100,166
