time,cores,delays
0,324526,0
100,324526,0
200,324526,0
300,324512,0
400,324512,0
500,324512,0
600,324312,0
700,324312,0
800,324312,0
900,324241,58
1000,324241,0
1100,324241,0
1200,324169,0
1300,324169,0
1400,324169,0
1500,323575,0
1600,323575,0
1700,323575,0
1800,323465,69
1900,323465,0
2000,323465,0
2100,323455,0
2200,323455,0
2300,323455,0
2400,323483,0
2500,323483,0
2600,323483,0
2700,323400,68
2800,323400,0
2900,323400,0
3000,323466,0
3100,323466,0
3200,323466,0
3300,323400,0
3400,323400,0
3500,323400,0
3600,323459,67
3700,323459,0
3800,323459,0
3900,323166,0
4000,323166,0
4100,323166,0
4200,323060,0
4300,323060,0
4400,323060,0
4500,322952,58
4600,322952,0
4700,322952,0
4800,322988,0
4900,322988,0
5000,322988,0
5100,322985,0
5200,322985,0
5300,322985,0
5400,323378,288
5500,323378,0
5600,323378,0
5700,323576,0
5800,323576,0
5900,323576,0
6000,323583,0
6100,323583,0
6200,323583,0
6300,323582,73
6400,323582,0
6500,323582,0
6600,323619,0
6700,323619,0
6800,323619,0
6900,323492,0
7000,323492,0
7100,323492,0
7200,323478,67
7300,323478,0
7400,323478,0
7500,323308,0
7600,323308,0
7700,323308,0
7800,323037,0
7900,323037,0
8000,323037,0
8100,322617,34
8200,322617,0
8300,322617,0
8400,323045,0
8500,323045,0
8600,323045,0
8700,323120,0
8800,323120,0
8900,323120,0
9000,323516,290
9100,323516,0
9200,323516,0
9300,323766,0
9400,323766,0
9500,323766,0
9600,323513,0
9700,323513,0
9800,323513,0
9900,323560,86
10000,323560,0
10100,323560,0
10200,323593,0
10300,323593,0
10400,323593,0
10500,323716,0
10600,323716,0
10700,323716,0
10800,323572,69
10900,323572,0
11000,323572,0
11100,323529,0
11200,323529,0
11300,323529,0
11400,323306,0
11500,323306,0
11600,323306,0
11700,323027,37
11800,323027,0
11900,323027,0
12000,322952,0
12100,322952,0
12200,322952,0
12300,322859,0
12400,322859,0
12500,322859,0
12600,322767,88
12700,322767,0
12800,322767,0
12900,322796,0
13000,322796,0
13100,322796,0
13200,322657,0
13300,322657,0
13400,322657,0
13500,322640,29
13600,322640,0
13700,322640,0
13800,322661,0
13900,322661,0
14000,322661,0
14100,322514,0
14200,322514,0
14300,322514,0
14400,322314,50
14500,322314,0
14600,322314,0
14700,322203,0
14800,322203,0
14900,322203,0
15000,322089,0
15100,322089,0
15200,322089,0
15300,322028,68
15400,322028,0
15500,322028,0
15600,321928,0
15700,321928,0
15800,321928,0
15900,321920,0
16000,321920,0
16100,321920,0
16200,321948,171
16300,321948,0
16400,321948,0
16500,322109,0
16600,322109,0
16700,322109,0
16800,322300,0
16900,322300,0
17000,322300,0
17100,322252,118
17200,322252,0
17300,322252,0
17400,322244,0
17500,322244,0
17600,322244,0
17700,322134,0
17800,322134,0
17900,322134,0
18000,322071,74
18100,322071,0
18200,322071,0
18300,322292,0
18400,322292,0
18500,322292,0
18600,322236,0
18700,322236,0
18800,322236,0
18900,322383,103
19000,322383,0
19100,322383,0
19200,322344,0
19300,322344,0
19400,322344,0
19500,322926,0
19600,322926,0
19700,322926,0
19800,322619,273
19900,322619,0
20000,322619,0
20100,322615,0
20200,322615,0
20300,322615,0
20400,322926,0
20500,322926,0
20600,322926,0
20700,322934,116
20800,322934,0
20900,322934,0
21000,322434,0
21100,322434,0
21200,322434,0
21300,322892,0
21400,322892,0
21500,322892,0
21600,315100,166
