time,cores,delays
0,324526,0
100,324526,0
200,324526,0
300,324512,0
400,324512,0
500,324512,0
600,324312,0
700,324312,0
800,324312,0
900,324241,0
1000,324241,0
1100,324241,0
1200,324169,0
1300,324169,0
1400,324169,0
1500,323575,0
1600,323575,0
1700,323575,0
1800,323288,69
1900,323288,0
2000,323288,0
2100,323481,0
2200,323481,0
2300,323481,0
2400,323492,0
2500,323492,0
2600,323492,0
2700,323435,0
2800,323435,0
2900,323435,0
3000,323471,0
3100,323471,0
3200,323471,0
3300,323402,0
3400,323402,0
3500,323402,0
3600,323295,67
3700,323295,0
3800,323295,0
3900,323207,0
4000,323207,0
4100,323207,0
4200,323068,0
4300,323068,0
4400,323068,0
4500,322966,0
4600,322966,0
4700,322966,0
4800,323000,0
4900,323000,0
5000,323000,0
5100,322997,0
5200,322997,0
5300,322997,0
5400,322754,288
5500,322754,0
5600,322754,0
5700,323600,0
5800,323600,0
5900,323600,0
6000,323592,0
6100,323592,0
6200,323592,0
6300,323649,0
6400,323649,0
6500,323649,0
6600,323667,0
6700,323667,0
6800,323667,0
6900,323525,0
7000,323525,0
7100,323525,0
7200,323239,67
7300,323239,0
7400,323239,0
7500,323409,0
7600,323409,0
7700,323409,0
7800,323111,0
7900,323111,0
8000,323111,0
8100,322642,0
8200,322642,0
8300,322642,0
8400,323069,0
8500,323069,0
8600,323069,0
8700,323137,0
8800,323137,0
8900,323137,0
9000,322889,290
9100,322889,0
9200,322889,0
9300,323782,0
9400,323782,0
9500,323782,0
9600,323631,0
9700,323631,0
9800,323631,0
9900,323620,0
10000,323620,0
10100,323620,0
10200,323647,0
10300,323647,0
10400,323647,0
10500,323728,0
10600,323728,0
10700,323728,0
10800,323401,69
10900,323401,0
11000,323401,0
11100,323600,0
11200,323600,0
11300,323600,0
11400,323379,0
11500,323379,0
11600,323379,0
11700,323107,0
11800,323107,0
11900,323107,0
12000,323011,0
12100,323011,0
12200,323011,0
12300,322895,0
12400,322895,0
12500,322895,0
12600,322593,88
12700,322593,0
12800,322593,0
12900,322839,0
13000,322839,0
13100,322839,0
13200,322673,0
13300,322673,0
13400,322673,0
13500,322646,0
13600,322646,0
13700,322646,0
13800,322682,0
13900,322682,0
14000,322682,0
14100,322532,0
14200,322532,0
14300,322532,0
14400,322246,50
14500,322246,0
14600,322246,0
14700,322216,0
14800,322216,0
14900,322216,0
15000,322105,0
15100,322105,0
15200,322105,0
15300,322051,0
15400,322051,0
15500,322051,0
15600,321985,0
15700,321985,0
15800,321985,0
15900,321930,0
16000,321930,0
16100,321930,0
16200,321708,171
16300,321708,0
16400,321708,0
16500,322181,0
16600,322181,0
16700,322181,0
16800,322373,0
16900,322373,0
17000,322373,0
17100,322286,0
17200,322286,0
17300,322286,0
17400,322255,0
17500,322255,0
17600,322255,0
17700,322151,0
17800,322151,0
17900,322151,0
18000,321937,74
18100,321937,0
18200,321937,0
18300,322333,0
18400,322333,0
18500,322333,0
18600,322281,0
18700,322281,0
18800,322281,0
18900,322415,0
19000,322415,0
19100,322415,0
19200,322360,0
19300,322360,0
19400,322360,0
19500,322932,0
19600,322932,0
19700,322932,0
19800,322078,273
19900,322078,0
20000,322078,0
20100,322652,0
20200,322652,0
20300,322652,0
20400,323024,0
20500,323024,0
20600,323024,0
20700,323000,0
20800,323000,0
20900,323000,0
21000,322441,0
21100,322441,0
21200,322441,0
21300,322986,0
21400,322986,0
21500,322986,0
21600,315100,166
