time,cores,delays,MA,max
17900,322134,0,322219.0,323387.6
18000,322071,0,322196.1,323387.6
18100,322071,0,322178.0,323387.6
18200,322071,0,322159.9,323387.6
18300,322292,0,322163.9,323387.6
18400,322292,0,322168.7,323387.6
18500,322292,0,322173.5,323387.6
18600,322237,0,322172.8,323387.6
18700,322237,0,322183.1,323387.6
18800,322237,0,322193.4,323387.6
18900,322383,0,322218.3,323387.6
19000,322383,0,322249.5,323387.6
19100,322383,0,322280.7,323387.6
19200,322344,0,322308.0,323387.6
19300,322344,0,322313.2,323387.6
19400,322344,0,322318.4,323387.6
19500,322926,0,322381.8,323387.6
19600,322926,0,322450.7,323387.6
19700,322926,0,322519.6,323387.6
19800,322619,0,322557.8,323387.6
19900,322619,0,322581.4,323387.6
20000,322619,0,322605.0,323387.6
20100,322615,0,322628.2,323387.6
20200,322615,0,322655.3,323387.6
20300,322615,0,322682.4,323387.6
20400,322926,0,322740.6,323387.6
20500,322926,0,322740.6,323387.6
20600,322926,0,322740.6,323387.6
20700,322934,0,322741.4,323387.6
20800,322934,0,322772.9,323387.6
20900,322934,0,322804.4,323387.6
21000,322434,0,322785.9,323387.6
21100,322434,0,322767.8,323387.6
21200,322434,0,322749.7,323387.6
21300,322892,0,322777.4,323387.6
21400,322892,0,322774.0,323387.6
21500,322892,0,322770.6,323387.6
21600,315100,166,321988.0,320755.6
