time,cores,delays,MA,STD,limit
0,324526,0,,,
100,324526,0,,,
200,324526,0,,,
300,324512,0,,,
400,324512,0,,,
500,324512,0,,,
600,324312,0,,,
700,324312,0,,,
800,324312,0,,,
900,324241,0,,,
1000,324241,0,,,
1100,324241,0,,,
1200,324169,0,,,
1300,324169,0,,,
1400,324169,0,,,
1500,323575,0,,,
1600,323575,0,,,
1700,323575,0,,,
1800,323465,0,,,
1900,323465,0,324146.75,387.43636149766155,323371.87727700465
2000,323465,0,324093.7,405.0145026643449,323283.6709946713
2100,323167,101,324025.75,441.06591881132806,323143.61816237733
2200,323167,0,323957.8,464.0270636390934,323029.7458727218
2300,323167,0,323890.55,476.76966467881203,322937.01067064237
2400,323273,88,323828.6,472.2448517454248,322884.1102965091
2500,323273,0,323766.65,458.95697252753797,322848.7360549449
2600,323273,0,323714.7,452.73997416904837,322809.2200516619
2700,323284,68,323663.3,439.5208036511691,322784.25839269767
2800,323284,0,323611.9,419.3108255472507,322773.2783489055
2900,323284,0,323564.05,397.7945085753336,322768.4609828493
3000,323310,72,323517.5,367.74640861970516,322782.0071827606
3100,323310,0,323470.95,328.1348366947514,322814.6803266105
3200,323310,0,323428.0,285.391144332156,322857.2177113357
3300,323316,49,323385.35,226.48301318910762,322932.38397362176
3400,323316,0,323342.7,131.5731135551102,323079.5537728898
3500,323316,0,323329.75,119.7175953301656,323090.31480933964
3600,323316,67,323316.8,104.88118591030427,323107.03762817936
3700,323316,0,323303.85,85.52640404885625,323132.79719190224
3800,323316,0,323296.4,76.79391423290627,323142.8121715342
3900,323132,56,323279.75,74.37661984116497,323130.99676031765
4000,323132,0,323263.1,67.69661423582356,323127.70677152835
4100,323132,0,323261.35,70.6974837640799,323119.9550324718
4200,323108,6,323258.4,75.88245758056476,323106.6350848389
4300,323108,0,323255.45,80.62158193516487,323094.20683612966
4400,323108,0,323247.2,86.92682948463944,323073.34634103073
4500,323023,0,323234.7,100.01163090273864,323034.67673819454
4600,323023,0,323222.2,110.08828992667031,323002.02342014667
4700,323023,0,323209.15,117.59084953670067,322973.9683009266
4800,322929,33,323191.4,131.65041427571842,322928.0991714486
4900,322929,0,323173.65,142.0308621021832,322889.5882757956
5000,322929,0,323154.6,148.19737905207646,322858.2052418958
5100,322847,77,323131.45,158.4525414587602,322814.5449170825
5200,322847,0,323108.3,164.69272824516665,322778.91454350966
5300,322847,0,323084.85,166.9368853315394,322750.97622933687
5400,322824,288,323060.25,167.3319659900063,322725.58606801997
5500,322824,0,323035.65,163.88419370803928,322707.88161258394
5600,322824,0,323011.05,156.33953434738916,322698.3709313052
5700,323251,187,323007.8,150.22250164325425,322707.35499671346
5800,323251,0,323004.55,143.76826199774172,322717.01347600453
5900,323251,0,323010.5,151.57124432167691,322707.35751135665
6000,323440,69,323025.9,177.92189297543274,322670.05621404917
6100,323440,0,323041.3,199.59777975762879,322642.1044404847
6200,323440,0,323057.9,218.36085536987244,322621.17828926025
6300,323479,73,323076.45,237.7394582310039,322600.971083538
6400,323479,0,323095.0,254.2325913927848,322586.5348172144
6500,323479,0,323117.8,267.53506410617496,322582.72987178765
6600,323495,78,323141.4,279.2922257571939,322582.8155484856
6700,323495,0,323165.0,288.549366386583,322587.90126722684
6800,323495,0,323193.3,291.92105998567877,322609.45788002864
6900,323484,55,323221.05,291.85350957740224,322637.3429808452
7000,323484,0,323248.8,288.99455467466004,322670.81089065067
7100,323484,0,323280.65,277.24457661638127,322726.16084676725
7200,323301,67,323303.35,257.77208925724966,322787.80582148547
7300,323301,0,323326.05,234.40034915559946,322857.2493016888
7400,323301,0,323349.9,202.76039787748044,322944.37920424505
7500,323364,45,323376.9,160.61916383031644,323055.66167233937
7600,323364,0,323403.9,94.60716563538207,323214.68566872925
7700,323364,0,323409.55,88.14908125672632,323233.2518374865
7800,323227,0,323408.35,90.55168631685179,323227.2466273663
7900,323227,0,323407.15,92.87585092099418,323221.398298158
8000,323227,0,323396.5,100.78612059875701,323194.9277588025
8100,322736,0,323361.3,178.0872346855931,323005.1255306288
8200,322736,0,323326.1,225.08615894234356,322875.9276821153
8300,322736,0,323288.95,257.503086338226,322773.94382732356
8400,322675,75,323248.75,287.3054261491434,322674.13914770173
8500,322675,0,323208.55,308.83456225313523,322590.8808754937
8600,322675,0,323167.55,322.91427492033347,322521.7214501593
8700,322928,83,323139.2,317.49721921690264,322504.2055615662
8800,322928,0,323110.85,309.2624970881307,322492.3250058237
8900,322928,0,323083.05,298.76579015731977,322485.51841968537
9000,322926,290,323055.15,285.09412573079913,322484.9617485384
9100,322926,0,323027.25,267.6893083209529,322491.8713833581
9200,322926,0,323008.5,260.5434603606614,322487.41307927866
9300,323366,208,323011.75,264.75547308069605,322482.2390538386
9400,323366,0,323015.0,268.86016713814917,322477.2796657237
9500,323366,0,323015.1,268.9971434007508,322477.1057131985
9600,323599,68,323026.85,289.39833684438906,322448.0533263112
9700,323599,0,323038.6,307.981612574673,322422.6367748506
9800,323599,0,323057.2,330.3773918604749,322396.44521627907
9900,323368,86,323064.25,335.65378074173225,322392.94243851653
10000,323368,0,323071.3,340.69497084313315,322389.91005831375
10100,323368,0,323102.9,337.25063302181894,322428.3987339564
10200,323463,88,323139.25,334.7938682390826,322469.6622635218
10300,323463,0,323175.6,328.1069145391712,322519.3861709216
10400,323463,0,323215.0,311.73369201430705,322591.5326159714
10500,323516,75,323257.05,291.09746513941366,322674.8550697212
10600,323516,0,323299.1,261.8683678976254,322775.3632642047
10700,323516,0,323328.5,250.78497814519665,322826.9300437096
10800,323554,69,323359.8,236.84607482086594,322886.10785035824
10900,323554,0,323391.1,217.3396323491364,322956.4207353017
11000,323554,0,323422.5,190.2896683873001,323041.9206632254
11100,323483,81,323450.35,150.3729661461953,323149.6040677076
11200,323483,0,323478.2,85.91280769813507,323306.37438460375
11300,323483,0,323484.05,81.75346443812091,323320.5430711238
11400,323418,61,323486.65,78.56628110445995,323329.5174377911
11500,323418,0,323489.25,75.14958766745046,323338.9508246651
11600,323418,0,323480.2,72.07277024500023,323336.05445951
11700,323245,0,323462.5,83.86549381524422,323294.7690123695
11800,323245,0,323444.8,90.62449999985711,323263.55100000027
11900,323245,0,323438.65,99.81787362468562,323239.01425275067
12000,323127,0,323426.6,121.07822612802003,323184.44354774395
12100,323127,0,323414.55,138.02382517514138,323138.50234964973
12200,323127,0,323397.75,151.59741526806528,323094.55516946386
12300,323040,5,323376.6,170.36104076540582,323035.87791846914
12400,323040,0,323355.45,184.72211704730123,322986.00576590543
12500,323040,0,323331.65,193.4080156725901,322944.83396865486
12600,322840,0,323297.85,217.11172845250036,322863.626543095
12700,322840,0,323264.05,233.3735372632261,322797.30292547354
12800,322840,0,323228.35,241.1658688864596,322746.01826222707
12900,322667,73,323184.0,259.02509530915995,322665.9498093817
13000,322667,0,323139.65,268.11589697442014,322603.41820605117
13100,322667,0,323098.85,275.11266113288394,322548.6246777342
13200,322593,45,323054.35,281.6082151534099,322491.13356969313
13300,322593,0,323009.85,280.6251057901632,322448.59978841967
13400,322593,0,322968.6,278.0954777347916,322412.4090445304
13500,322587,29,322927.05,269.3593715694531,322388.3312568611
13600,322587,0,322885.5,253.25346155401724,322378.993076892
13700,322587,0,322852.6,246.74969204824134,322359.1006159035
13800,322532,58,322816.95,238.43910730894805,322340.0717853821
13900,322532,0,322781.3,223.931639003695,322333.4367219926
14000,322532,0,322751.55,214.92997023389017,322321.69005953224
14100,322532,79,322721.8,200.9505307007584,322319.89893859846
14200,322532,0,322692.05,180.84261112748777,322330.36477774504
14300,322532,0,322666.65,164.32005835662684,322338.0098832868
14400,322321,47,322630.7,156.81974231034482,322317.0605153793
14500,322321,0,322594.75,139.50962049199194,322315.730759016
14600,322321,0,322568.8,139.75904075567698,322289.2819184886
14700,322261,76,322539.85,140.5905870146384,322258.6688259707
14800,322261,0,322510.9,135.034849300115,322240.8303013998
14900,322261,0,322490.6,140.73020099767967,322209.13959800464
15000,322162,31,322465.35,152.24712424619452,322160.85575150757
15100,322162,0,322440.1,158.78018568927234,322122.5396286214
15200,322162,0,322418.55,166.01917295464693,322086.5116540907
15300,322032,50,322390.5,181.64989460377302,322027.2002107925
15400,322032,0,322362.45,191.76698442326307,321978.91603115347
15500,322032,0,322334.7,197.62939798101473,321939.441204038
15600,321951,67,322302.9,205.89161686107894,321891.1167662779
15700,321951,0,322271.1,208.79753476803998,321853.5049304639
15800,321951,0,322242.05,210.9937576999248,321820.0624846001
15900,321881,58,322209.5,214.10093536726643,321781.2981292655
16000,321881,0,322176.95,211.9658549931994,321753.0182900136
16100,321881,0,322144.4,204.42432649249525,321735.551347015
16200,321786,171,322107.1,197.93510366246326,321711.22979267506
16300,321786,0,322069.8,183.4073981138333,321702.9852037723
16400,321786,0,322043.05,183.85591469156068,321675.3381706169
16500,321888,160,322021.4,174.6676242066531,321672.0647515867
16600,321888,0,321999.75,161.94991915525705,321675.8501616895
16700,321888,0,321981.1,151.41573998225607,321678.2685200355
16800,322052,160,321970.65,137.66980901549144,321695.31038196903
16900,322052,0,321960.2,121.44680446331057,321717.3063910734
17000,322052,0,321954.7,114.09511267094553,321726.50977465813
17100,322181,118,321955.65,115.97562129774029,321723.6987574045
17200,322181,0,321956.6,117.81805776449546,321720.963884471
17300,322181,0,321964.05,127.17599698485151,321709.6980060303
17400,322155,150,321970.2,133.45395420634313,321703.2920915873
17500,322155,0,321976.35,139.1637713693345,321698.0224572613
17600,322155,0,321986.55,144.57868918692535,321697.39262162615
17700,322191,84,321998.55,151.2775333744685,321695.99493325106
17800,322191,0,322010.55,156.7278818397686,321697.09423632047
