time,cores,delays,MA,STD,limit
0,324526,0,,,
100,324526,0,,,
200,324526,0,,,
300,324512,0,,,
400,324512,0,,,
500,324512,0,,,
600,324312,0,,,
700,324312,0,,,
800,324312,0,,,
900,324147,106,324419.7,136.87792614832748,324145.94414770335
1000,324147,0,324381.8,155.39254951394796,324071.0149009721
1100,324147,0,324343.9,162.37641454349313,324019.14717091306
1200,324000,180,324291.3,180.96472952851397,323929.37054094294
1300,324000,0,324240.1,183.98879796817158,323872.12240406364
1400,324000,0,324188.9,170.67542295244175,323847.5491540951
1500,323599,0,324097.6,216.64163958017267,323664.31672083965
1600,323599,0,324026.3,252.58664080092706,323521.1267183981
1700,323599,0,323955.0,263.38058647766496,323428.23882704467
1800,323302,189,323854.0,302.08056320566556,323249.83887358865
1900,323302,0,323769.5,328.07968205569085,323113.3406358886
2000,323302,0,323685.0,328.86572741265104,323027.2685451747
2100,323233,293,323593.6,312.81773180770745,322967.96453638456
2200,323233,0,323516.9,295.6606350380391,322925.57872992393
2300,323233,0,323440.2,252.7892402773059,322934.6215194454
2400,323312,215,323371.4,160.15492499442652,323051.0901500112
2500,323312,0,323342.7,139.17858232409608,323064.3428353518
2600,323312,0,323314.0,106.11942957487933,323101.76114085026
2700,323327,146,323286.8,37.855867004049635,323211.0882659919
2800,323327,0,323289.3,39.74935359314986,323209.8012928137
2900,323327,0,323291.8,41.38920954342241,323209.02158091316
3000,323315,191,323293.1,41.945599689315024,323209.20880062133
3100,323315,0,323301.3,36.56060417638644,323228.1787916472
3200,323315,0,323309.5,27.649593124788026,323254.20081375045
3300,323320,115,323318.2,6.51152823592323,323305.1769435282
3400,323320,0,323319.0,6.1463629688691555,323306.70727406227
3500,323320,0,323319.8,5.63323471024636,323308.5335305795
3600,323320,165,323320.6,4.926120850549983,323310.7477582989
3700,323320,0,323319.9,4.383048149236199,323311.13390370156
3800,323320,0,323319.2,3.614784451932584,323311.97043109615
3900,323282,0,323314.7,11.728881729858232,323291.2422365403
4000,323282,0,323311.4,15.629032811799943,323280.14193437644
4100,323282,0,323308.1,18.07668848632504,323271.9466230273
4200,323098,0,323286.4,68.57793619885197,323149.2441276023
4300,323098,0,323264.2,89.29576324378003,323085.60847351246
4400,323098,0,323242.0,100.74389973236406,323040.5122005353
4500,322937,53,323203.7,134.83162339232598,322934.03675321536
4600,322937,0,323165.4,151.49272076367194,322862.4145584727
4700,322937,0,323127.1,156.3993819252307,322814.3012361495
4800,322818,206,323076.9,167.7560729151619,322741.3878541697
4900,322818,0,323030.5,168.88934575934215,322692.7213084813
5000,322818,0,322984.1,155.30861748970847,322673.48276502057
5100,322836,215,322939.5,120.36264647535269,322698.7747070493
5200,322836,0,322913.3,110.10605998001695,322693.08788003994
5300,322836,0,322887.1,90.74194179027971,322705.61611641943
5400,322838,639,322861.1,52.99779869512606,322755.10440260975
5500,322838,0,322851.2,46.033321263254855,322759.1333574735
5600,322838,0,322841.3,34.807566225203594,322771.6848675496
5700,323258,414,322873.4,135.43362457874048,322602.53275084257
5800,323258,0,322917.4,179.68132284036798,322558.0373543193
5900,323258,0,322961.4,204.75904538401142,322551.881909232
6000,323448,189,323024.4,248.0731075038117,322528.2537849924
6100,323448,0,323085.6,270.87315604655817,322543.85368790687
6200,323448,0,323146.8,277.27435270260463,322592.2512945948
6300,323497,236,323212.9,273.715363105561,322665.4692737889
6400,323497,0,323278.8,251.88524724130656,322775.0295055174
6500,323497,0,323344.7,205.72206169181345,322933.2558766164
6600,323501,258,323411.0,107.81774745726118,323195.36450508545
6700,323501,0,323435.3,96.26820174267206,323242.76359651465
6800,323501,0,323459.6,74.82156551942671,323309.9568689611
6900,323484,132,323482.2,24.105324448910025,323433.9893511022
7000,323484,0,323485.8,20.90613945206245,323443.98772109585
7100,323484,0,323489.4,16.256280841291613,323456.8874383174
7200,323475,81,323492.1,9.421606380688015,323473.2567872386
7300,323475,0,323489.9,10.640071016478208,323468.6198579671
7400,323475,0,323487.7,11.264990018780423,323465.1700199625
7500,323456,25,323483.6,14.50057470541577,323454.59885058913
7600,323456,0,323479.1,15.45207645543309,323448.1958470891
7700,323456,0,323474.6,14.908610491315269,323444.78277901735
7800,323211,0,323445.6,83.25222719801805,323279.09554560395
7900,323211,0,323418.3,109.79177261258454,323198.71645477484
8000,323211,0,323391.0,124.58464324867387,323141.83071350266
8100,322707,0,323313.3,244.61445855337158,322824.07108289324
8200,322707,0,323236.5,302.0295239431394,322632.4409521137
8300,322707,0,323159.7,330.9081947206501,322497.8836105587
8400,322491,577,323061.3,370.6483958325312,322320.0032083349
8500,322491,0,322964.8,381.9181995021403,322200.9636009957
8600,322491,0,322868.3,365.5802237536866,322137.1395524926
8700,322905,307,322813.2,303.39479230825145,322206.4104153835
8800,322905,0,322782.6,272.69323423904603,322237.2135315219
8900,322905,0,322752.0,233.65358974288958,322284.6928205142
9000,322893,670,322720.2,179.6396392774306,322360.9207214452
9100,322893,0,322738.8,187.57505164528968,322363.6498967094
9200,322893,0,322757.4,193.20869545582258,322370.98260908836
9300,323403,481,322827.0,279.24183067686977,322268.51633864624
9400,323403,0,322918.2,305.0481929135408,322308.10361417296
9500,323403,0,323009.4,299.41543046386903,322410.56913907226
9600,323593,341,323119.6,290.06826782657487,322539.46346434683
9700,323593,0,323188.4,314.10833233835507,322560.1833353233
9800,323593,0,323257.2,320.4211811558341,322616.35763768834
9900,323353,397,323302.0,296.1024597443533,322709.7950805113
10000,323353,0,323348.0,258.89723400954153,322830.2055319809
10100,323353,0,323394.0,204.14863865993325,322985.7027226801
10200,323463,360,323451.0,103.47302386000656,323244.05395227997
10300,323463,0,323457.0,102.1110506592533,323252.77789868147
10400,323463,0,323463.0,100.33277962231335,323262.33444075537
10500,323516,300,323474.3,99.18114740251232,323275.937705195
10600,323516,0,323466.6,91.64448216442716,323283.3110356711
10700,323516,0,323458.9,82.63635196895359,323293.6272960621
10800,323556,252,323455.2,76.57066453110149,323302.0586709378
10900,323556,0,323475.5,73.30491873804603,323328.8901625239
11000,323556,0,323495.8,62.99523791599667,323369.80952416797
11100,323493,244,323509.8,38.545211550010336,323432.70957689994
11200,323493,0,323512.8,35.54902717989499,323441.7019456402
11300,323493,0,323515.8,31.96456371419412,323451.8708725716
11400,323442,166,323513.7,36.22476133030377,323441.25047733943
11500,323442,0,323506.3,42.68502209453165,323420.92995581095
11600,323442,0,323498.9,47.01170067222573,323404.8765986556
11700,323243,0,323471.6,92.87410834067357,323285.8517833186
11800,323243,0,323440.3,112.03575818087552,323216.22848363826
11900,323243,0,323409.0,119.58818224793954,323169.8236355041
12000,323056,72,323359.0,151.55197128378774,323055.8960574324
12100,323056,0,323315.3,170.446505130161,322974.4069897397
12200,323056,0,323271.6,175.76196023774435,322920.0760795245
12300,322818,245,323204.1,207.95376088584098,322788.1924782283
12400,322818,0,323141.7,221.7962278004753,322698.10754439904
12500,322818,0,323079.3,215.614393458496,322648.071213083
12600,322691,180,323004.2,205.8131838984397,322592.57363220316
12700,322691,0,322949.0,208.6544192351865,322531.6911615296
12800,322691,0,322893.8,194.7898012379685,322504.22039752407
12900,322653,265,322834.8,164.22261313923374,322506.35477372154
13000,322653,0,322794.5,152.9714933487811,322488.55701330246
13100,322653,0,322754.2,127.36718572515073,322499.4656285497
13200,322669,127,322715.5,72.41892017640838,322570.6621596472
13300,322669,0,322700.6,63.80212465596881,322572.995750688
13400,322669,0,322685.7,49.02618347535329,322587.6476330493
13500,322629,68,322666.8,20.471117852803207,322625.8577642944
13600,322629,0,322660.6,21.680508386921232,322617.2389832261
13700,322629,0,322654.4,20.871032544297925,322612.65793491143
13800,322602,133,322645.5,22.4462320399052,322600.60753592016
13900,322602,0,322640.4,26.056349183720833,322588.2873016326
14000,322602,0,322635.3,28.217606786875315,322578.86478642625
14100,322550,180,322625.0,38.10511775911191,322548.7897644818
14200,322550,0,322613.1,41.28612895233879,322530.5277420953
14300,322550,0,322601.2,40.52653451028869,322520.14693097945
14400,322490,0,322583.3,46.363419481977,322490.573161036
14500,322490,0,322569.4,51.672472786050776,322466.05505442794
14600,322490,0,322555.5,52.546804527312204,322450.40639094537
14700,322406,166,322533.2,63.96665797642426,322405.2666840472
14800,322406,0,322513.6,70.26173290225846,322373.07653419545
14900,322406,0,322494.0,70.19971509412923,322353.60056981177
15000,322236,0,322457.4,97.67087590095137,322262.0582481981
15100,322236,0,322426.0,113.74435272576976,322198.51129454846
15200,322236,0,322394.6,118.93247383506066,322156.73505232984
15300,322055,102,322345.1,146.81087607012012,322051.47824785975
15400,322055,0,322301.6,162.69275746766095,321976.2144850647
15500,322055,0,322258.1,164.8618613639496,321928.37627727207
15600,321937,190,322202.8,171.06256165214987,321860.6748766957
15700,321937,0,322155.9,173.4374366836396,321809.02512663277
15800,321937,0,322109.0,161.27822750005757,321786.4435449999
15900,321886,127,322057.0,136.8600258128762,321783.27994837426
16000,321886,0,322022.0,130.6079800136235,321760.78403997276
16100,321886,0,321987.0,112.53443916754901,321761.9311216649
16200,321765,284,321939.9,93.73419866143401,321752.43160267716
16300,321765,0,321910.9,98.8865230610957,321713.12695387786
16400,321765,0,321881.9,94.35094063460711,321693.1981187308
16500,321859,401,321862.3,72.14037241341481,321718.01925517316
16600,321859,0,321854.5,67.21482970251512,321720.070340595
16700,321859,0,321846.7,60.796655598232014,321725.1066888035
16800,322035,411,321856.5,81.38284011555207,321693.7343197689
16900,322035,0,321871.4,99.09613737712841,321673.20772524574
17000,322035,0,321886.3,111.90874257762147,321662.48251484474
17100,322161,313,321913.8,141.66062731753175,321630.47874536493
17200,322161,0,321953.4,150.51555843843354,321652.36888312316
