time,cores,delays,MA,STD,limit
0,324526,0,,,
100,324526,0,,,
200,324526,0,,,
300,324512,0,,,
400,324512,0,,,
500,324512,0,,,
600,324312,0,,,
700,324312,0,,,
800,324312,0,,,
900,324241,0,,,
1000,324241,0,,,
1100,324241,0,,,
1200,324169,0,,,
1300,324169,0,,,
1400,324169,0,,,
1500,323575,0,,,
1600,323575,0,,,
1700,323575,0,,,
1800,323465,0,,,
1900,323465,0,,,
2000,323465,0,,,
2100,323455,0,,,
2200,323455,0,,,
2300,323455,0,,,
2400,323483,0,,,
2500,323483,0,,,
2600,323483,0,,,
2700,323400,0,,,
2800,323400,0,,,
2900,323400,0,,,
3000,323466,0,,,
3100,323466,0,,,
3200,323466,0,,,
3300,323400,0,,,
3400,323400,0,,,
3500,323400,0,,,
3600,323459,0,,,
3700,323459,0,,,
3800,323459,0,,,
3900,323166,0,,,
4000,323166,0,,,
4100,323166,0,,,
4200,323060,0,,,
4300,323060,0,,,
4400,323060,0,,,
4500,322952,0,,,
4600,322952,0,,,
4700,322952,0,,,
4800,322988,0,,,
4900,322988,0,323637.98,508.76330609888475,323129.2166939011
5000,322988,0,323607.22,500.4029107241873,323106.8170892758
5100,322985,0,323576.4,490.00745517028724,323086.39254482975
5200,322985,0,323545.58,477.3604760363413,323068.2195239637
5300,322985,0,323515.04,462.89739507514446,323052.14260492485
5400,323041,154,323485.62,444.62627691405527,323040.99372308597
5500,323041,0,323456.2,423.4910306738853,323032.7089693261
5600,323041,0,323430.78,408.9702494044822,323021.80975059554
5700,323195,187,323408.44,389.9153838086144,323018.5246161914
5800,323195,0,323386.1,368.50078226595275,323017.599217734
5900,323195,0,323365.18,348.1036492371922,323017.0763507628
6000,323410,69,323348.56,324.4703162424172,323024.0896837576
6100,323410,0,323331.94,298.0303648411554,323033.90963515884
6200,323410,0,323316.76,272.7855223880018,323043.974477612
6300,323418,73,323301.74,244.06596716161772,323057.6740328384
6400,323418,0,323286.72,210.39021471775925,323076.3297852822
6500,323418,0,323283.58,207.14651129783036,323076.43348870217
6600,323463,78,323281.34,204.51980693462497,323076.8201930654
6700,323463,0,323279.1,201.83355943521977,323077.26644056477
6800,323463,0,323279.06,201.7961600330549,323077.26383996697
6900,323474,55,323279.24,201.96934097501585,323077.270659025
7000,323474,0,323279.42,202.14220999392768,323077.2777900061
7100,323474,0,323279.8,202.4965608173675,323077.30343918264
7200,323284,67,323276.38,200.91503839450618,323075.4649616055
7300,323284,0,323272.96,199.26107989065085,323073.69892010937
7400,323284,0,323268.98,196.95420476728893,323072.0257952327
7500,323328,45,323265.88,194.72404754904505,323071.15595245094
7600,323328,0,323262.78,192.4170947898149,323070.36290521023
7700,323328,0,323261.34,191.63705171976173,323069.70294828026
7800,323063,71,323254.6,192.58467525445545,323062.0153247455
7900,323063,0,323247.86,193.28798541588247,323054.5720145841
8000,323063,0,323239.8,192.40645752668743,323047.3935424733
8100,322758,0,323225.64,201.267996786934,323024.3720032131
8200,322758,0,323211.48,208.77780787536258,323002.7021921246
8300,322758,0,323198.64,216.54435940900876,322982.095640591
8400,322974,24,323190.12,216.84045107985185,322973.27954892017
8500,322974,0,323181.6,216.79473975098944,322964.805260249
8600,322974,0,323171.9,214.972257346381,322956.92774265364
8700,322949,76,323161.7,213.16356180562718,322948.5364381944
8800,322949,0,323151.5,210.8364536889007,322940.6635463111
8900,322949,0,323147.16,212.7565783534884,322934.4034216465
9000,322956,290,323142.96,214.44317643235624,322928.5168235677
9100,322956,0,323138.76,216.0333080895473,322922.7266919105
9200,322956,0,323136.68,217.30402289736506,322919.3759771026
9300,323350,208,323142.48,219.0785191456525,322923.4014808543
9400,323350,0,323148.28,220.683265503982,322927.59673449607
9500,323350,0,323156.24,220.6368851803185,322935.6031148197
9600,323552,68,323168.24,225.56338174381432,322942.6766182562
9700,323552,0,323180.24,229.7458720288962,322950.4941279711
9800,323552,0,323191.52,233.92230002505497,322957.59769997495
9900,323304,86,323197.84,232.57637411386094,322965.2636258862
10000,323304,0,323204.16,231.04627683831671,322973.11372316163
10100,323304,0,323210.54,229.2685093679164,322981.2714906321
10200,323435,88,323219.54,229.06653609642387,322990.47346390353
10300,323435,0,323228.54,228.50295492223546,323000.03704507777
10400,323435,0,323236.42,228.69711633607773,323007.7228836639
10500,323507,75,323245.74,230.06199785529867,323015.6780021447
10600,323507,0,323255.06,231.03550482517574,323024.0244951748
10700,323507,0,323261.3,233.5796197777904,323027.7203802222
10800,323546,69,323268.32,236.79866932891488,323031.5213306711
10900,323546,0,323275.34,239.7649027098293,323035.5750972902
11000,323546,0,323278.06,242.08392961866915,323035.97607038135
11100,323474,81,323279.34,242.96338936443348,323036.3766106356
11200,323474,0,323280.62,243.83282078059233,323036.7871792194
11300,323474,0,323281.74,244.6041208123682,323037.1358791876
11400,323370,61,323280.78,244.1522016100713,323036.62779838993
11500,323370,0,323279.82,243.69558544908355,323036.1244145509
11600,323370,0,323277.96,242.62147893548348,323035.33852106455
11700,323130,37,323271.3,242.0081167470515,323029.2918832529
11800,323130,0,323264.64,241.20562487101168,323023.434375129
11900,323130,0,323257.76,240.01518319326146,323017.74481680675
12000,323008,34,323248.44,240.49414775015313,323007.94585224986
12100,323008,0,323239.12,240.6040561519454,322998.51594384806
12200,323008,0,323233.6,242.71020765100556,322990.88979234896
12300,322988,26,323227.68,245.0543829689256,322982.62561703107
12400,322988,0,323221.76,247.2317395911411,322974.52826040884
12500,322988,0,323214.96,248.92003141743172,322966.03996858257
12600,322830,0,323205.0,254.21162644625454,322950.7883735537
12700,322830,0,323195.04,259.00476396226037,322936.03523603774
12800,322830,0,323190.38,263.4861952780184,322926.893804722
12900,322865,0,323186.42,266.90540172397016,322919.514598276
13000,322865,0,323182.46,270.2221467079921,322912.237853292
13100,322865,0,323184.6,267.19884821952854,322917.40115178045
13200,322732,0,323184.08,268.0698842786889,322916.0101157213
13300,322732,0,323183.56,268.9370732863024,322914.6229267137
13400,322732,0,323178.72,274.8970152250465,322903.82298477495
13500,322655,0,323172.34,283.3180667356454,322889.0219332644
13600,322655,0,323165.96,291.35341888147826,322874.60658111854
13700,322655,0,323160.08,298.69558867503645,322861.384411325
13800,322694,0,323154.98,304.49385838792773,322850.48614161205
13900,322694,0,323149.88,310.09818326677686,322839.78181673324
14000,322694,0,323144.64,315.605912880206,322829.0340871198
14100,322590,0,323137.32,324.19787608371865,322813.1221239163
14200,322590,0,323130.0,332.40349220895,322797.596507791
14300,322590,0,323114.8,339.44011524389606,322775.3598847561
14400,322344,0,323094.68,354.68677990135325,322739.99322009867
14500,322344,0,323074.56,368.18430167520427,322706.3756983248
14600,322344,0,323050.4,375.7715328467827,322674.62846715323
14700,322282,0,323025.0,384.00643064351874,322640.9935693565
14800,322282,0,322999.6,390.38568056718725,322609.2143194328
14900,322282,0,322979.16,400.74035362124306,322578.4196463787
15000,322128,0,322955.64,415.52380319360856,322540.1161968064
15100,322128,0,322932.12,428.483688161499,322503.6363118385
15200,322128,0,322905.98,436.9624039308784,322469.0175960691
15300,322077,0,322878.82,445.5295720734026,322433.2904279266
15400,322077,0,322851.66,452.2738293719485,322399.386170628
15500,322077,0,322823.06,455.19134393341824,322367.8686560666
15600,322052,0,322793.96,457.0798599450933,322336.8801400549
15700,322052,0,322764.86,457.0740131198353,322307.78598688013
15800,322052,0,322734.98,453.78824918912477,322281.19175081083
15900,321932,0,322702.7,452.3225438484878,322250.37745615153
16000,321932,0,322670.42,448.4875303707583,322221.9324696292
16100,321932,0,322639.58,445.1067329007442,322194.4732670993
16200,321973,0,322609.56,438.24539579883844,322171.3146042012
16300,321973,0,322579.54,429.1373506400844,322150.4026493599
16400,321973,0,322551.6,422.0411044882405,322129.5588955117
16500,322114,0,322526.48,409.52886021261037,322116.9511397874
16600,322114,0,322501.36,394.99531177804073,322106.36468822195
16700,322114,0,322481.04,388.06842232815626,322092.9715776718
16800,322083,92,322460.1,380.51041177540355,322079.5895882246
16900,322083,0,322439.16,371.59706947299,322067.56293052697
17000,322083,0,322420.66,365.67782240110597,322054.98217759887
17100,322042,91,322401.34,359.4793633202832,322041.86063667975
17200,322042,0,322382.02,352.09202704732974,322029.92797295266
17300,322042,0,322363.1,344.19306696537456,322018.9069330346
17400,322038,150,322344.1,335.0940927866362,322009.0059072133
17500,322038,0,322325.1,324.6082254042389,322000.49177459575
17600,322038,0,322309.26,318.73831695289715,321990.5216830471
17700,322091,84,322294.48,311.1419546098761,321983.3380453901
17800,322091,0,322279.7,302.6197351160649,321977.08026488393
17900,322091,0,322264.22,291.6667996891271,321972.55320031085
18000,322057,74,322248.06,279.8451765838058,321968.2148234162
18100,322057,0,322231.9,266.50360873628694,321965.39639126376
18200,322057,0,322218.4,257.6012580779458,321960.7987419221
18300,321961,145,322202.98,249.16771583076098,321953.8122841692
18400,321961,0,322187.56,239.42730650891676,321948.13269349106
18500,321961,0,322173.68,231.76971681547832,321941.9102831845
18600,322152,131,322163.62,221.12346629657543,321942.4965337034
18700,322152,0,322153.56,209.4455420917685,321944.1144579082
18800,322152,0,322142.72,194.38842243195492,321948.331577568
18900,322103,103,322130.9,177.4098506343824,321953.4901493656
19000,322103,0,322119.08,157.7229345456925,321961.3570654543
19100,322103,0,322109.34,142.33470327075352,321967.0052967293
19200,322283,107,322103.2,126.9692233320356,321976.230776668
19300,322283,0,322097.06,109.11581751846768,321987.94418248156
19400,322283,0,322095.84,106.61074724736584,321989.2292527527
19500,322125,259,322091.46,100.5327056137909,321990.9272943862
19600,322125,0,322087.08,93.85439004480223,321993.2256099552
19700,322125,0,322083.94,89.73598691165192,321994.20401308837
