time,cores,delays,MA,STD,limit
0,324526,0,,,
100,324526,0,,,
200,324526,0,,,
300,324512,0,,,
400,324512,0,,,
500,324512,0,,,
600,324312,0,,,
700,324312,0,,,
800,324312,0,,,
900,324241,0,,,
1000,324241,0,,,
1100,324241,0,,,
1200,324169,0,,,
1300,324169,0,,,
1400,324169,0,,,
1500,323575,0,,,
1600,323575,0,,,
1700,323575,0,,,
1800,323465,0,,,
1900,323465,0,324146.75,387.43636149766155,324534.1863614977
2000,323465,0,324093.7,405.0145026643449,324498.71450266434
2100,323455,0,324040.15,415.5149341796897,324455.6649341797
2200,323455,0,323986.6,418.6066361030607,324405.20663610304
2300,323455,0,323933.75,415.4952498304113,324349.2452498304
2400,323483,0,323882.3,403.66415170100015,324285.964151701
2500,323483,0,323830.85,384.2920045185941,324215.1420045186
2600,323483,0,323789.4,374.24019869045964,324163.64019869047
2700,323400,0,323743.8,362.5925072528163,324106.3925072528
2800,323400,0,323698.2,344.2576452540925,324042.4576452541
2900,323400,0,323656.15,325.3079957599853,323981.45799576
3000,323466,0,323617.4,296.89239588943497,323914.29239588947
3100,323466,0,323578.65,259.42959190892816,323838.07959190896
3200,323466,0,323543.5,219.8369012655595,323763.33690126555
3300,323400,0,323505.05,165.1173346765338,323670.16733467655
3400,323400,0,323466.6,55.558788211516266,323522.15878821147
3500,323400,0,323457.85,51.19752769685932,323509.0475276968
3600,323459,0,323452.05,43.16854971361763,323495.2185497136
3700,323459,0,323446.25,32.172029371053014,323478.422029371
3800,323459,0,323445.95,32.01558009139924,323477.9655800914
3900,323166,0,323431.0,69.96766170440934,323500.9676617044
4000,323166,0,323416.05,91.0791876403589,323507.1291876403
4100,323166,0,323401.6,106.23826251040883,323507.83826251037
4200,323060,0,323381.85,129.874949977895,323511.7249499779
4300,323060,0,323362.1,147.06207067685602,323509.16207067686
4400,323060,0,323340.95,158.71506246359033,323499.6650624636
4500,322952,0,323314.4,177.05556665749182,323491.45556665753
4600,322952,0,323287.85,189.79692055676716,323477.6469205567
4700,322952,0,323265.45,201.91412322593817,323467.36412322597
4800,322988,0,323244.85,208.3777629822141,323453.2277629822
4900,322988,0,323224.25,212.55559644281317,323436.80559644283
5000,322988,0,323200.35,210.8085374786837,323411.15853747865
5100,322985,0,323176.3,206.29592949580433,323382.5959294958
5200,322985,0,323152.25,198.64061041360588,323350.8906104136
5300,322985,0,323131.5,192.9937277416012,323324.4937277416
5400,323315,63,323127.25,187.6311821807545,323314.8811821808
5500,323315,0,323123.0,182.00636194843906,323305.00636194844
5600,323315,0,323115.8,170.49945207574328,323286.29945207573
5700,323264,324,323106.05,154.68251866058822,323260.7325186606
5800,323264,0,323096.3,136.32009544190612,323232.6200954419
5900,323264,0,323101.2,140.6498451744801,323241.84984517447
6000,323399,189,323112.85,155.19708183712635,323268.0470818371
6100,323399,0,323124.5,167.64294764459015,323292.1429476446
6200,323399,0,323141.45,177.61918904221125,323319.0691890422
6300,323386,236,323157.75,184.57344138140462,323342.3234413814
6400,323386,0,323174.05,189.80723601147503,323363.8572360115
6500,323386,0,323195.75,187.88402778027424,323383.63402778027
6600,323418,258,323219.05,184.93682420643353,323403.9868242064
6700,323418,0,323242.35,178.77338639851925,323421.1233863985
6800,323418,0,323263.85,172.3143623551491,323436.16436235514
6900,323460,132,323287.45,164.69987856756444,323452.14987856755
7000,323460,0,323311.05,152.92911154537668,323463.97911154537
7100,323460,0,323334.8,135.5214490700775,323470.32144907006
7200,323472,56,323359.15,110.8722712244585,323470.0222712245
7300,323472,0,323383.5,70.50531894934825,323454.00531894935
7400,323472,0,323391.35,71.21374423922398,323462.5637442392
7500,323389,0,323395.05,68.92366105177359,323463.9736610518
7600,323389,0,323398.75,66.33795055892485,323465.0879505589
7700,323389,0,323405.0,58.386191591576434,323463.38619159156
7800,323131,0,323398.35,79.16689566080586,323477.5168956608
7900,323131,0,323391.7,95.04076687700692,323486.740766877
8000,323131,0,323378.3,111.43612756401899,323489.736127564
8100,322691,0,323342.9,189.5745652497249,323532.47456524975
8200,322691,0,323307.5,238.37111711327208,323545.8711171133
8300,322691,0,323272.75,274.2793188284231,323547.0293188284
8400,323063,0,323256.6,276.7581882022322,323533.3581882022
8500,323063,0,323240.45,278.2300212719307,323518.6800212719
8600,323063,0,323222.7,277.63002643640834,323500.3300264364
8700,323132,0,323208.4,274.3878162097238,323482.7878162097
8800,323132,0,323194.1,270.311691434987,323464.411691435
8900,323132,0,323177.7,263.18636582851195,323440.8863658285
9000,323439,110,323176.65,262.0402289326426,323438.69022893265
9100,323439,0,323175.6,260.88460849098135,323436.48460849095
9200,323439,0,323173.95,259.0089360379141,323432.9589360379
9300,323429,370,323171.8,256.5716479395945,323428.3716479396
9400,323429,0,323169.65,254.09183482835218,323423.7418348284
9500,323429,0,323171.65,256.0590546608489,323427.70905466087
9600,323437,316,323174.05,258.41754767718953,323432.46754767717
9700,323437,0,323176.45,260.7314559185139,323437.18145591853
9800,323437,0,323191.75,266.8308896742248,323458.58088967425
9900,323491,136,323209.75,274.54802570986374,323484.29802570987
10000,323491,0,323227.75,280.8423185612733,323508.5923185613
10100,323491,0,323267.75,256.26628317997586,323524.01628318
10200,323535,153,323309.95,223.7175086674298,323533.66750866745
10300,323535,0,323352.15,175.14994328214388,323527.29994328215
10400,323535,0,323375.75,165.68196388882717,323541.4319638888
10500,323560,218,323400.6,153.09866100057428,323553.6986610005
10600,323560,0,323425.45,134.6396653065518,323560.08966530656
10700,323560,0,323446.85,118.60162198311865,323565.4516219831
10800,323565,100,323468.5,95.34287156408479,323563.8428715641
10900,323565,0,323490.15,55.92313804335492,323546.0731380434
11000,323565,0,323496.45,56.945472535589474,323553.3954725356
11100,323561,65,323502.55,57.00182361060346,323559.5518236106
11200,323561,0,323508.65,56.367473825447064,323565.0174738255
11300,323561,0,323515.25,54.238144474075774,323569.4881444741
11400,323444,0,323516.0,53.073930563551585,323569.0739305636
11500,323444,0,323516.75,51.872186038496174,323568.62218603847
11600,323444,0,323517.1,51.3265090038058,323568.4265090038
11700,323099,0,323500.2,105.81344059580361,323606.0134405958
11800,323099,0,323483.3,138.4098034259047,323621.7098034259
11900,323099,0,323463.7,162.85805896116563,323626.5580589612
12000,323017,0,323440.0,190.7732189087279,323630.77321890875
12100,323017,0,323416.3,212.3289652257516,323628.6289652257
12200,323017,0,323390.4,228.09540940057343,323618.4954094006
12300,322947,0,323361.0,245.69236219758542,323606.69236219756
12400,322947,0,323331.6,258.6160332069261,323590.2160332069
12500,322947,0,323300.95,266.3322963993459,323567.28229639935
12600,322787,0,323262.3,282.3665217968276,323544.66652179684
12700,322787,0,323223.65,292.20527661943345,323515.85527661943
12800,322787,0,323184.75,296.13063884569,323480.8806388457
12900,322822,0,323147.6,292.50000449836705,323440.1000044983
13000,322822,0,323110.45,283.7492360294587,323394.19923602947
13100,322822,0,323073.5,269.7621759603154,323343.2621759603
13200,322686,0,323029.75,257.1994669304888,323286.94946693047
13300,322686,0,322986.0,235.58840110806204,323221.58840110805
13400,322686,0,322948.1,218.37242451657573,323166.47242451657
13500,322642,0,322908.0,194.8905225741063,323102.89052257413
13600,322642,0,322867.9,157.77462273332367,323025.6746227333
13700,322642,0,322845.05,155.62183414556822,323000.67183414556
13800,322668,0,322823.5,148.27304116560077,322971.7730411656
13900,322668,0,322801.95,137.01804529505202,322938.96804529504
14000,322668,0,322784.5,130.244911001261,322914.74491100124
14100,322544,0,322760.85,128.74056940268125,322889.5905694027
14200,322544,0,322737.2,122.50310414799777,322859.70310414804
14300,322544,0,322717.05,119.2791837822936,322836.3291837823
14400,322318,0,322685.6,137.05642326218626,322822.65642326215
14500,322318,0,322654.15,145.80494360084418,322799.95494360087
14600,322318,0,322630.7,160.307631888123,322791.00763188815
14700,322234,0,322603.05,178.57962251721287,322781.6296225172
14800,322234,0,322575.4,190.97985564600324,322766.37985564605
14900,322234,0,322546.0,196.20719445848692,322742.20719445846
15000,322116,0,322510.7,207.1422343765079,322717.8422343765
15100,322116,0,322475.4,211.41239320175322,322686.81239320175
15200,322116,0,322446.9,219.78216487981726,322666.68216487987
15300,322045,0,322414.85,229.59810997585464,322644.44810997584
15400,322045,0,322382.8,234.44370887435372,322617.24370887433
15500,322045,0,322352.95,237.68809172214975,322590.63809172215
15600,321992,0,322320.45,240.50680589813697,322560.95680589817
15700,321992,0,322287.95,238.67914489876338,322526.6291448988
15800,321992,0,322254.15,229.72369558848644,322483.8736955885
15900,321920,0,322216.75,219.46055274132547,322436.2105527413
16000,321920,0,322179.35,201.51460048713037,322380.8646004871
16100,321920,0,322148.15,190.06626960360433,322338.21626960364
16200,321948,0,322118.35,170.44532229904854,322288.795322299
16300,321948,0,322088.55,141.804340735699,322230.3543407357
16400,321948,0,322070.05,134.22740915049326,322204.2774091505
16500,322111,0,322059.7,121.47735331016128,322181.17735331017
16600,322111,0,322049.35,106.16485442272791,322155.5148544227
16700,322111,0,322043.2,98.16666814986446,322141.3666681499
16800,322128,181,322037.9,89.83077657379137,322127.7307765738
16900,322128,0,322032.6,80.27020158159547,322112.87020158157
17000,322128,0,322033.2,80.9682198789847,322114.168219879
17100,322120,138,322033.4,81.18815054099068,322114.588150541
17200,322120,0,322033.6,81.4069698222161,322115.0069698222
17300,322120,0,322037.35,83.65610997194932,322121.0061099719
17400,322130,211,322041.6,86.1860899685332,322127.7860899685
17500,322130,0,322045.85,88.42914201042461,322134.2791420104
17600,322130,0,322052.75,89.38495987269586,322142.1349598727
17700,322156,57,322060.95,91.02600842257243,322151.97600842256
17800,322156,0,322069.15,91.87077594377965,322161.0207759438
