time,cores,delays,MA,STD,limit
0,324526,0,,,
100,324526,0,,,
200,324526,0,,,
300,324512,0,,,
400,324512,0,,,
500,324512,0,,,
600,324312,0,,,
700,324312,0,,,
800,324312,0,,,
900,324241,0,,,
1000,324241,0,,,
1100,324241,0,,,
1200,324169,0,,,
1300,324169,0,,,
1400,324169,0,,,
1500,323575,0,,,
1600,323575,0,,,
1700,323575,0,,,
1800,323465,0,,,
1900,323465,0,,,
2000,323465,0,,,
2100,323455,0,,,
2200,323455,0,,,
2300,323455,0,,,
2400,323483,0,,,
2500,323483,0,,,
2600,323483,0,,,
2700,323400,0,,,
2800,323400,0,,,
2900,323400,0,,,
3000,323466,0,,,
3100,323466,0,,,
3200,323466,0,,,
3300,323400,0,,,
3400,323400,0,,,
3500,323400,0,,,
3600,323459,0,,,
3700,323459,0,,,
3800,323459,0,,,
3900,323166,0,,,
4000,323166,0,,,
4100,323166,0,,,
4200,323060,0,,,
4300,323060,0,,,
4400,323060,0,,,
4500,322952,0,,,
4600,322952,0,,,
4700,322952,0,,,
4800,322988,0,,,
4900,322988,0,,,
5000,322988,0,,,
5100,322985,0,,,
5200,322985,0,,,
5300,322985,0,,,
5400,323378,0,,,
5500,323378,0,,,
5600,323378,0,,,
5700,323576,0,,,
5800,323576,0,,,
5900,323576,0,,,
6000,323583,0,,,
6100,323583,0,,,
6200,323583,0,,,
6300,323582,0,,,
6400,323582,0,,,
6500,323582,0,,,
6600,323619,0,,,
6700,323619,0,,,
6800,323619,0,,,
6900,323492,0,,,
7000,323492,0,,,
7100,323492,0,,,
7200,323478,0,,,
7300,323478,0,,,
7400,323478,0,,,
7500,323308,0,,,
7600,323308,0,,,
7700,323308,0,,,
7800,323037,0,,,
7900,323037,0,,,
8000,323037,0,,,
8100,322617,0,,,
8200,322617,0,,,
8300,322617,0,,,
8400,323045,0,,,
8500,323045,0,,,
8600,323045,0,,,
8700,323120,0,,,
8800,323120,0,,,
8900,323120,0,,,
9000,323516,0,,,
9100,323516,0,,,
9200,323516,0,,,
9300,323766,0,,,
9400,323766,0,,,
9500,323766,0,,,
9600,323513,0,,,
9700,323513,0,,,
9800,323513,0,,,
9900,323560,0,323492.92,440.37432837406504,323933.29432837403
10000,323560,0,323483.26,427.9023210542753,323911.16232105426
10100,323560,0,323473.6,414.8285516604746,323888.42855166044
10200,323593,0,323464.27,401.18757684926175,323865.45757684927
10300,323593,0,323455.08,387.22769330801606,323842.30769330804
10400,323593,0,323445.89,372.51641940627695,323818.4064194063
10500,323716,0,323437.93,357.7159940850324,323795.645994085
10600,323716,0,323431.97,347.83435204799275,323779.80435204797
10700,323716,0,323426.01,337.55737245240215,323763.5673724524
10800,323572,0,323418.61,325.8464004199926,323744.45640042
10900,323572,0,323411.92,315.49447096917515,323727.4144709692
11000,323572,0,323405.23,304.6427898275895,323709.8727898276
11100,323529,0,323398.11,293.01039023876814,323691.12039023876
11200,323529,0,323391.71,282.8144730412707,323674.5244730413
11300,323529,0,323385.31,272.0849427303908,323657.3949427304
11400,323306,0,323376.68,260.41272137615994,323637.09272137616
11500,323306,0,323373.99,259.7318934298172,323633.7218934298
11600,323306,0,323371.3,259.0210591648871,323630.3210591649
11700,323027,0,323365.82,260.4608340242265,323626.28083402425
11800,323027,0,323361.44,262.45131612038443,323623.8913161204
11900,323027,0,323357.06,264.35352133537367,323621.41352133534
12000,322952,0,323351.93,267.1999688123481,323619.12996881234
12100,322952,0,323346.9,269.9602851449466,323616.860285145
12200,322952,0,323341.87,272.5989267192163,323614.4689267192
12300,322859,0,323335.91,276.58670239072507,323612.4967023907
12400,322859,0,323329.67,280.24942191702684,323609.919421917
12500,322859,0,323323.43,283.7262962999695,323607.15629629995
12600,322767,0,323316.27,288.6503898762857,323604.9203898763
12700,322767,0,323309.94,293.692370491337,323603.63237049134
12800,322767,0,323303.61,298.51368833134273,323602.12368833134
12900,322796,0,323297.57,302.62589015797545,323600.195890158
13000,322796,0,323290.87,306.25425678338803,323597.1242567834
13100,322796,0,323284.17,309.69375733665737,323593.8637573366
13200,322657,0,323276.08,315.40974408953616,323591.48974408954
13300,322657,0,323268.65,321.15999898718957,323589.8099989872
13400,322657,0,323261.22,326.6384211659301,323587.8584211659
13500,322640,0,323253.62,332.17148364271884,323585.7914836427
13600,322640,0,323245.43,337.11629905843546,323582.5462990584
13700,322640,0,323237.24,341.7914515659815,323579.03145156597
13800,322661,0,323229.26,345.8531427695542,323575.11314276955
13900,322661,0,323224.21,350.44261464832715,323574.65261464834
14000,322661,0,323219.16,354.90017717312287,323574.0601771731
14100,322514,0,323212.64,361.80849111423646,323574.44849111425
14200,322514,0,323207.18,368.19860088939004,323575.3786008894
14300,322514,0,323201.72,374.3992650859538,323576.1192650859
14400,322314,0,323194.26,384.5462134815009,323578.8062134815
14500,322314,0,323187.88,393.7876236312912,323581.6676236313
14600,322314,0,323181.5,402.71499057806085,323584.21499057807
14700,322203,0,323174.01,413.83814468934673,323587.84814468934
14800,322203,0,323166.16,424.70473926655524,323590.8647392665
14900,322203,0,323158.31,435.1571339321411,323593.46713393216
15000,322089,0,323149.32,447.81340540510496,323597.1334054051
15100,322089,0,323140.36,459.93408662580356,323600.2940866258
15200,322089,0,323131.4,471.5715184037324,323602.97151840373
15300,322028,0,323121.83,484.1162948812995,323605.9462948813
15400,322028,0,323108.33,495.5876637126238,323603.91766371264
15500,322028,0,323094.83,506.4360730245173,323601.26607302454
15600,321928,0,323080.33,518.8522113980135,323599.18221139803
15700,321928,0,323063.85,529.0220704374962,323592.8720704375
15800,321928,0,323047.37,538.490870184997,323585.860870185
15900,321920,0,323030.81,547.4584010762395,323578.26840107626
16000,321920,0,323014.18,555.7112901315336,323569.89129013155
16100,321920,0,322997.55,563.3477382951612,323560.89773829514
16200,321948,0,322981.2,569.8730852858173,323551.07308528584
16300,321948,0,322964.86,575.8666726303085,323540.7266726303
16400,321948,0,322948.52,581.3347838456967,323529.8547838457
16500,322109,0,322933.79,583.7778617059807,323517.56786170596
16600,322109,0,322918.69,585.4017647406231,323504.09176474065
16700,322109,0,322903.59,586.6287021977686,323490.2187021978
16800,322300,0,322890.4,585.2073965437442,323475.6073965438
16900,322300,0,322878.48,584.9695058958965,323463.4495058959
17000,322300,0,322866.56,584.4860181855065,323451.0460181855
17100,322252,0,322854.16,584.2365253692699,323438.39652536926
17200,322252,0,322841.9,583.8767079622259,323425.7767079623
17300,322252,0,322829.64,583.2564195179368,323412.8964195179
17400,322244,0,322817.3,582.4538218135782,323399.75382181356
17500,322244,0,322806.66,583.1173491057077,323389.7773491057
17600,322244,0,322796.02,583.5842054479077,323379.60420544795
17700,322134,0,322784.28,584.9876642054112,323369.26766420546
17800,322134,0,322775.25,588.0088705265877,323363.25887052657
17900,322134,0,322766.22,590.8752552548589,323357.0952552548
18000,322071,0,322756.56,594.2901770559706,323350.850177056
18100,322071,0,322751.1,598.081402182114,323349.1814021821
18200,322071,0,322745.64,601.798709929229,323347.43870992924
18300,322292,0,322742.39,603.3759552162222,323345.76595521625
18400,322292,0,322734.86,604.2592931292696,323339.11929312925
18500,322292,0,322727.33,605.0466891574177,323332.37668915745
18600,322236,0,322719.24,606.1637462538225,323325.4037462538
18700,322236,0,322710.4,606.7058928375222,323317.1058928376
18800,322236,0,322701.56,607.117553391509,323308.6775533915
18900,322383,0,322694.19,606.4596499103785,323300.6496499104
19000,322383,0,322682.86,601.5146541786257,323284.3746541786
19100,322383,0,322671.53,596.3112612576871,323267.8412612577
19200,322344,0,322659.81,591.0403034503848,323250.85030345037
19300,322344,0,322645.59,581.181261298512,323226.77126129856
19400,322344,0,322631.37,570.79433673448,323202.16433673445
19500,322926,0,322622.97,560.0070067199351,323182.9770067199
19600,322926,0,322617.1,553.6235547767994,323170.72355477675
19700,322926,0,322611.23,547.1020227827606,323158.33202278276
19800,322619,0,322602.29,539.4686928874639,323141.75869288744
19900,322619,0,322592.88,530.7307384798039,323123.6107384798
20000,322619,0,322583.47,521.6750692513709,323105.14506925136
20100,322615,0,322574.02,512.2814484478927,323086.3014484479
20200,322615,0,322564.24,501.86108424384696,323066.10108424386
20300,322615,0,322554.46,491.0229976712279,323045.48299767124
20400,322926,0,322547.79,481.205164144785,323028.9951641448
20500,322926,0,322539.89,468.14020378904,323008.03020378907
20600,322926,0,322531.99,454.5613379947716,322986.55133799475
20700,322934,0,322524.17,440.49549820512857,322964.6654982051
20800,322934,0,322517.79,429.6526032674941,322947.4426032675
20900,322934,0,322511.41,418.43064412035284,322929.84064412036
21000,322434,0,322500.03,404.5389807784487,322904.56898077845
21100,322434,0,322489.08,390.998687124257,322880.07868712425
21200,322434,0,322478.13,376.6509424172357,322854.7809424172
21300,322838,17,322471.22,363.2781603919027,322834.4981603919
21400,322838,0,322466.54,355.3432092543423,322821.8832092543
21500,322838,0,322461.86,347.16325213924694,322809.0232521392
21600,322796,117,322456.76,338.26930637569546,322795.0293063757
21700,322796,0,322454.45,335.109853086853,322789.5598530869
21800,322796,0,322452.14,331.9040880071987,322784.0440880072
21900,322914,80,322451.01,330.1146875999653,322781.12468759995
22000,322914,0,322450.63,329.5535595095037,322780.1835595095
22100,322914,0,322450.25,328.99103100901334,322779.241031009
22200,322918,162,322449.91,328.4844320827654,322778.3944320827
22300,322918,0,322450.5,329.2786575880066,322779.778657588
22400,322918,0,322451.09,330.06990673622334,322781.1599067362
22500,323091,122,322453.41,333.760698613425,322787.1706986134
22600,323091,0,322456.65,338.3763482128044,322795.02634821285
22700,323091,0,322459.89,342.89895719878956,322802.7889571988
22800,323179,236,322464.01,349.0462472607442,322813.05624726077
