,minimum,maximum,percentiles,delays,mean
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0,323833.6666666667
3600,322952,323619,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323583.0}",0,323320.0
7200,322617,323766,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323308.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323560.0, 0.8: 323593.0, 0.9: 323716.0}",0,323355.75
10800,322514,323572,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323027.0, 0.8: 323306.0, 0.9: 323529.0}",0,322940.0
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322089.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0,322122.4166666667
18000,322071,322934,"{0.1: 322236.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322524.5, 0.6: 322619.0, 0.7: 322892.0, 0.8: 322926.0, 0.9: 322926.0}",0,322556.0
21600,323112,324995,"{0.1: 323140.0, 0.2: 323278.0, 0.3: 323348.0, 0.4: 323750.0, 0.5: 324121.5, 0.6: 324161.0, 0.7: 324279.0, 0.8: 324785.0, 0.9: 324789.0}",485,323990.0
25200,324095,324957,"{0.1: 324187.0, 0.2: 324232.0, 0.3: 324291.0, 0.4: 324330.0, 0.5: 324353.0, 0.6: 324529.0, 0.7: 324622.0, 0.8: 324766.0, 0.9: 324912.0}",871,324468.9166666667
28800,321963,324313,"{0.1: 322012.0, 0.2: 322163.0, 0.3: 322444.0, 0.4: 322636.0, 0.5: 322751.5, 0.6: 323205.0, 0.7: 324017.0, 0.8: 324113.0, 0.9: 324233.0}",0,323050.1666666667
32400,321541,323107,"{0.1: 321570.0, 0.2: 321571.0, 0.3: 321617.0, 0.4: 321687.0, 0.5: 321884.5, 0.6: 322314.0, 0.7: 322439.0, 0.8: 322703.0, 0.9: 322966.0}",0,322107.0
36000,322874,323591,"{0.1: 322926.0, 0.2: 323086.0, 0.3: 323121.0, 0.4: 323232.0, 0.5: 323338.0, 0.6: 323402.0, 0.7: 323421.0, 0.8: 323450.0, 0.9: 323488.0}",0,323272.25
39600,323324,323787,"{0.1: 323326.0, 0.2: 323370.0, 0.3: 323411.0, 0.4: 323442.0, 0.5: 323538.5, 0.6: 323694.0, 0.7: 323698.0, 0.8: 323703.0, 0.9: 323729.0}",0,323546.75
43200,323860,324889,"{0.1: 324092.0, 0.2: 324119.0, 0.3: 324189.0, 0.4: 324225.0, 0.5: 324292.5, 0.6: 324345.0, 0.7: 324401.0, 0.8: 324555.0, 0.9: 324818.0}",794,324339.8333333333
46800,323846,324256,"{0.1: 323880.0, 0.2: 323905.0, 0.3: 323940.0, 0.4: 323992.0, 0.5: 323997.0, 0.6: 324055.0, 0.7: 324084.0, 0.8: 324203.0, 0.9: 324206.0}",97,324030.0833333333
50400,323788,326994,"{0.1: 323826.0, 0.2: 323852.0, 0.3: 323895.0, 0.4: 323957.0, 0.5: 324108.5, 0.6: 324444.0, 0.7: 324757.0, 0.8: 324841.0, 0.9: 325099.0}",534,324472.5
54000,326631,327812,"{0.1: 326765.0, 0.2: 326790.0, 0.3: 326820.0, 0.4: 326893.0, 0.5: 326966.0, 0.6: 326994.0, 0.7: 327060.0, 0.8: 327454.0, 0.9: 327521.0}",1738,327056.0
57600,325511,326540,"{0.1: 325548.0, 0.2: 325556.0, 0.3: 325596.0, 0.4: 325598.0, 0.5: 325710.5, 0.6: 325817.0, 0.7: 325838.0, 0.8: 325952.0, 0.9: 325969.0}",146,325778.8333333333
61200,325383,325790,"{0.1: 325495.0, 0.2: 325503.0, 0.3: 325523.0, 0.4: 325539.0, 0.5: 325625.0, 0.6: 325706.0, 0.7: 325706.0, 0.8: 325717.0, 0.9: 325754.0}",0,325613.8333333333
64800,325124,327191,"{0.1: 325359.0, 0.2: 325363.0, 0.3: 325382.0, 0.4: 325385.0, 0.5: 325799.0, 0.6: 326606.0, 0.7: 326798.0, 0.8: 326906.0, 0.9: 327054.0}",292,326063.8333333333
68400,326365,327342,"{0.1: 326509.0, 0.2: 326784.0, 0.3: 326833.0, 0.4: 326868.0, 0.5: 326898.5, 0.6: 326962.0, 0.7: 327041.0, 0.8: 327044.0, 0.9: 327158.0}",1187,326891.9166666667
72000,327174,328077,"{0.1: 327216.0, 0.2: 327298.0, 0.3: 327319.0, 0.4: 327331.0, 0.5: 327549.0, 0.6: 327707.0, 0.7: 327760.0, 0.8: 327886.0, 0.9: 327947.0}",1874,327567.75
75600,327001,327624,"{0.1: 327118.0, 0.2: 327129.0, 0.3: 327144.0, 0.4: 327144.0, 0.5: 327168.0, 0.6: 327200.0, 0.7: 327287.0, 0.8: 327382.0, 0.9: 327576.0}",1154,327245.0833333333
79200,326767,330619,"{0.1: 326825.0, 0.2: 326888.0, 0.3: 326989.0, 0.4: 327060.0, 0.5: 327164.5, 0.6: 327683.0, 0.7: 330167.0, 0.8: 330356.0, 0.9: 330575.0}",1144,328188.1666666667
82800,323970,329980,"{0.1: 323989.0, 0.2: 324187.0, 0.3: 324193.0, 0.4: 324250.0, 0.5: 325227.5, 0.6: 326558.0, 0.7: 328717.0, 0.8: 329626.0, 0.9: 329750.0}",293,326306.25
86400,323887,324706,"{0.1: 323946.0, 0.2: 323962.0, 0.3: 324091.0, 0.4: 324157.0, 0.5: 324326.0, 0.6: 324517.0, 0.7: 324557.0, 0.8: 324642.0, 0.9: 324685.0}",0,324316.8333333333
90000,323546,324247,"{0.1: 323561.0, 0.2: 323578.0, 0.3: 323712.0, 0.4: 323746.0, 0.5: 323909.0, 0.6: 323933.0, 0.7: 323935.0, 0.8: 323979.0, 0.9: 324146.0}",0,323850.0833333333
