,minimum,maximum,percentiles,delays,mean
93600,322744,323751,"{0.1: 322891.0, 0.2: 322952.0, 0.3: 322982.0, 0.4: 323108.0, 0.5: 323200.0, 0.6: 323317.0, 0.7: 323380.0, 0.8: 323505.0, 0.9: 323549.0}",0,323214.9166666667
97200,321791,322973,"{0.1: 322098.0, 0.2: 322129.0, 0.3: 322257.0, 0.4: 322271.0, 0.5: 322303.0, 0.6: 322400.0, 0.7: 322508.0, 0.8: 322754.0, 0.9: 322864.0}",0,322387.5833333333
100800,321486,322303,"{0.1: 321545.0, 0.2: 321605.0, 0.3: 321614.0, 0.4: 321677.0, 0.5: 321806.0, 0.6: 321828.0, 0.7: 321837.0, 0.8: 321854.0, 0.9: 321872.0}",0,321769.4166666667
104400,321053,322751,"{0.1: 321160.0, 0.2: 321326.0, 0.3: 321414.0, 0.4: 321522.0, 0.5: 321575.0, 0.6: 321591.0, 0.7: 322039.0, 0.8: 322567.0, 0.9: 322656.0}",0,321769.0833333333
108000,322520,323835,"{0.1: 322557.0, 0.2: 322625.0, 0.3: 322669.0, 0.4: 322921.0, 0.5: 323002.5, 0.6: 323302.0, 0.7: 323385.0, 0.8: 323580.0, 0.9: 323759.0}",0,323096.5
111600,322709,323570,"{0.1: 322752.0, 0.2: 322825.0, 0.3: 322869.0, 0.4: 323010.0, 0.5: 323178.5, 0.6: 323286.0, 0.7: 323296.0, 0.8: 323334.0, 0.9: 323440.0}",0,323120.6666666667
115200,322519,323677,"{0.1: 322566.0, 0.2: 322787.0, 0.3: 322954.0, 0.4: 323069.0, 0.5: 323126.5, 0.6: 323378.0, 0.7: 323534.0, 0.8: 323653.0, 0.9: 323661.0}",0,323170.9166666667
118800,323663,324016,"{0.1: 323743.0, 0.2: 323788.0, 0.3: 323807.0, 0.4: 323812.0, 0.5: 323826.5, 0.6: 323839.0, 0.7: 323864.0, 0.8: 323874.0, 0.9: 323979.0}",0,323836.5
122400,323767,324185,"{0.1: 323827.0, 0.2: 323848.0, 0.3: 323868.0, 0.4: 323919.0, 0.5: 323960.5, 0.6: 324052.0, 0.7: 324078.0, 0.8: 324160.0, 0.9: 324164.0}",0,323982.4166666667
126000,324228,325724,"{0.1: 324235.0, 0.2: 324243.0, 0.3: 324293.0, 0.4: 324360.0, 0.5: 324702.5, 0.6: 325219.0, 0.7: 325230.0, 0.8: 325484.0, 0.9: 325535.0}",0,324829.6666666667
129600,325771,327189,"{0.1: 326268.0, 0.2: 326301.0, 0.3: 326307.0, 0.4: 326356.0, 0.5: 326614.5, 0.6: 326975.0, 0.7: 327050.0, 0.8: 327064.0, 0.9: 327078.0}",0,326632.3333333333
133200,326981,327240,"{0.1: 327019.0, 0.2: 327032.0, 0.3: 327041.0, 0.4: 327046.0, 0.5: 327071.0, 0.6: 327119.0, 0.7: 327121.0, 0.8: 327133.0, 0.9: 327228.0}",0,327091.8333333333
136800,326961,328503,"{0.1: 326972.0, 0.2: 327018.0, 0.3: 327023.0, 0.4: 327037.0, 0.5: 327246.5, 0.6: 328204.0, 0.7: 328391.0, 0.8: 328424.0, 0.9: 328453.0}",0,327623.25
140400,327943,329198,"{0.1: 328269.0, 0.2: 328446.0, 0.3: 328516.0, 0.4: 328629.0, 0.5: 328660.5, 0.6: 328714.0, 0.7: 328723.0, 0.8: 328733.0, 0.9: 328789.0}",0,328606.75
144000,327502,327881,"{0.1: 327542.0, 0.2: 327566.0, 0.3: 327577.0, 0.4: 327582.0, 0.5: 327623.0, 0.6: 327676.0, 0.7: 327765.0, 0.8: 327859.0, 0.9: 327860.0}",0,327671.3333333333
147600,327611,328207,"{0.1: 327658.0, 0.2: 327678.0, 0.3: 327707.0, 0.4: 327857.0, 0.5: 327911.5, 0.6: 328009.0, 0.7: 328053.0, 0.8: 328075.0, 0.9: 328094.0}",0,327897.6666666667
151200,327851,328810,"{0.1: 327865.0, 0.2: 327874.0, 0.3: 327970.0, 0.4: 328072.0, 0.5: 328253.0, 0.6: 328677.0, 0.7: 328750.0, 0.8: 328774.0, 0.9: 328803.0}",0,328329.3333333333
154800,327590,328232,"{0.1: 327714.0, 0.2: 327834.0, 0.3: 327846.0, 0.4: 327881.0, 0.5: 327958.5, 0.6: 328006.0, 0.7: 328012.0, 0.8: 328024.0, 0.9: 328147.0}",0,327933.5833333333
158400,327851,328539,"{0.1: 327862.0, 0.2: 327974.0, 0.3: 328000.0, 0.4: 328063.0, 0.5: 328192.5, 0.6: 328333.0, 0.7: 328384.0, 0.8: 328407.0, 0.9: 328501.0}",0,328191.5833333333
162000,327325,328712,"{0.1: 327402.0, 0.2: 327503.0, 0.3: 327535.0, 0.4: 327538.0, 0.5: 327616.5, 0.6: 327621.0, 0.7: 327886.0, 0.8: 328171.0, 0.9: 328301.0}",0,327768.9166666667
165600,325743,327333,"{0.1: 325935.0, 0.2: 326121.0, 0.3: 326231.0, 0.4: 326292.0, 0.5: 326358.5, 0.6: 326515.0, 0.7: 326675.0, 0.8: 326827.0, 0.9: 326846.0}",0,326436.25
169200,324523,326150,"{0.1: 324526.0, 0.2: 324850.0, 0.3: 325041.0, 0.4: 325153.0, 0.5: 325623.5, 0.6: 325886.0, 0.7: 325893.0, 0.8: 326023.0, 0.9: 326053.0}",0,325445.4166666667
