,minimum,maximum,percentiles,delays
0,323403,324526,"{0.1: 323420.0, 0.2: 323477.0, 0.3: 323491.0, 0.4: 323506.0, 0.5: 323520.5, 0.6: 324001.0, 0.7: 324092.0, 0.8: 324312.0, 0.9: 324512.0}",185
3600,322952,323622,"{0.1: 322985.0, 0.2: 322989.0, 0.3: 323061.0, 0.4: 323181.0, 0.5: 323425.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323584.0}",0
7200,322618,323774,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323166.0, 0.5: 323393.5, 0.6: 323514.0, 0.7: 323516.0, 0.8: 323639.0, 0.9: 323727.0}",94
10800,322515,323406,"{0.1: 322649.0, 0.2: 322668.0, 0.3: 322676.0, 0.4: 322785.0, 0.5: 322879.0, 0.6: 322978.0, 0.7: 323131.0, 0.8: 323353.0, 0.9: 323390.0}",138
14400,321929,322314,"{0.1: 321936.0, 0.2: 321956.0, 0.3: 322028.0, 0.4: 322102.0, 0.5: 322125.5, 0.6: 322204.0, 0.7: 322263.0, 0.8: 322284.0, 0.9: 322300.0}",0
18000,322079,322960,"{0.1: 322237.0, 0.2: 322300.0, 0.3: 322345.0, 0.4: 322391.0, 0.5: 322524.5, 0.6: 322627.0, 0.7: 322892.0, 0.8: 322926.0, 0.9: 322942.0}",0
