,minimum,maximum,percentiles,delays,mean
93600,322759,323772,"{0.1: 322908.0, 0.2: 322996.0, 0.3: 323004.0, 0.4: 323169.0, 0.5: 323265.0, 0.6: 323338.0, 0.7: 323392.0, 0.8: 323523.0, 0.9: 323599.0}",0,323249.1666666667
97200,321821,322992,"{0.1: 322108.0, 0.2: 322170.0, 0.3: 322268.0, 0.4: 322285.0, 0.5: 322359.0, 0.6: 322515.0, 0.7: 322591.0, 0.8: 322782.0, 0.9: 322898.0}",0,322429.0
100800,321511,322313,"{0.1: 321556.0, 0.2: 321615.0, 0.3: 321630.0, 0.4: 321727.0, 0.5: 321857.0, 0.6: 321869.0, 0.7: 321885.0, 0.8: 321890.0, 0.9: 321909.0}",0,321801.5833333333
104400,321084,322769,"{0.1: 321175.0, 0.2: 321331.0, 0.3: 321416.0, 0.4: 321551.0, 0.5: 321591.0, 0.6: 321609.0, 0.7: 322070.0, 0.8: 322572.0, 0.9: 322665.0}",0,321785.3333333333
108000,322556,323838,"{0.1: 322570.0, 0.2: 322684.0, 0.3: 322686.0, 0.4: 322938.0, 0.5: 323017.5, 0.6: 323326.0, 0.7: 323396.0, 0.8: 323700.0, 0.9: 323766.0}",0,323124.5833333333
111600,322719,323573,"{0.1: 322760.0, 0.2: 322826.0, 0.3: 322869.0, 0.4: 323085.0, 0.5: 323192.0, 0.6: 323305.0, 0.7: 323306.0, 0.8: 323405.0, 0.9: 323442.0}",0,323139.5
115200,322536,323680,"{0.1: 322623.0, 0.2: 322820.0, 0.3: 322962.0, 0.4: 323118.0, 0.5: 323132.0, 0.6: 323378.0, 0.7: 323543.0, 0.8: 323656.0, 0.9: 323669.0}",0,323187.4166666667
118800,323719,324016,"{0.1: 323759.0, 0.2: 323796.0, 0.3: 323812.0, 0.4: 323817.0, 0.5: 323844.0, 0.6: 323864.0, 0.7: 323864.0, 0.8: 323890.0, 0.9: 323987.0}",0,323851.0
122400,323801,324185,"{0.1: 323852.0, 0.2: 323864.0, 0.3: 323868.0, 0.4: 323927.0, 0.5: 323969.0, 0.6: 324052.0, 0.7: 324079.0, 0.8: 324160.0, 0.9: 324180.0}",0,323992.1666666667
126000,324228,325725,"{0.1: 324245.0, 0.2: 324252.0, 0.3: 324296.0, 0.4: 324361.0, 0.5: 324703.0, 0.6: 325220.0, 0.7: 325230.0, 0.8: 325485.0, 0.9: 325535.0}",0,324831.9166666667
129600,325771,327191,"{0.1: 326270.0, 0.2: 326307.0, 0.3: 326315.0, 0.4: 326359.0, 0.5: 326616.0, 0.6: 327026.0, 0.7: 327050.0, 0.8: 327064.0, 0.9: 327086.0}",0,326639.25
133200,326981,327258,"{0.1: 327029.0, 0.2: 327040.0, 0.3: 327049.0, 0.4: 327055.0, 0.5: 327088.0, 0.6: 327120.0, 0.7: 327122.0, 0.8: 327137.0, 0.9: 327252.0}",0,327101.5833333333
136800,326963,328454,"{0.1: 326984.0, 0.2: 327024.0, 0.3: 327037.0, 0.4: 327038.0, 0.5: 327252.5, 0.6: 327644.0, 0.7: 327904.0, 0.8: 327931.0, 0.9: 328128.0}",637,327467.6666666667
140400,328083,328815,"{0.1: 328150.0, 0.2: 328156.0, 0.3: 328276.0, 0.4: 328348.0, 0.5: 328387.5, 0.6: 328458.0, 0.7: 328481.0, 0.8: 328484.0, 0.9: 328545.0}",2066,328380.9166666667
144000,327487,327799,"{0.1: 327489.0, 0.2: 327492.0, 0.3: 327496.0, 0.4: 327519.0, 0.5: 327567.5, 0.6: 327652.0, 0.7: 327695.0, 0.8: 327749.0, 0.9: 327754.0}",1471,327605.5833333333
147600,327586,328176,"{0.1: 327595.0, 0.2: 327608.0, 0.3: 327633.0, 0.4: 327788.0, 0.5: 327801.5, 0.6: 327823.0, 0.7: 327982.0, 0.8: 328011.0, 0.9: 328028.0}",2003,327819.4166666667
151200,327804,328761,"{0.1: 327827.0, 0.2: 327836.0, 0.3: 327886.0, 0.4: 327933.0, 0.5: 328084.0, 0.6: 328646.0, 0.7: 328676.0, 0.8: 328689.0, 0.9: 328738.0}",1640,328247.0
154800,327517,328263,"{0.1: 327679.0, 0.2: 327697.0, 0.3: 327750.0, 0.4: 327809.0, 0.5: 327891.0, 0.6: 327929.0, 0.7: 327938.0, 0.8: 328092.0, 0.9: 328115.0}",1471,327880.9166666667
158400,327758,328484,"{0.1: 327765.0, 0.2: 327866.0, 0.3: 327908.0, 0.4: 327925.0, 0.5: 328015.5, 0.6: 328249.0, 0.7: 328266.0, 0.8: 328317.0, 0.9: 328358.0}",2002,328077.25
162000,327255,328653,"{0.1: 327286.0, 0.2: 327491.0, 0.3: 327498.0, 0.4: 327507.0, 0.5: 327750.5, 0.6: 327797.0, 0.7: 327978.0, 0.8: 328168.0, 0.9: 328446.0}",1010,327798.3333333333
165600,325792,327404,"{0.1: 326034.0, 0.2: 326227.0, 0.3: 326302.0, 0.4: 326380.0, 0.5: 326457.0, 0.6: 326641.0, 0.7: 326829.0, 0.8: 326986.0, 0.9: 327379.0}",151,326574.0
169200,324596,326239,"{0.1: 324670.0, 0.2: 324930.0, 0.3: 325088.0, 0.4: 325223.0, 0.5: 325701.5, 0.6: 325959.0, 0.7: 325993.0, 0.8: 326105.0, 0.9: 326180.0}",0,325532.1666666667
