,minimum,maximum,percentiles,delays,mean
0,323401,324526,"{0.1: 323418.0, 0.2: 323477.0, 0.3: 323485.0, 0.4: 323488.0, 0.5: 323489.5, 0.6: 324092.0, 0.7: 324173.0, 0.8: 324312.0, 0.9: 324512.0}",110,323821.9166666667
3600,322952,323620,"{0.1: 322985.0, 0.2: 322989.0, 0.3: 323061.0, 0.4: 323171.0, 0.5: 323425.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323584.0}",0,323321.9166666667
7200,322617,323774,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323309.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323563.0, 0.8: 323593.0, 0.9: 323716.0}",0,323356.75
10800,322514,323572,"{0.1: 322640.0, 0.2: 322658.0, 0.3: 322661.0, 0.4: 322775.0, 0.5: 322829.5, 0.6: 322952.0, 0.7: 323028.0, 0.8: 323306.0, 0.9: 323529.0}",0,322941.1666666667
14400,321921,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322091.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0,322122.6666666667
18000,322071,322934,"{0.1: 322237.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322524.5, 0.6: 322619.0, 0.7: 322892.0, 0.8: 322926.0, 0.9: 322926.0}",0,322556.0833333333
21600,323112,324955,"{0.1: 323140.0, 0.2: 323278.0, 0.3: 323348.0, 0.4: 323448.0, 0.5: 323853.5, 0.6: 324195.0, 0.7: 324229.0, 0.8: 324542.0, 0.9: 324839.0}",1129,323899.4166666667
25200,324083,325022,"{0.1: 324119.0, 0.2: 324136.0, 0.3: 324182.0, 0.4: 324209.0, 0.5: 324319.0, 0.6: 324640.0, 0.7: 324663.0, 0.8: 324782.0, 0.9: 324922.0}",1321,324449.6666666667
28800,322029,324121,"{0.1: 322188.0, 0.2: 322231.0, 0.3: 322682.0, 0.4: 322683.0, 0.5: 322838.5, 0.6: 323179.0, 0.7: 323955.0, 0.8: 324006.0, 0.9: 324040.0}",548,323065.9166666667
32400,321565,323117,"{0.1: 321582.0, 0.2: 321629.0, 0.3: 321642.0, 0.4: 321699.0, 0.5: 321909.5, 0.6: 322316.0, 0.7: 322450.0, 0.8: 322711.0, 0.9: 323012.0}",0,322128.5
36000,322876,323592,"{0.1: 322934.0, 0.2: 323099.0, 0.3: 323149.0, 0.4: 323239.0, 0.5: 323347.5, 0.6: 323403.0, 0.7: 323429.0, 0.8: 323451.0, 0.9: 323493.0}",23,323280.0
39600,323163,323793,"{0.1: 323263.0, 0.2: 323363.0, 0.3: 323375.0, 0.4: 323415.0, 0.5: 323540.5, 0.6: 323561.0, 0.7: 323565.0, 0.8: 323592.0, 0.9: 323712.0}",575,323490.25
