,minimum,maximum,percentiles,delays,mean
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0,323833.6666666667
3600,322952,323619,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323583.0}",0,323320.0
7200,322617,323766,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323308.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323560.0, 0.8: 323593.0, 0.9: 323716.0}",0,323355.75
10800,322514,323572,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323027.0, 0.8: 323306.0, 0.9: 323529.0}",0,322940.0
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322089.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0,322122.4166666667
18000,322071,322934,"{0.1: 322236.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322524.5, 0.6: 322619.0, 0.7: 322892.0, 0.8: 322926.0, 0.9: 322926.0}",0,322556.0
21600,323112,324995,"{0.1: 323140.0, 0.2: 323278.0, 0.3: 323348.0, 0.4: 323750.0, 0.5: 324121.5, 0.6: 324161.0, 0.7: 324279.0, 0.8: 324504.0, 0.9: 324785.0}",594,323966.25
25200,324119,324982,"{0.1: 324124.0, 0.2: 324192.0, 0.3: 324264.0, 0.4: 324309.0, 0.5: 324359.0, 0.6: 324555.0, 0.7: 324631.0, 0.8: 324774.0, 0.9: 324914.0}",978,324465.1666666667
28800,321975,324315,"{0.1: 322028.0, 0.2: 322165.0, 0.3: 322489.0, 0.4: 322636.0, 0.5: 322759.0, 0.6: 323262.0, 0.7: 324024.0, 0.8: 324135.0, 0.9: 324258.0}",0,323067.0833333333
32400,321541,323107,"{0.1: 321572.0, 0.2: 321587.0, 0.3: 321617.0, 0.4: 321687.0, 0.5: 321894.0, 0.6: 322314.0, 0.7: 322439.0, 0.8: 322703.0, 0.9: 322982.0}",0,322111.4166666667
36000,322874,323591,"{0.1: 322926.0, 0.2: 323086.0, 0.3: 323121.0, 0.4: 323232.0, 0.5: 323338.0, 0.6: 323402.0, 0.7: 323421.0, 0.8: 323450.0, 0.9: 323490.0}",0,323272.4166666667
39600,323324,323788,"{0.1: 323326.0, 0.2: 323370.0, 0.3: 323415.0, 0.4: 323442.0, 0.5: 323538.5, 0.6: 323694.0, 0.7: 323698.0, 0.8: 323703.0, 0.9: 323729.0}",0,323547.1666666667
43200,323862,324945,"{0.1: 324092.0, 0.2: 324119.0, 0.3: 324161.0, 0.4: 324189.0, 0.5: 324245.0, 0.6: 324259.0, 0.7: 324345.0, 0.8: 324419.0, 0.9: 324859.0}",1082,324311.6666666667
46800,323853,324266,"{0.1: 323908.0, 0.2: 323919.0, 0.3: 323940.0, 0.4: 323998.0, 0.5: 324004.0, 0.6: 324085.0, 0.7: 324099.0, 0.8: 324161.0, 0.9: 324232.0}",186,324039.0833333333
50400,323792,327012,"{0.1: 323826.0, 0.2: 323854.0, 0.3: 323903.0, 0.4: 323957.0, 0.5: 324111.5, 0.6: 324281.0, 0.7: 324445.0, 0.8: 324771.0, 0.9: 325106.0}",704,324430.8333333333
54000,326654,327816,"{0.1: 326774.0, 0.2: 326796.0, 0.3: 326826.0, 0.4: 326902.0, 0.5: 326981.5, 0.6: 326994.0, 0.7: 327075.0, 0.8: 327531.0, 0.9: 327563.0}",1830,327074.5
57600,325515,326548,"{0.1: 325557.0, 0.2: 325582.0, 0.3: 325601.0, 0.4: 325605.0, 0.5: 325655.0, 0.6: 325820.0, 0.7: 325857.0, 0.8: 325961.0, 0.9: 325978.0}",251,325777.8333333333
61200,325399,325794,"{0.1: 325499.0, 0.2: 325505.0, 0.3: 325524.0, 0.4: 325540.0, 0.5: 325632.5, 0.6: 325708.0, 0.7: 325710.0, 0.8: 325717.0, 0.9: 325754.0}",0,325617.9166666667
64800,325124,327195,"{0.1: 325363.0, 0.2: 325367.0, 0.3: 325382.0, 0.4: 325395.0, 0.5: 325801.0, 0.6: 326609.0, 0.7: 326811.0, 0.8: 326825.0, 0.9: 326915.0}",380,326049.0
68400,326425,327169,"{0.1: 326504.0, 0.2: 326510.0, 0.3: 326580.0, 0.4: 326660.0, 0.5: 326741.0, 0.6: 326868.0, 0.7: 326984.0, 0.8: 327052.0, 0.9: 327094.0}",1890,326777.3333333333
72000,327331,328119,"{0.1: 327338.0, 0.2: 327377.0, 0.3: 327387.0, 0.4: 327388.0, 0.5: 327592.5, 0.6: 327709.0, 0.7: 327781.0, 0.8: 327955.0, 0.9: 327980.0}",1874,327629.1666666667
75600,327011,327644,"{0.1: 327118.0, 0.2: 327134.0, 0.3: 327144.0, 0.4: 327145.0, 0.5: 327170.5, 0.6: 327203.0, 0.7: 327309.0, 0.8: 327398.0, 0.9: 327588.0}",1154,327252.9166666667
79200,326678,330818,"{0.1: 326700.0, 0.2: 326743.0, 0.3: 326868.0, 0.4: 326982.0, 0.5: 327025.0, 0.6: 327393.0, 0.7: 330264.0, 0.8: 330272.0, 0.9: 330425.0}",1997,328099.4166666667
82800,323980,330023,"{0.1: 324010.0, 0.2: 324205.0, 0.3: 324206.0, 0.4: 324261.0, 0.5: 325421.0, 0.6: 326764.0, 0.7: 329134.0, 0.8: 329706.0, 0.9: 329781.0}",293,326409.3333333333
86400,323900,324712,"{0.1: 323964.0, 0.2: 323997.0, 0.3: 324109.0, 0.4: 324164.0, 0.5: 324333.0, 0.6: 324520.0, 0.7: 324561.0, 0.8: 324649.0, 0.9: 324688.0}",0,324327.5
90000,323563,324252,"{0.1: 323572.0, 0.2: 323593.0, 0.3: 323722.0, 0.4: 323757.0, 0.5: 323913.5, 0.6: 323940.0, 0.7: 323940.0, 0.8: 323986.0, 0.9: 324153.0}",0,323858.75
